Year,Total PRs,Total Births,Total TRs,Province,Population Estimate,Total Deaths
1999,0.0,0.0,0.0,Unknown province or territory of residence,1012582,8.0
1999,0.0,2298.0,0.0,Yukon,30748,270.0
2000,0.0,221988.0,9430.0,Alberta,2974517,34546.0
2000,0.0,243932.0,32885.0,British Columbia,4026664,54920.0
2000,0.0,84508.0,2830.0,Manitoba,1144428,19784.0
2000,0.0,44106.0,1825.0,New Brunswick,750786,12176.0
2000,0.0,29220.0,690.0,Newfoundland and Labrador,531774,8678.0
2000,0.0,4828.0,25.0,Northwest Territories,40623,314.0
2000,0.0,0.0,0.0,Northwest Territories including Nunavut,40575,0.0
2000,0.0,55000.0,3075.0,Nova Scotia,934594,15758.0
2000,0.0,3606.0,0.0,Nunavut,27145,260.0
2000,0.0,766898.0,46120.0,Ontario,11576994,162580.0
2000,0.0,8646.0,235.0,Prince Edward Island,136442,2458.0
2000,0.0,0.0,0.0,Province / Territory not stated,136400,0.0
2000,0.0,431904.0,22770.0,Quebec,7340269,106380.0
2000,0.0,72870.0,2690.0,Saskatchewan,1011141,17912.0
2000,0.0,0.0,0.0,Unknown province or territory,1006027,0.0
2000,0.0,0.0,0.0,Unknown province or territory of residence,1006027,46.0
2000,0.0,2218.0,45.0,Yukon,30495,312.0
2001,0.0,225662.0,10640.0,Alberta,3027941,35158.0
2001,0.0,243272.0,41120.0,British Columbia,4055229,56706.0
2001,0.0,2005556.0,145900.0,Canada,31190000,439076.0
2001,0.0,84010.0,3205.0,Manitoba,1148456,19468.0
2001,0.0,43162.0,2305.0,New Brunswick,749715,12124.0
2001,0.0,28302.0,725.0,Newfoundland and Labrador,525299,8302.0
2001,0.0,3714.0,30.0,Northwest Territories,40624,326.0
2001,0.0,0.0,0.0,Northwest Territories including Nunavut,41175,0.0
2001,0.0,53718.0,3685.0,Nova Scotia,933463,15758.0
2001,0.0,4216.0,0.0,Nunavut,27798,246.0
2001,0.0,793472.0,55765.0,Ontario,11771945,162428.0
2001,0.0,8272.0,255.0,Prince Edward Island,136377,2320.0
2001,0.0,0.0,0.0,Province / Territory not stated,136876,0.0
2001,0.0,442004.0,25090.0,Quebec,7373978,108388.0
2001,0.0,73682.0,3055.0,Saskatchewan,1003469,17480.0
2001,0.0,0.0,0.0,Unknown province or territory,999241,0.0
2001,0.0,0.0,0.0,Unknown province or territory of residence,999241,104.0
2001,0.0,2070.0,25.0,Yukon,30147,268.0
2002,0.0,232118.0,11065.0,Alberta,3092506,36468.0
2002,0.0,240180.0,44250.0,British Columbia,4087124,57766.0
2002,0.0,83306.0,3715.0,Manitoba,1152828,19698.0
2002,0.0,42268.0,2775.0,New Brunswick,748639,12192.0
2002,0.0,27856.0,785.0,Newfoundland and Labrador,521414,8366.0
2002,0.0,3874.0,30.0,Northwest Territories,41176,338.0
2002,0.0,0.0,0.0,Northwest Territories including Nunavut,41874,0.0
2002,0.0,52344.0,4400.0,Nova Scotia,933757,15994.0
2002,0.0,4312.0,5.0,Nunavut,28334,254.0
2002,0.0,775356.0,62555.0,Ontario,11979906,164468.0
2002,0.0,7968.0,260.0,Prince Edward Island,136858,2472.0
2002,0.0,0.0,0.0,Province / Territory not stated,137082,0.0
2002,0.0,433270.0,24910.0,Quebec,7417456,111068.0
2002,0.0,70576.0,3270.0,Saskatchewan,998742,17812.0
2002,0.0,0.0,0.0,Unknown province or territory,996324,0.0
2002,0.0,0.0,0.0,Unknown province or territory of residence,996324,16.0
2002,0.0,2034.0,50.0,Yukon,30156,294.0
2003,0.0,241710.0,11580.0,Alberta,3155370,37170.0
2003,0.0,242814.0,46405.0,British Columbia,4110197,58640.0
2003,0.0,83580.0,4250.0,Manitoba,1158358,19734.0
2003,0.0,42696.0,3025.0,New Brunswick,749243,12514.0
2003,0.0,27744.0,895.0,Newfoundland and Labrador,519140,8562.0
2003,0.0,4244.0,55.0,Northwest Territories,42007,404.0
2003,0.0,0.0,0.0,Northwest Territories including Nunavut,42855,0.0
2003,0.0,52058.0,5095.0,Nova Scotia,935495,16128.0
2003,0.0,4484.0,5.0,Nunavut,28963,268.0
2003,0.0,790054.0,64085.0,Ontario,12155691,168414.0
2003,0.0,8494.0,285.0,Prince Edward Island,137079,2366.0
2003,0.0,0.0,0.0,Province / Territory not stated,137430,0.0
2003,0.0,441770.0,25200.0,Quebec,7461162,109854.0
2003,0.0,72228.0,3520.0,Saskatchewan,996286,18014.0
2003,0.0,12.0,0.0,Unknown province or territory,996585,0.0
2003,0.0,0.0,0.0,Unknown province or territory of residence,996585,4.0
2003,0.0,2004.0,30.0,Yukon,30424,266.0
2004,0.0,244572.0,11755.0,Alberta,3209557,37350.0
2004,0.0,242794.0,47505.0,British Columbia,4139895,59846.0
2004,0.0,82882.0,4710.0,Manitoba,1167643,19806.0
2004,0.0,41780.0,3200.0,New Brunswick,749192,12494.0
2004,0.0,26910.0,910.0,Newfoundland and Labrador,518677,8616.0
2004,0.0,4230.0,50.0,Northwest Territories,43166,306.0
2004,0.0,0.0,0.0,Northwest Territories including Nunavut,43354,0.0
2004,0.0,52970.0,5430.0,Nova Scotia,938946,16482.0
2004,0.0,4594.0,10.0,Nunavut,29495,242.0
2004,0.0,803188.0,65465.0,Ontario,12303516,166284.0
2004,0.0,8344.0,315.0,Prince Edward Island,137512,2446.0
2004,0.0,0.0,0.0,Province / Territory not stated,137697,0.0
2004,0.0,442190.0,25595.0,Quebec,7510218,111248.0
2004,0.0,71896.0,3560.0,Saskatchewan,996586,17688.0
2004,0.0,0.0,0.0,Unknown province or territory,997010,0.0
2004,0.0,0.0,0.0,Unknown province or territory of residence,997010,28.0
2004,0.0,2180.0,35.0,Yukon,31320,332.0
2005,0.0,252600.0,12200.0,Alberta,3276908,38576.0
2005,0.0,244862.0,49180.0,British Columbia,4174017,60454.0
2005,0.0,84796.0,4950.0,Manitoba,1176047,19712.0
2005,0.0,41362.0,3225.0,New Brunswick,749005,12350.0
2005,0.0,27006.0,1075.0,Newfoundland and Labrador,516750,8972.0
2005,0.0,4360.0,60.0,Northwest Territories,43440,296.0
2005,0.0,0.0,0.0,Northwest Territories including Nunavut,43523,0.0
2005,0.0,51838.0,5425.0,Nova Scotia,939202,16546.0
2005,0.0,4336.0,5.0,Nunavut,29936,230.0
2005,0.0,817466.0,64605.0,Ontario,12444755,171182.0
2005,0.0,8036.0,345.0,Prince Edward Island,137691,2236.0
2005,0.0,0.0,0.0,Province / Territory not stated,138133,0.0
2005,0.0,457700.0,25605.0,Quebec,7559576,111574.0
2005,0.0,71812.0,3690.0,Saskatchewan,995914,17700.0
2005,0.0,0.0,0.0,Unknown province or territory,993299,0.0
2005,0.0,0.0,0.0,Unknown province or territory of residence,993299,108.0
2005,0.0,1926.0,30.0,Yukon,31770,328.0
2006,0.0,271360.0,12380.0,Alberta,3371851,39080.0
2006,0.0,250330.0,50750.0,British Columbia,4217956,61376.0
2006,0.0,2142873.0,172280.0,Canada,32399000,456158.0
2006,0.0,87374.0,4990.0,Manitoba,1179916,19548.0
2006,0.0,42172.0,3120.0,New Brunswick,746985,12020.0
2006,0.0,27216.0,1210.0,Newfoundland and Labrador,512554,8986.0
2006,0.0,4334.0,50.0,Northwest Territories,43315,364.0
2006,0.0,0.0,0.0,Northwest Territories including Nunavut,43205,0.0
2006,0.0,51374.0,5380.0,Nova Scotia,938120,16176.0
2006,0.0,4633.0,0.0,Nunavut,30569,258.0
2006,0.0,828464.0,64405.0,Ontario,12587149,169048.0
2006,0.0,8474.0,390.0,Prince Edward Island,137908,2344.0
2006,0.0,0.0,0.0,Province / Territory not stated,137898,0.0
2006,0.0,491218.0,26225.0,Quebec,7604228,108480.0
2006,0.0,73742.0,3355.0,Saskatchewan,992246,18108.0
2006,0.0,0.0,0.0,Unknown province or territory,993359,0.0
2006,0.0,0.0,0.0,Unknown province or territory of residence,993359,14.0
2006,0.0,2182.0,25.0,Yukon,32112,356.0
2007,0.0,294070.0,13110.0,Alberta,3472779,40404.0
2007,0.0,261738.0,53070.0,British Columbia,4265328,62616.0
2007,0.0,91688.0,5065.0,Manitoba,1184495,19916.0
2007,0.0,42880.0,3195.0,New Brunswick,744849,12648.0
2007,0.0,27302.0,1415.0,Newfoundland and Labrador,510329,9010.0
2007,0.0,4506.0,45.0,Northwest Territories,43088,348.0
2007,0.0,0.0,0.0,Northwest Territories including Nunavut,43286,0.0
2007,0.0,53680.0,5400.0,Nova Scotia,936232,16706.0
2007,0.0,4864.0,0.0,Nunavut,30957,258.0
2007,0.0,839958.0,66360.0,Ontario,12703327,174680.0
2007,0.0,8328.0,470.0,Prince Edward Island,137777,2294.0
2007,0.0,0.0,0.0,Province / Territory not stated,138020,0.0
2007,0.0,506472.0,27575.0,Quebec,7661201,113042.0
2007,0.0,79486.0,3325.0,Saskatchewan,995170,18124.0
2007,0.0,0.0,0.0,Unknown province or territory,1007305,0.0
2007,0.0,0.0,0.0,Unknown province or territory of residence,1007305,4.0
2007,0.0,2130.0,35.0,Yukon,32316,384.0
2008,0.0,305064.0,13775.0,Alberta,3548804,42158.0
2008,0.0,265476.0,55120.0,British Columbia,4319657,64190.0
2008,0.0,92980.0,4735.0,Manitoba,1193396,20146.0
2008,0.0,44426.0,3210.0,New Brunswick,746284,12900.0
2008,0.0,29346.0,1485.0,Newfoundland and Labrador,510989,9078.0
2008,0.0,4348.0,40.0,Northwest Territories,43384,402.0
2008,0.0,0.0,0.0,Northwest Territories including Nunavut,43315,0.0
2008,0.0,55434.0,5745.0,Nova Scotia,935540,16440.0
2008,0.0,4894.0,0.0,Nunavut,31616,294.0
2008,0.0,855802.0,67690.0,Ontario,12814686,176082.0
2008,0.0,8892.0,520.0,Prince Edward Island,137990,2402.0
2008,0.0,0.0,0.0,Province / Territory not stated,139448,0.0
2008,0.0,533502.0,28270.0,Quebec,7724885,114212.0
2008,0.0,82390.0,3470.0,Saskatchewan,1010279,18486.0
2008,0.0,0.0,0.0,Unknown province or territory,1022511,0.0
2008,0.0,0.0,0.0,Unknown province or territory of residence,1022511,48.0
2008,0.0,2238.0,40.0,Yukon,32752,396.0
2009,0.0,310296.0,15090.0,Alberta,3638505,41974.0
2009,0.0,269784.0,60035.0,British Columbia,4381832,62880.0
2009,0.0,95710.0,5090.0,Manitoba,1201705,19944.0
2009,0.0,44344.0,3260.0,New Brunswick,748375,12732.0
2009,0.0,29478.0,1485.0,Newfoundland and Labrador,514210,8782.0
2009,0.0,4294.0,25.0,Northwest Territories,43136,372.0
2009,0.0,0.0,0.0,Northwest Territories including Nunavut,42938,0.0
2009,0.0,54228.0,6410.0,Nova Scotia,937445,16454.0
2009,0.0,5296.0,0.0,Nunavut,32068,324.0
2009,0.0,854794.0,76855.0,Ontario,12932742,176936.0
2009,0.0,8736.0,630.0,Prince Edward Island,139114,2536.0
2009,0.0,0.0,0.0,Province / Territory not stated,140596,0.0
2009,0.0,536850.0,31315.0,Quebec,7799271,115538.0
2009,0.0,85706.0,3730.0,Saskatchewan,1025946,17944.0
2009,0.0,12.0,0.0,Unknown province or territory,1039530,0.0
2009,0.0,0.0,0.0,Unknown province or territory of residence,1039530,18.0
2009,0.0,2294.0,35.0,Yukon,33405,402.0
2010,0.0,305020.0,15400.0,Alberta,3702290,41510.0
2010,0.0,262682.0,65135.0,British Columbia,4441345,62648.0
2010,0.0,94678.0,5250.0,Manitoba,1213941,19970.0
2010,0.0,44122.0,3465.0,New Brunswick,751282,12624.0
2010,0.0,29370.0,1620.0,Newfoundland and Labrador,520276,8962.0
2010,0.0,4212.0,20.0,Northwest Territories,42981,368.0
2010,0.0,0.0,0.0,Northwest Territories including Nunavut,43307,0.0
2010,0.0,53294.0,7655.0,Nova Scotia,940879,16590.0
2010,0.0,5056.0,0.0,Nunavut,32926,264.0
2010,0.0,845008.0,89180.0,Ontario,13059426,178564.0
2010,0.0,8428.0,685.0,Prince Edward Island,140598,2232.0
2010,0.0,0.0,0.0,Province / Territory not stated,142725,0.0
2010,0.0,530396.0,32955.0,Quebec,7886127,117612.0
2010,0.0,85746.0,3860.0,Saskatchewan,1042936,18410.0
2010,0.0,0.0,0.0,Unknown province or territory,1056102,0.0
2010,0.0,0.0,0.0,Unknown province or territory of residence,1056102,0.0
2010,0.0,2290.0,25.0,Yukon,34009,396.0
2011,0.0,306230.0,17735.0,Alberta,3754422,42484.0
