Year,Province,Both sexes,Female,Male,Age 0-14,Age 15-64,Age 65+,Average Age
1998,Canada,29310892.0,14926137.0,14384755.0,5830982.0,19807788.0,3672124.0,36.86
1998,Manitoba,1116172.0,567813.0,548361.0,240258.0,722051.0,153867.0,36.68
1998,New Brunswick,734678.0,374233.0,360443.0,138804.0,500393.0,95477.0,37.46
1998,Newfoundland and Labrador,536246.0,272315.0,263934.0,101382.0,373960.0,60909.0,36.58
1998,Northwest Territories,53584.0,25913.0,27674.0,16644.0,35127.0,1815.0,28.34
1998,Nova Scotia,908772.0,467726.0,441046.0,174076.0,612602.0,122095.0,37.72
1998,Ontario,11016163.0,5630593.0,5385570.0,2221635.0,7405202.0,1389328.0,36.839999999999996
1998,Prince Edward Island,134852.0,68913.0,65936.0,28120.0,88833.0,17898.0,36.92
1998,Quebec,7178269.0,3669109.0,3509157.0,1339946.0,4937974.0,900349.0,37.58
1998,Saskatchewan,985716.0,499358.0,486357.0,220041.0,619280.0,146394.0,36.72
1998,Yukon,29929.0,14623.0,15309.0,6845.0,21576.0,1508.0,32.98
1999,Alberta,2863613.0,1432342.0,1431274.0,616348.0,1955461.0,291802.0,35.019999999999996
1999,British Columbia,3834444.0,1946861.0,1887580.0,717712.0,2606542.0,510189.0,37.86
1999,Canada,29542958.0,15050838.0,14492120.0,5795833.0,20002862.0,3744266.0,37.14
1999,Manitoba,1117308.0,568537.0,548774.0,238077.0,724519.0,154718.0,36.92
1999,New Brunswick,732952.0,373752.0,359197.0,135901.0,500417.0,96628.0,37.84
1999,Newfoundland and Labrador,528474.0,268865.0,259611.0,97178.0,369675.0,61626.0,37.120000000000005
1999,Northwest Territories,48176.0,23357.0,24821.0,14466.0,31958.0,1755.0,29.06
1999,Nova Scotia,908518.0,468124.0,440394.0,171059.0,613873.0,123585.0,38.08
1999,Ontario,11147457.0,5698057.0,5449400.0,2225340.0,7505178.0,1416942.0,37.06
1999,Prince Edward Island,134998.0,69122.0,65874.0,27630.0,89247.0,18122.0,37.28
1999,Quebec,7198006.0,3680951.0,3517053.0,1323824.0,4954011.0,920171.0,37.92
1999,Saskatchewan,983454.0,498632.0,484823.0,215769.0,620900.0,146786.0,36.980000000000004
1999,Yukon,29511.0,14492.0,15021.0,6575.0,21354.0,1582.0,33.52
2000,Alberta,2919209.0,1460281.0,1458932.0,616969.0,2002138.0,300101.0,35.26
2000,British Columbia,3871092.0,1967748.0,1903340.0,711891.0,2637561.0,521637.0,38.18
2000,Canada,29775024.0,15175539.0,14599485.0,5760684.0,20197936.0,3816408.0,37.42
2000,Manitoba,1118444.0,569261.0,549187.0,235896.0,726987.0,155569.0,37.16
2000,New Brunswick,731226.0,373271.0,357951.0,132998.0,500441.0,97779.0,38.22
2000,Newfoundland and Labrador,520702.0,265415.0,255288.0,92974.0,365390.0,62343.0,37.660000000000004
2000,Northwest Territories,42768.0,20801.0,21968.0,12288.0,28789.0,1695.0,29.78
2000,Nova Scotia,908264.0,468522.0,439742.0,168042.0,615144.0,125075.0,38.44
2000,Ontario,11278751.0,5765521.0,5513230.0,2229045.0,7605154.0,1444556.0,37.28
2000,Prince Edward Island,135144.0,69331.0,65812.0,27140.0,89661.0,18346.0,37.64
2000,Quebec,7217743.0,3692793.0,3524949.0,1307702.0,4970048.0,939993.0,38.26
2000,Saskatchewan,981192.0,497906.0,483289.0,211497.0,622520.0,147178.0,37.24
2000,Yukon,29093.0,14361.0,14733.0,6305.0,21132.0,1656.0,34.06
2001,Alberta,2974805.0,1488220.0,1486590.0,617590.0,2048815.0,308400.0,35.5
2001,British Columbia,3907740.0,1988635.0,1919100.0,706070.0,2668580.0,533085.0,38.5
2001,Canada,30007090.0,15300240.0,14706850.0,5725535.0,20393010.0,3888550.0,37.7
2001,Manitoba,1119580.0,569985.0,549600.0,233715.0,729455.0,156420.0,37.4
2001,New Brunswick,729500.0,372790.0,356705.0,130095.0,500465.0,98930.0,38.6
2001,Newfoundland and Labrador,512930.0,261965.0,250965.0,88770.0,361105.0,63060.0,38.2
2001,Northwest Territories,37360.0,18245.0,19115.0,10110.0,25620.0,1635.0,30.5
2001,Nova Scotia,908010.0,468920.0,439090.0,165025.0,616415.0,126565.0,38.8
2001,Nunavut,26745.0,12905.0,13840.0,9925.0,16225.0,600.0,25.1
2001,Ontario,11410045.0,5832985.0,5577060.0,2232750.0,7705130.0,1472170.0,37.5
