REF_DATE,GEO,Number_of_Households
1979-06-01,Newfoundland and Labrador,144
1979-06-01,Ontario,2891
1979-06-01,Prince Edward Island,36
1979-06-01,Quebec,2103
1979-06-01,Canada,7970
1979-07-01,Alberta,701
1979-07-01,British Columbia,955
1979-07-01,Manitoba,349
1979-07-01,New Brunswick,208
1979-07-01,Newfoundland and Labrador,144
1979-07-01,Ontario,2891
1979-07-01,Prince Edward Island,36
1979-07-01,Quebec,2103
1979-07-01,Canada,7970
1979-08-01,Alberta,701
1979-08-01,British Columbia,955
1979-08-01,Manitoba,349
1979-08-01,New Brunswick,208
1979-08-01,Newfoundland and Labrador,144
1979-08-01,Ontario,2891
1979-08-01,Prince Edward Island,36
1979-08-01,Quebec,2103
1979-08-01,Canada,7970
1979-09-01,Alberta,701
1979-09-01,British Columbia,955
1979-09-01,Manitoba,349
1979-09-01,New Brunswick,208
1979-09-01,Newfoundland and Labrador,144
1979-09-01,Ontario,2891
1979-09-01,Prince Edward Island,36
1979-09-01,Quebec,2103
1979-09-01,Canada,7970
1979-10-01,Alberta,701
1979-10-01,British Columbia,955
1979-10-01,Manitoba,349
1979-10-01,New Brunswick,208
1979-10-01,Newfoundland and Labrador,144
1979-10-01,Ontario,2891
1979-10-01,Prince Edward Island,36
1979-10-01,Quebec,2103
1979-10-01,Canada,7970
1979-11-01,Alberta,701
1979-11-01,British Columbia,955
1979-11-01,Manitoba,349
1979-11-01,New Brunswick,208
1979-11-01,Newfoundland and Labrador,144
1979-11-01,Ontario,2891
1979-11-01,Prince Edward Island,36
1979-11-01,Quebec,2103
1979-11-01,Canada,7970
1979-12-01,Alberta,701
1979-12-01,British Columbia,955
1979-12-01,Manitoba,349
1979-12-01,New Brunswick,208
1979-12-01,Newfoundland and Labrador,144
1979-12-01,Ontario,2891
1979-12-01,Prince Edward Island,36
1979-12-01,Quebec,2103
1979-12-01,Canada,7970
1980-01-01,Alberta,739
1980-01-01,British Columbia,990
1980-01-01,Manitoba,355
1980-01-01,New Brunswick,213
1980-01-01,Newfoundland and Labrador,147
1980-01-01,Ontario,2960
1980-01-01,Prince Edward Island,37
1980-01-01,Quebec,2156
1980-01-01,Canada,8194
1980-02-01,Alberta,739
1980-02-01,British Columbia,990
1980-02-01,Manitoba,355
1980-02-01,New Brunswick,213
1980-02-01,Newfoundland and Labrador,147
1980-02-01,Ontario,2960
1980-02-01,Prince Edward Island,37
1980-02-01,Quebec,2156
1980-02-01,Canada,8194
1980-03-01,Alberta,739
1980-03-01,British Columbia,990
1980-03-01,Manitoba,355
1980-03-01,New Brunswick,213
1980-03-01,Newfoundland and Labrador,147
1980-03-01,Ontario,2960
1980-03-01,Prince Edward Island,37
1980-03-01,Quebec,2156
1980-03-01,Canada,8194
1980-04-01,Alberta,739
1980-04-01,British Columbia,990
1980-04-01,Manitoba,355
1980-04-01,New Brunswick,213
1980-04-01,Newfoundland and Labrador,147
1980-04-01,Ontario,2960
1980-04-01,Prince Edward Island,37
1980-04-01,Quebec,2156
1980-04-01,Canada,8194
1980-05-01,Alberta,739
1980-05-01,British Columbia,990
1980-05-01,Manitoba,355
1980-05-01,New Brunswick,213
1980-05-01,Newfoundland and Labrador,147
1980-05-01,Ontario,2960
1980-05-01,Prince Edward Island,37
1980-05-01,Quebec,2156
1980-05-01,Canada,8194
1980-06-01,Alberta,739
1980-06-01,British Columbia,990
1980-06-01,Manitoba,355
1980-06-01,New Brunswick,213
1980-06-01,Newfoundland and Labrador,147
1980-06-01,Ontario,2960
1980-06-01,Prince Edward Island,37
1980-06-01,Quebec,2156
1980-06-01,Canada,8194
1980-07-01,Alberta,739
1980-07-01,British Columbia,990
1980-07-01,Manitoba,355
1980-07-01,New Brunswick,213
1980-07-01,Newfoundland and Labrador,147
1980-07-01,Ontario,2960
1980-07-01,Prince Edward Island,37
1980-07-01,Quebec,2156
1980-07-01,Canada,8194
