,REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI
248,1978-05-01,Ontario,2821,18904.739130434784,15022.669565217391,44410.08695652174,,,
249,1978-05-01,Prince Edward Island,35,20106.95652173913,16161.678260869565,46965.34782608696,,,
250,1978-05-01,Quebec,2049,21309.17391304348,17300.68695652174,49520.608695652176,,,
251,1978-05-01,Canada,7744,12893.652173913044,9327.626086956525,31633.78260869565,,,
252,1978-06-01,Alberta,662,23713.60869565217,19578.70434782609,54631.13043478261,,,
253,1978-06-01,British Columbia,921,24915.82608695652,20717.71304347826,57186.391304347824,,,
254,1978-06-01,Manitoba,344,27320.260869565216,22995.730434782607,62296.91304347826,,,
255,1978-06-01,New Brunswick,204,28522.478260869564,24134.739130434784,64852.17391304348,,,
256,1978-06-01,Newfoundland and Labrador,140,29724.695652173912,25273.747826086958,67407.4347826087,,,
257,1978-06-01,Ontario,2821,32129.130434782608,27551.7652173913,72517.95652173914,,,
258,1978-06-01,Prince Edward Island,35,33331.34782608696,28690.77391304348,75073.21739130435,,,
259,1978-06-01,Quebec,2049,34533.565217391304,29829.78260869565,77628.47826086957,,,
260,1978-06-01,Canada,7744,26118.043478260868,21856.72173913044,59741.65217391305,,,
261,1978-07-01,Alberta,662,36938.0,32107.8,82739.0,,,
262,1978-07-01,British Columbia,921,19882.0,18102.7,39751.0,,,
263,1978-07-01,Manitoba,344,7751.0,6206.9,23745.0,,,
264,1978-07-01,New Brunswick,204,3310.0,3729.7,6250.0,,,
265,1978-07-01,Newfoundland and Labrador,140,1888.0,2389.9,9010.0,,,
266,1978-07-01,Ontario,2821,60997.0,59844.3,184105.0,,,
267,1978-07-01,Prince Edward Island,35,612.0,650.6,1241.0,,,
268,1978-07-01,Quebec,2049,39463.0,25406.5,71502.0,,,
269,1978-07-01,Canada,7744,179341.0,156204.2,455973.0,,,
270,1978-08-01,Alberta,662,6465.695652173913,5779.678260869566,25773.043478260868,,,
271,1978-08-01,British Columbia,921,7644.391304347826,7059.256521739131,28403.08695652174,,,
272,1978-08-01,Manitoba,344,10001.782608695652,9618.413043478262,33663.17391304348,,,
273,1978-08-01,New Brunswick,204,11180.478260869564,10897.991304347826,36293.21739130435,,,
274,1978-08-01,Newfoundland and Labrador,140,12359.173913043478,12177.569565217393,38923.260869565216,,,
275,1978-08-01,Ontario,2821,14716.565217391304,14736.726086956523,44183.34782608696,,,
276,1978-08-01,Prince Edward Island,35,15895.260869565216,16016.30434782609,46813.391304347824,,,
277,1978-08-01,Quebec,2049,17073.95652173913,17295.882608695654,49443.434782608696,,,
278,1978-08-01,Canada,7744,8823.08695652174,8338.834782608697,31033.130434782608,,,
279,1978-09-01,Alberta,662,19431.34782608696,19855.039130434787,54703.52173913043,,,
280,1978-09-01,British Columbia,921,20610.043478260868,21134.617391304357,57333.5652173913,,,
281,1978-09-01,Manitoba,344,22967.434782608696,23693.77391304348,62593.65217391304,,,
282,1978-09-01,New Brunswick,204,24146.130434782608,24973.352173913045,65223.69565217391,,,
283,1978-09-01,Newfoundland and Labrador,140,25324.82608695652,26252.93043478261,67853.73913043478,,,
284,1978-09-01,Ontario,2821,27682.217391304348,28812.086956521744,73113.82608695651,,,
285,1978-09-01,Prince Edward Island,35,28860.91304347826,30091.66521739131,75743.86956521739,,,
286,1978-09-01,Quebec,2049,30039.60869565217,31371.24347826088,78373.91304347826,,,
287,1978-09-01,Canada,7744,21788.739130434784,22414.195652173912,59963.608695652176,,,
288,1978-10-01,Alberta,662,32397.0,33930.4,83634.0,,,
289,1978-10-01,British Columbia,921,18336.0,16990.1,38071.0,,,
290,1978-10-01,Manitoba,344,7268.0,5951.8,22424.0,,,
