,REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI
3532,2008-10-01,Newfoundland and Labrador,204,2135.0,2089.4,4309.0,85.9,75.9,83.0
3533,2008-10-01,Ontario,4851,47009.0,44865.5,204349.0,74.3,90.2,79.1
3534,2008-10-01,Prince Edward Island,56,720.0,438.7,426.0,101.3,87.4,98.6
3535,2008-10-01,Quebec,3314,34188.0,33606.1,67830.0,90.9,83.9,88.7
3536,2008-10-01,Canada,13092,149249.0,120664.4,508592.0,85.6,93.4,87.9
3537,2008-11-01,Alberta,1362,5459.304347826087,3039.391304347826,13822.782608695652,96.5,103.2,98.7
3538,2008-11-01,British Columbia,1732,6029.608695652174,3175.782608695652,16473.565217391304,98.7,100.0,99.0
3539,2008-11-01,Manitoba,467,7170.217391304348,3448.5652173913045,21775.130434782608,78.3,77.8,78.2
3540,2008-11-01,New Brunswick,307,7740.521739130435,3584.9565217391305,24425.91304347826,94.9,92.7,94.3
3541,2008-11-01,Newfoundland and Labrador,204,8310.826086956522,3721.347826086957,27076.695652173912,89.8,75.9,85.9
3542,2008-11-01,Ontario,4851,9451.434782608696,3994.130434782609,32378.260869565216,74.2,90.2,79.0
3543,2008-11-01,Prince Edward Island,56,10021.739130434784,4130.521739130435,35029.043478260865,101.3,87.4,98.6
3544,2008-11-01,Quebec,3314,10592.04347826087,4266.913043478261,37679.82608695652,91.2,84.7,89.2
3545,2008-11-01,Canada,13092,6599.913043478261,3312.173913043478,19124.34782608696,85.2,93.5,87.7
3546,2008-12-01,Alberta,1362,11732.652173913044,4539.695652173913,42981.391304347824,95.5,102.8,97.8
3547,2008-12-01,British Columbia,1732,12302.956521739132,4676.086956521739,45632.17391304347,98.6,100.0,99.0
3548,2008-12-01,Manitoba,467,13443.565217391304,4948.869565217392,50933.739130434784,78.3,77.8,78.2
3549,2008-12-01,New Brunswick,307,14013.869565217392,5085.260869565218,53584.52173913043,94.9,92.7,94.3
3550,2008-12-01,Newfoundland and Labrador,204,14584.17391304348,5221.652173913044,56235.30434782608,90.1,75.9,86.0
3551,2008-12-01,Ontario,4851,15724.782608695652,5494.434782608696,61536.86956521739,74.3,90.2,79.1
3552,2008-12-01,Prince Edward Island,56,16295.08695652174,5630.826086956522,64187.65217391304,101.3,87.4,98.6
3553,2008-12-01,Quebec,3314,16865.391304347828,5767.217391304348,66838.43478260869,91.2,84.7,89.1
3554,2008-12-01,Canada,13092,12873.260869565218,4812.478260869565,48282.95652173913,85.0,93.4,87.5
3555,2009-01-01,Alberta,1390,18006.0,6040.0,72140.0,93.1,100.4,95.5
3556,2009-01-01,British Columbia,1753,18080.0,7673.5,104988.0,97.1,100.0,98.1
3557,2009-01-01,Manitoba,470,2167.0,1223.5,6002.0,78.3,77.8,78.2
3558,2009-01-01,New Brunswick,310,2317.0,811.3,4059.0,96.6,92.7,95.6
3559,2009-01-01,Newfoundland and Labrador,207,1701.0,607.2,3232.0,90.7,76.9,86.8
3560,2009-01-01,Ontario,4910,33271.0,25823.7,196573.0,74.3,90.2,79.1
3561,2009-01-01,Prince Edward Island,56,200.0,101.4,329.0,101.4,88.2,98.8
3562,2009-01-01,Quebec,3360,19735.0,18560.0,66359.0,91.4,84.9,89.3
3563,2009-01-01,Canada,13262,99942.0,62779.0,469819.0,84.5,92.9,87.0
3564,2009-02-01,Alberta,1390,3068.5652173913045,1071.573913043478,11794.347826086956,91.7,97.5,93.6
3565,2009-02-01,British Columbia,1753,3698.130434782609,1472.9478260869564,14120.695652173912,92.6,100.0,95.4
3566,2009-02-01,Manitoba,470,4957.260869565218,2275.695652173913,18773.391304347824,78.3,77.8,78.2
3567,2009-02-01,New Brunswick,310,5586.826086956522,2677.069565217391,21099.739130434784,97.0,92.7,95.9
3568,2009-02-01,Newfoundland and Labrador,207,6216.391304347826,3078.4434782608687,23426.08695652174,90.6,76.9,86.7
3569,2009-02-01,Ontario,4910,7475.521739130435,3881.191304347825,28078.78260869565,74.3,90.2,79.1
3570,2009-02-01,Prince Edward Island,56,8105.086956521739,4282.565217391304,30405.130434782608,102.0,91.4,99.9
3571,2009-02-01,Quebec,3360,8734.652173913044,4683.939130434782,32731.478260869564,91.8,86.3,90.0
3572,2009-02-01,Canada,13262,4327.695652173913,1874.3217391304345,16447.04347826087,83.8,92.3,86.4
3573,2009-03-01,Alberta,1390,9993.782608695652,5486.686956521738,37384.17391304348,91.0,95.7,92.5
3574,2009-03-01,British Columbia,1753,10623.347826086956,5888.060869565216,39710.52173913043,90.6,100.0,94.3
3575,2009-03-01,Manitoba,470,11882.478260869566,6690.808695652173,44363.21739130434,78.3,77.8,78.2
3576,2009-03-01,New Brunswick,310,12512.04347826087,7092.182608695651,46689.5652173913,97.0,92.7,95.9
3577,2009-03-01,Newfoundland and Labrador,207,13141.608695652174,7493.556521739129,49015.91304347826,91.1,76.9,87.1
3578,2009-03-01,Ontario,4910,14400.739130434784,8296.304347826086,53668.608695652176,74.1,90.2,78.9
3579,2009-03-01,Prince Edward Island,56,15030.304347826088,8697.678260869565,55994.95652173913,101.5,91.4,99.5
3580,2009-03-01,Quebec,3360,15659.869565217392,9099.052173913042,58321.30434782609,92.2,86.2,90.2
3581,2009-03-01,Canada,13262,11252.913043478262,6289.434782608694,42036.86956521739,83.3,91.9,86.0
3582,2009-04-01,Alberta,1390,16919.0,9901.8,62974.0,90.1,95.1,91.7
3583,2009-04-01,British Columbia,1753,24595.0,8172.8,87769.0,88.5,100.0,93.3
3584,2009-04-01,Manitoba,470,2597.0,2626.1,6037.0,78.3,77.8,78.2
3585,2009-04-01,New Brunswick,310,1844.0,2653.8,4745.0,96.9,93.6,96.0
3586,2009-04-01,Newfoundland and Labrador,207,1317.0,1598.8,3506.0,91.0,78.2,87.3
3587,2009-04-01,Ontario,4910,42371.0,29511.3,182782.0,73.5,90.2,78.5
3588,2009-04-01,Prince Edward Island,56,242.0,649.9,736.0,101.5,91.4,99.5
3589,2009-04-01,Quebec,3360,26251.0,29478.1,68788.0,92.2,86.3,90.2
3590,2009-04-01,Canada,13262,121541.0,88626.4,432004.0,82.7,91.8,85.5
3591,2009-05-01,Alberta,1390,3864.391304347826,2709.613043478261,10577.04347826087,90.1,93.8,91.3
3592,2009-05-01,British Columbia,1753,4611.782608695652,3225.826086956522,12607.08695652174,89.1,100.0,93.6
3593,2009-05-01,Manitoba,470,6106.565217391304,4258.252173913043,16667.17391304348,78.7,77.8,78.5
3594,2009-05-01,New Brunswick,310,6853.95652173913,4774.465217391304,18697.217391304348,97.0,93.6,96.1
3595,2009-05-01,Newfoundland and Labrador,207,7601.347826086957,5290.678260869565,20727.260869565216,91.0,78.2,87.3
3596,2009-05-01,Ontario,4910,9096.130434782608,6323.104347826087,24787.34782608696,73.2,90.2,78.3
3597,2009-05-01,Prince Edward Island,56,9843.521739130436,6839.317391304348,26817.391304347824,102.1,91.4,100.0
3598,2009-05-01,Quebec,3360,10590.91304347826,7355.530434782608,28847.434782608696,92.3,86.5,90.4
3599,2009-05-01,Canada,13262,5359.173913043478,3742.039130434783,14637.130434782608,82.6,91.5,85.4
3600,2009-06-01,Alberta,1390,12085.695652173914,8387.95652173913,32907.52173913043,90.0,92.9,90.9
3601,2009-06-01,British Columbia,1753,12833.08695652174,8904.169565217391,34937.565217391304,88.0,100.0,92.8
3602,2009-06-01,Manitoba,470,14327.869565217392,9936.595652173912,38997.65217391304,79.1,78.0,78.8
3603,2009-06-01,New Brunswick,310,15075.260869565218,10452.808695652173,41027.69565217391,96.9,92.8,95.9
3604,2009-06-01,Newfoundland and Labrador,207,15822.652173913044,10969.021739130434,43057.739130434784,90.7,80.4,87.7
3605,2009-06-01,Ontario,4910,17317.434782608696,12001.447826086956,47117.82608695652,73.1,90.2,78.3
3606,2009-06-01,Prince Edward Island,56,18064.82608695652,12517.660869565216,49147.86956521739,102.1,91.4,100.0
3607,2009-06-01,Quebec,3360,18812.217391304348,13033.873913043475,51177.91304347826,92.4,86.5,90.5
3608,2009-06-01,Canada,13262,13580.478260869566,9420.382608695652,36967.608695652176,82.5,91.3,85.2
3609,2009-07-01,Alberta,1390,20307.0,14066.3,55238.0,90.6,92.9,91.3
3610,2009-07-01,British Columbia,1753,16639.0,11478.7,82579.0,89.2,100.0,93.4
3611,2009-07-01,Manitoba,470,3106.0,3313.9,6252.0,79.1,78.0,78.9
3612,2009-07-01,New Brunswick,310,2197.0,2768.4,5310.0,96.8,93.6,96.0
3613,2009-07-01,Newfoundland and Labrador,207,1505.0,2248.0,4244.0,90.7,80.4,87.7
3614,2009-07-01,Ontario,4910,28348.0,33955.2,188495.0,73.3,90.2,78.4
3615,2009-07-01,Prince Edward Island,56,251.0,684.8,1169.0,102.1,91.4,100.0
3616,2009-07-01,Quebec,3360,39383.0,31154.1,60972.0,92.4,86.5,90.5
3617,2009-07-01,Canada,13262,116241.0,105929.8,420497.0,82.8,91.3,85.4
3618,2009-08-01,Alberta,1390,3234.4347826086955,3430.660869565217,10777.826086956522,90.8,92.1,91.2
3619,2009-08-01,British Columbia,1753,3704.869565217391,4030.221739130435,12962.652173913044,89.4,100.0,93.6
3620,2009-08-01,Manitoba,470,4645.739130434782,5229.343478260869,17332.304347826088,79.3,78.0,79.0
3621,2009-08-01,New Brunswick,310,5116.173913043478,5828.904347826086,19517.130434782608,96.9,93.6,96.1
3622,2009-08-01,Newfoundland and Labrador,207,5586.608695652174,6428.465217391304,21701.95652173913,89.6,86.1,88.7
3623,2009-08-01,Ontario,4910,6527.478260869565,7627.586956521738,26071.60869565217,73.4,90.2,78.5
3624,2009-08-01,Prince Edward Island,56,6997.913043478261,8227.147826086955,28256.43478260869,102.1,92.0,100.1
3625,2009-08-01,Quebec,3360,7468.347826086956,8826.708695652173,30441.260869565216,92.6,86.6,90.7
3626,2009-08-01,Canada,13262,4175.304347826087,4629.782608695652,15147.478260869564,82.9,91.3,85.5
3627,2009-09-01,Alberta,1390,8409.217391304348,10025.830434782609,34810.91304347826,91.2,92.3,91.5
3628,2009-09-01,British Columbia,1753,8879.652173913044,10625.391304347826,36995.739130434784,91.4,100.1,94.8
3629,2009-09-01,Manitoba,470,9820.521739130434,11824.51304347826,41365.391304347824,79.4,78.0,79.0
3630,2009-09-01,New Brunswick,310,10290.95652173913,12424.073913043478,43550.21739130434,97.5,93.6,96.5
3631,2009-09-01,Newfoundland and Labrador,207,10761.391304347826,13023.634782608697,45735.04347826087,89.6,86.1,88.7
3632,2009-09-01,Ontario,4910,11702.260869565216,14222.75652173913,50104.69565217391,73.9,90.3,78.9
3633,2009-09-01,Prince Edward Island,56,12172.695652173912,14822.317391304348,52289.52173913043,102.1,92.0,100.1
3634,2009-09-01,Quebec,3360,12643.130434782608,15421.878260869564,54474.34782608695,92.8,86.6,90.8
3635,2009-09-01,Canada,13262,9350.08695652174,11224.952173913043,39180.5652173913,83.5,91.3,85.9
3636,2009-10-01,Alberta,1390,13584.0,16621.0,58844.0,91.6,91.4,91.5
3637,2009-10-01,British Columbia,1753,20569.0,13077.7,75299.0,92.4,100.1,95.3
3638,2009-10-01,Manitoba,470,3602.0,2332.9,4950.0,79.4,78.0,79.0
3639,2009-10-01,New Brunswick,310,2639.0,2189.6,4856.0,97.4,93.6,96.5
3640,2009-10-01,Newfoundland and Labrador,207,2032.0,2123.5,4334.0,89.6,86.1,88.7
3641,2009-10-01,Ontario,4910,36191.0,39386.1,191725.0,74.2,90.3,79.1
3642,2009-10-01,Prince Edward Island,56,634.0,768.2,1304.0,101.3,92.0,99.5
3643,2009-10-01,Quebec,3360,28039.0,33654.9,66592.0,93.1,87.4,91.2
3644,2009-10-01,Canada,13262,113826.0,115430.0,422665.0,83.8,91.2,86.1
3645,2009-11-01,Alberta,1390,3992.391304347826,3518.913043478261,10277.434782608696,91.9,91.6,91.7
3646,2009-11-01,British Columbia,1753,4514.782608695652,3948.826086956522,12389.869565217392,92.8,100.1,95.6
3647,2009-11-01,Manitoba,470,5559.565217391304,4808.652173913044,16614.739130434784,79.5,78.0,79.1
3648,2009-11-01,New Brunswick,310,6081.95652173913,5238.565217391304,18727.17391304348,97.6,93.6,96.6
3649,2009-11-01,Newfoundland and Labrador,207,6604.347826086957,5668.478260869565,20839.60869565217,90.5,86.1,89.3
3650,2009-11-01,Ontario,4910,7649.130434782609,6528.304347826087,25064.478260869564,74.6,90.5,79.4
3651,2009-11-01,Prince Edward Island,56,8171.521739130435,6958.217391304348,27176.91304347826,101.3,92.0,99.5
3652,2009-11-01,Quebec,3360,8693.91304347826,7388.130434782609,29289.34782608696,93.7,87.4,91.6
3653,2009-11-01,Canada,13262,5037.173913043478,4378.739130434782,14502.304347826086,84.2,91.4,86.4
3654,2009-12-01,Alberta,1390,9738.695652173914,8247.95652173913,33514.217391304344,92.1,91.2,91.7
3655,2009-12-01,British Columbia,1753,10261.08695652174,8677.869565217392,35626.65217391304,93.8,100.1,96.1
3656,2009-12-01,Manitoba,470,11305.869565217392,9537.695652173912,39851.52173913043,79.9,78.0,79.4
3657,2009-12-01,New Brunswick,310,11828.260869565218,9967.608695652174,41963.95652173913,97.5,93.6,96.5
3658,2009-12-01,Newfoundland and Labrador,207,12350.652173913044,10397.521739130436,44076.391304347824,91.4,86.1,89.9
3659,2009-12-01,Ontario,4910,13395.434782608696,11257.347826086956,48301.260869565216,75.2,90.6,79.9
3660,2009-12-01,Prince Edward Island,56,13917.826086956522,11687.260869565218,50413.69565217391,101.3,92.0,99.5
3661,2009-12-01,Quebec,3360,14440.217391304348,12117.173913043478,52526.13043478261,93.8,87.4,91.8
3662,2009-12-01,Canada,13262,10783.478260869566,9107.782608695652,37739.086956521736,84.7,91.3,86.7
3663,2010-01-01,Alberta,1419,15485.0,12977.0,56751.0,92.7,91.1,92.1
3664,2010-01-01,British Columbia,1774,19909.0,14954.0,68310.0,94.5,100.1,96.5
3665,2010-01-01,Manitoba,472,2718.0,2057.0,4803.0,80.2,79.0,79.9
3666,2010-01-01,New Brunswick,312,1945.0,1061.0,3985.0,97.3,93.6,96.4
3667,2010-01-01,Newfoundland and Labrador,209,1939.0,947.0,3340.0,92.9,87.4,91.5
3668,2010-01-01,Ontario,4970,27902.0,28295.0,192439.0,75.7,90.6,80.2
3669,2010-01-01,Prince Edward Island,57,474.0,96.0,910.0,101.2,92.0,99.3
3670,2010-01-01,Quebec,3405,19740.0,24272.0,68194.0,93.9,87.4,91.8
3671,2010-01-01,Canada,13433,94497.0,88153.0,412799.0,85.2,91.4,87.1
3672,2010-02-01,Alberta,1419,3093.304347826087,2568.0,9955.652173913044,92.9,91.1,92.3
3673,2010-02-01,British Columbia,1774,3704.608695652174,3321.0,12214.304347826088,95.2,100.1,97.0
3674,2010-02-01,Manitoba,472,4927.217391304348,4827.0,16731.608695652176,80.4,83.5,81.4
3675,2010-02-01,New Brunswick,312,5538.521739130435,5580.0,18990.260869565216,97.5,93.6,96.5
3676,2010-02-01,Newfoundland and Labrador,209,6149.826086956522,6333.0,21248.91304347826,92.9,87.4,91.5
3677,2010-02-01,Ontario,4970,7372.434782608696,7839.0,25766.217391304348,75.6,89.9,80.0
3678,2010-02-01,Prince Edward Island,57,7983.739130434783,8592.0,28024.869565217392,100.4,92.0,98.8
3679,2010-02-01,Quebec,3405,8595.04347826087,9345.0,30283.52173913044,94.2,87.4,92.0
3680,2010-02-01,Canada,13433,4315.913043478261,4074.0,14472.95652173913,85.3,91.2,87.1
3681,2010-03-01,Alberta,1419,9817.652173913044,10851.0,34800.82608695652,93.3,90.5,92.3
3682,2010-03-01,British Columbia,1774,10428.956521739132,11604.0,37059.47826086957,96.2,100.1,97.5
3683,2010-03-01,Manitoba,472,11651.565217391304,13110.0,41576.782608695656,80.9,83.5,81.8
3684,2010-03-01,New Brunswick,312,12262.869565217392,13863.0,43835.434782608696,97.5,93.6,96.5
3685,2010-03-01,Newfoundland and Labrador,209,12874.17391304348,14616.0,46094.086956521736,92.9,87.4,91.5
3686,2010-03-01,Ontario,4970,14096.782608695652,16122.0,50611.391304347824,76.1,89.3,80.2
3687,2010-03-01,Prince Edward Island,57,14708.08695652174,16875.0,52870.04347826087,99.8,92.0,98.4
3688,2010-03-01,Quebec,3405,15319.391304347828,17628.0,55128.69565217391,94.6,88.7,92.8
3689,2010-03-01,Canada,13433,11040.260869565218,12357.0,39318.13043478261,85.8,90.9,87.4
3690,2010-04-01,Alberta,1419,16542.0,19134.0,59646.0,93.3,91.1,92.6
3691,2010-04-01,British Columbia,1774,19020.0,17548.0,66890.0,96.7,100.1,97.8
3692,2010-04-01,Manitoba,472,1804.0,3774.0,6773.0,81.2,83.5,82.0
3693,2010-04-01,New Brunswick,312,1836.0,2885.0,5040.0,97.4,93.9,96.5
3694,2010-04-01,Newfoundland and Labrador,209,1506.0,2467.0,4302.0,94.2,87.4,92.5
3695,2010-04-01,Ontario,4970,41456.0,43181.0,194103.0,76.3,89.3,80.3
3696,2010-04-01,Prince Edward Island,57,316.0,698.0,1294.0,99.4,92.0,98.1
3697,2010-04-01,Quebec,3405,31334.0,41001.0,78285.0,94.7,88.6,92.8
3698,2010-04-01,Canada,13433,118182.0,136903.0,432085.0,86.0,91.0,87.6
3699,2010-05-01,Alberta,1419,3156.130434782609,3843.565217391305,10510.217391304348,93.7,90.8,92.7
3700,2010-05-01,British Columbia,1774,3917.2608695652175,4472.130434782609,12668.434782608696,97.0,100.2,98.0
3701,2010-05-01,Manitoba,472,5439.521739130435,5729.260869565218,16984.869565217392,81.5,83.5,82.2
3702,2010-05-01,New Brunswick,312,6200.652173913044,6357.826086956522,19143.08695652174,97.9,94.7,97.1
3703,2010-05-01,Newfoundland and Labrador,209,6961.782608695652,6986.391304347826,21301.304347826088,94.5,87.5,92.7
3704,2010-05-01,Ontario,4970,8484.04347826087,8243.521739130436,25617.739130434784,76.9,89.1,80.7
3705,2010-05-01,Prince Edward Island,57,9245.17391304348,8872.08695652174,27775.95652173913,99.8,92.0,98.4
3706,2010-05-01,Quebec,3405,10006.304347826088,9500.652173913044,29934.17391304348,94.2,91.5,93.1
3707,2010-05-01,Canada,13433,4678.391304347826,5100.695652173913,14826.652173913044,86.4,91.2,87.9
3708,2010-06-01,Alberta,1419,11528.565217391304,10757.782608695652,34250.608695652176,93.6,90.8,92.6
3709,2010-06-01,British Columbia,1774,12289.695652173914,11386.347826086956,36408.82608695653,96.8,100.2,97.9
3710,2010-06-01,Manitoba,472,13811.956521739132,12643.478260869566,40725.260869565216,82.1,83.5,82.6
3711,2010-06-01,New Brunswick,312,14573.08695652174,13272.04347826087,42883.47826086957,99.2,95.8,98.4
3712,2010-06-01,Newfoundland and Labrador,209,15334.217391304348,13900.608695652174,45041.69565217392,94.8,87.9,93.0
3713,2010-06-01,Ontario,4970,16856.478260869568,15157.739130434784,49358.13043478261,77.2,89.1,80.9
3714,2010-06-01,Prince Edward Island,57,17617.608695652176,15786.304347826088,51516.34782608696,99.5,92.0,98.1
3715,2010-06-01,Quebec,3405,18378.739130434784,16414.869565217392,53674.56521739131,94.4,91.5,93.2
3716,2010-06-01,Canada,13433,13050.826086956522,12014.913043478262,38567.04347826087,86.6,91.2,88.0
3717,2010-07-01,Alberta,1419,19901.0,17672.0,57991.0,93.6,90.8,92.6
3718,2010-07-01,British Columbia,1774,15589.0,18676.0,71970.0,96.4,99.0,97.2
3719,2010-07-01,Manitoba,472,3975.0,4694.0,7462.0,82.4,83.5,82.8
3720,2010-07-01,New Brunswick,312,1872.0,3527.0,6691.0,99.2,95.8,98.3
3721,2010-07-01,Newfoundland and Labrador,209,1497.0,2511.0,5329.0,94.8,87.9,93.0
3722,2010-07-01,Ontario,4970,49074.0,42223.0,187914.0,77.1,89.0,80.8
3723,2010-07-01,Prince Edward Island,57,604.0,533.0,1227.0,99.2,92.0,97.9
3724,2010-07-01,Quebec,3405,38758.0,34630.0,73637.0,94.4,91.5,93.2
3725,2010-07-01,Canada,13433,137295.0,132084.0,429427.0,86.5,91.0,87.9
3726,2010-08-01,Alberta,1419,3948.478260869565,4624.347826086956,11069.217391304348,93.5,90.8,92.6
3727,2010-08-01,British Columbia,1774,4620.95652173913,5033.695652173913,12969.434782608696,96.4,99.0,97.2
3728,2010-08-01,Manitoba,472,5965.913043478261,5852.391304347826,16769.869565217392,82.8,83.5,83.1
3729,2010-08-01,New Brunswick,312,6638.391304347826,6261.739130434782,18670.086956521736,99.1,95.8,98.3
3730,2010-08-01,Newfoundland and Labrador,209,7310.869565217392,6671.086956521739,20570.304347826088,94.8,87.9,93.0
3731,2010-08-01,Ontario,4970,8655.826086956522,7489.782608695652,24370.739130434784,77.4,89.1,81.0
3732,2010-08-01,Prince Edward Island,57,9328.304347826088,7899.130434782608,26270.95652173913,99.2,92.0,97.9
3733,2010-08-01,Quebec,3405,10000.782608695652,8308.478260869564,28171.17391304348,94.5,91.5,93.4
3734,2010-08-01,Canada,13433,5293.434782608696,5443.04347826087,14869.652173913044,86.6,91.0,88.0
3735,2010-09-01,Alberta,1419,11345.739130434784,9127.173913043478,31971.60869565217,93.6,91.2,92.7
3736,2010-09-01,British Columbia,1774,12018.217391304348,9536.521739130434,33871.82608695652,95.8,99.0,96.8
3737,2010-09-01,Manitoba,472,13363.173913043478,10355.217391304348,37672.260869565216,82.8,83.6,83.2
3738,2010-09-01,New Brunswick,312,14035.652173913044,10764.565217391304,39572.47826086957,99.2,95.8,98.4
3739,2010-09-01,Newfoundland and Labrador,209,14708.13043478261,11173.91304347826,41472.69565217391,94.8,87.9,93.0
3740,2010-09-01,Ontario,4970,16053.08695652174,11992.608695652174,45273.13043478261,77.4,89.1,81.0
3741,2010-09-01,Prince Edward Island,57,16725.565217391304,12401.95652173913,47173.34782608695,99.2,92.0,97.9
3742,2010-09-01,Quebec,3405,17398.04347826087,12811.304347826086,49073.5652173913,94.8,94.7,94.6
3743,2010-09-01,Canada,13433,12690.695652173914,9945.869565217392,35772.043478260865,86.6,91.5,88.1
3744,2010-10-01,Alberta,1419,18743.0,13630.0,52874.0,93.0,91.4,92.4
3745,2010-10-01,British Columbia,1774,17653.0,16797.0,71338.0,95.9,98.8,96.8
3746,2010-10-01,Manitoba,472,2887.0,3163.0,7741.0,82.8,83.6,83.2
3747,2010-10-01,New Brunswick,312,2176.0,2762.0,7276.0,99.2,95.8,98.4
3748,2010-10-01,Newfoundland and Labrador,209,2364.0,1952.0,4921.0,94.8,87.9,93.0
3749,2010-10-01,Ontario,4970,39642.0,39511.0,188073.0,77.6,89.1,81.2
3750,2010-10-01,Prince Edward Island,57,886.0,545.0,880.0,99.2,92.0,97.9
3751,2010-10-01,Quebec,3405,29347.0,34637.0,79225.0,95.0,94.8,94.7
3752,2010-10-01,Canada,13433,119857.0,120096.0,430535.0,86.6,91.5,88.2
3753,2010-11-01,Alberta,1419,3869.217391304348,4886.217391304348,11891.521739130434,92.8,92.0,92.5
3754,2010-11-01,British Columbia,1774,4341.434782608696,5126.434782608696,13554.04347826087,95.6,98.8,96.6
3755,2010-11-01,Manitoba,472,5285.869565217391,5606.869565217391,16879.08695652174,82.8,83.6,83.2
3756,2010-11-01,New Brunswick,312,5758.086956521739,5847.086956521739,18541.608695652176,99.0,95.8,98.2
3757,2010-11-01,Newfoundland and Labrador,209,6230.304347826087,6087.304347826087,20204.130434782608,97.8,94.6,97.0
3758,2010-11-01,Ontario,4970,7174.739130434782,6567.739130434782,23529.17391304348,78.1,89.1,81.5
3759,2010-11-01,Prince Edward Island,57,7646.95652173913,6807.95652173913,25191.695652173912,98.7,92.0,97.5
3760,2010-11-01,Quebec,3405,8119.173913043478,7048.173913043478,26854.217391304348,94.8,95.7,94.9
3761,2010-11-01,Canada,13433,4813.652173913044,5366.652173913044,15216.565217391304,86.8,91.8,88.4
3762,2010-12-01,Alberta,1419,9063.608695652174,7528.608695652174,30179.260869565216,92.8,92.0,92.5
3763,2010-12-01,British Columbia,1774,9535.826086956522,7768.826086956522,31841.78260869565,95.5,98.8,96.5
3764,2010-12-01,Manitoba,472,10480.260869565216,8249.260869565216,35166.82608695652,84.1,83.8,84.1
3765,2010-12-01,New Brunswick,312,10952.478260869564,8489.478260869564,36829.34782608696,99.0,95.8,98.2
3766,2010-12-01,Newfoundland and Labrador,209,11424.695652173912,8729.695652173912,38491.86956521739,97.8,94.6,97.0
3767,2010-12-01,Ontario,4970,12369.130434782608,9210.130434782608,41816.91304347826,77.9,89.4,81.6
3768,2010-12-01,Prince Edward Island,57,12841.347826086956,9450.347826086956,43479.434782608696,98.7,92.0,97.5
3769,2010-12-01,Quebec,3405,13313.565217391304,9690.565217391304,45141.95652173913,94.4,95.7,94.6
3770,2010-12-01,Canada,13433,10008.043478260868,8009.04347826087,33504.30434782609,86.7,92.0,88.4
3771,2011-01-01,Alberta,1447,14258.0,10171.0,48467.0,92.8,92.1,92.6
3772,2011-01-01,British Columbia,1795,11269.0,14819.0,74011.0,95.5,98.8,96.6
3773,2011-01-01,Manitoba,475,1823.0,1699.0,7668.0,84.4,84.9,84.6
3774,2011-01-01,New Brunswick,315,2173.0,327.0,5430.0,98.8,95.8,98.0
3775,2011-01-01,Newfoundland and Labrador,212,2056.0,822.0,3679.0,97.9,94.7,97.2
3776,2011-01-01,Ontario,5030,35293.0,33637.0,184710.0,78.2,89.4,81.8
3777,2011-01-01,Prince Edward Island,58,440.0,254.0,721.0,98.7,92.0,97.5
3778,2011-01-01,Quebec,3451,20725.0,21879.0,76733.0,95.0,95.7,95.0
3779,2011-01-01,Canada,13606,92462.0,88394.0,420095.0,87.0,92.1,88.6
3780,2011-02-01,Alberta,1447,3211.4347826086955,3414.826086956522,12342.260869565218,92.8,93.2,93.0
3781,2011-02-01,British Columbia,1795,3639.869565217391,3925.652173913044,14062.521739130436,95.7,98.8,96.6
3782,2011-02-01,Manitoba,475,4496.739130434782,4947.304347826087,17503.04347826087,85.2,84.9,85.2
3783,2011-02-01,New Brunswick,315,4925.173913043478,5458.130434782609,19223.304347826088,98.7,95.8,97.9
3784,2011-02-01,Newfoundland and Labrador,212,5353.608695652174,5968.95652173913,20943.565217391304,97.9,94.7,97.2
3785,2011-02-01,Ontario,5030,6210.478260869565,6990.608695652174,24384.08695652174,78.7,89.5,82.2
3786,2011-02-01,Prince Edward Island,58,6638.91304347826,7501.434782608696,26104.34782608696,100.3,92.6,98.9
3787,2011-02-01,Quebec,3451,7067.347826086956,8012.260869565218,27824.608695652176,95.3,96.0,95.3
3788,2011-02-01,Canada,13606,4068.304347826087,4436.478260869565,15782.782608695652,87.3,92.4,89.0
3789,2011-03-01,Alberta,1447,7924.217391304348,9033.91304347826,31265.130434782608,92.7,93.0,92.8
3790,2011-03-01,British Columbia,1795,8352.652173913044,9544.739130434784,32985.391304347824,96.0,98.8,96.8
3791,2011-03-01,Manitoba,475,9209.521739130434,10566.391304347826,36425.91304347826,85.5,85.0,85.5
3792,2011-03-01,New Brunswick,315,9637.95652173913,11077.217391304348,38146.17391304348,99.1,95.8,98.3
3793,2011-03-01,Newfoundland and Labrador,212,10066.391304347826,11588.04347826087,39866.434782608696,97.9,94.7,97.2
3794,2011-03-01,Ontario,5030,10923.260869565216,12609.695652173914,43306.956521739135,78.9,89.6,82.3
3795,2011-03-01,Prince Edward Island,58,11351.695652173912,13120.521739130436,45027.21739130435,100.3,92.6,98.9
3796,2011-03-01,Quebec,3451,11780.130434782608,13631.347826086956,46747.47826086957,95.4,95.6,95.3
3797,2011-03-01,Canada,13606,8781.08695652174,10055.565217391304,34705.65217391304,87.4,92.3,89.0
3798,2011-04-01,Alberta,1447,12637.0,14653.0,50188.0,92.5,92.9,92.7
3799,2011-04-01,British Columbia,1795,17313.0,17932.0,74053.0,95.9,99.1,96.9
