Date,GEO,College,Elementary and/or High School,University
01-01-2030,Ontario,13.614296971673564,7.594017304428935,36.48818594702982
01-01-2030,Prince Edward Island,10.087377422758463,5.048933710693007,31.228375790254034
01-01-2030,Quebec,25.594986343237583,4.374393962830254,28.481304742291535
01-01-2030,Saskatchewan,6.126674556688516,6.343945159756357,30.187697867761162
01-01-2031,Alberta,7.081011918188216,5.6680373831253466,31.52264689131629
01-01-2031,British Columbia,9.49994736528656,3.869581624847619,35.241282999833125
01-01-2031,Canada,13.993497905456666,4.0686204461557995,34.81228075144702
01-01-2031,Manitoba,6.869959261813046,4.528504502388868,30.35337023309868
01-01-2031,New Brunswick,9.671712459402766,3.552935165922526,25.649411840586833
01-01-2031,Newfoundland and Labrador,12.334848463318718,4.494516837428074,30.71139449043311
