REF_DATE,GEO,Full-time educators,Part-time educators,"Total, work status",Education price index (EPI),Fees and contractual services sub-index,Instructional supplies sub-index,Non-salary sub-index,Non-teaching salaries sub-index,Salaries and wages sub-index,"School facilities, supplies and services sub-index",Teachers' salaries sub-index,Teachers salaries,Total expenditures,Total operating expenditures,College,Elementary and/or High School,University,Educator_to_OperatingSpending,Salary_to_EPI,OpSpend_per_Educator,Education_Access_Index,Capital_Efficiency
01-01-2035,Canada,418754.89550824603,78698.13525343809,480309.0896519046,163.0199379659818,211.88676527461217,193.36099842312765,193.47623390639177,151.1875939325126,156.69210539936495,163.20851125552858,157.34166251841077,1324738.7080046206,2751457.639645195,2564232.74526274,7.895003631478568,0.790842834705098,44.399005462833706,0.16961907596393375,8284.465369162206,5.583221902012587,17.823077961158788,17339.89639013497
01-01-2020,Manitoba,12281.245499699953,1618.957476294248,13890.452093786053,157.3641014729182,213.46756623975784,206.52984325606243,185.2486722185322,154.18306510313798,152.08817498147778,151.98858515715017,151.7295941669166,53676.9571329614,100112.39408556189,95015.99374950414,7.01895817576869,4.855981913098207,29.296785141658937,0.14571177737179458,341.2740885520377,6.850052107436946,13.760431667360145,659.7019405996916
01-01-2021,Manitoba,12363.345442460857,1561.1004318786975,13870.077149512877,157.39161063461611,213.27926280366486,206.12623070649047,185.46613359465843,154.25855776420246,152.1459267139947,152.1442591261738,151.78301208494727,53710.591568634874,100308.91301918,95073.18506702571,7.10449063324911,4.898785001548997,29.585013660238406,0.14599956030367123,341.297921656055,6.8541821432962395,13.84684173175336,660.8019961303189
01-01-2022,Manitoba,12429.05967840008,1502.2208003008252,13913.531452502337,157.35572190849234,213.33052757131796,206.10392100892324,185.60371196611226,154.21271885725338,152.10303015690724,152.03599943432047,151.74133888422926,53699.80117040639,100236.69328284678,95056.54221856841,6.856317196612451,4.68407204363707,29.81996763496517,0.14630944947100796,341.27601934934677,6.834789608011024,13.765857811870976,660.4039101880218
01-01-2023,Manitoba,12404.476496484212,1459.103716627256,13888.792645889433,157.34476128669604,213.42832365842048,206.05822213957535,185.64514185131753,154.17382339753874,152.07688596602924,151.95544534647556,151.71776740197663,53676.61867526261,100152.26717208084,95036.85360830405,6.50434369979105,4.674830347009568,29.72777497525444,0.14587485904007402,341.2447723658539,6.848929887486111,13.545403185657202,660.0919641697247
01-01-2024,Manitoba,12403.003252637076,1423.05754409082,13789.903216320472,157.41865906480146,213.47777474880672,206.81209066434235,184.95229814671205,154.22611971052362,152.14052681190284,152.08170297544038,151.7824372957387,53683.79210940917,100147.61780478746,95011.12058904846,6.314851535646431,4.918834249376538,29.500878928555434,0.14463833285004923,341.2663851794732,6.900013548029913,13.341604527196186,659.6855249589414
01-01-2025,Manitoba,12485.103195397776,1365.2004996753078,13769.52827204732,157.4461682264993,213.28947131271462,206.4084781147735,185.16975952283588,154.30161237158782,152.1982785444196,152.23737694446365,151.83585521376924,53717.42654508254,100344.13673840485,95068.31190656999,6.400383993126527,4.9616373378271525,29.78910744713455,0.1449261157819245,341.2902182834896,6.904143583889205,13.428014591588934,660.7855804895642
01-01-2026,Manitoba,12632.843823568246,1312.4808259500978,13630.151774511867,157.63560700036496,213.09371300807257,208.7653927856006,183.455999501645,154.52778689147164,152.41370914291622,152.71114324138196,152.0466784944405,53831.587226182506,100582.90849994123,95037.30454833117,6.553630414173239,5.3874747347829866,29.820092180008945,0.14330981027250697,341.39747977854717,6.9773946493623,13.463472683076931,660.087491250874
01-01-2027,Manitoba,12972.559351122334,1220.909301163606,13506.734440207721,157.91801516225883,212.47995498402182,212.54563605833468,181.3711267122321,154.94418846935935,152.7881795250307,153.51195190588558,152.4096782856101,54109.50712397914,101211.29894891316,95007.10274152465,7.023605658228426,5.842050727742377,30.423287672664056,0.14210074582110352,341.5228643314566,7.046513322132421,13.879266413179096,659.2891083792333
01-01-2028,Manitoba,13429.561590514966,1089.3952323725723,13443.533399999586,158.2269382947099,211.4502730907399,216.18791894143166,180.3814624216821,155.4652488305479,153.25432306089095,154.44233477538285,152.86165325917713,54524.41151119428,102241.83716637133,94985.6978278853,7.613744693316262,6.181160130247422,31.582459801931087,0.14205955550202207,341.54091726531544,7.088988981661938,14.62160237490653,659.1911555332542
