REF_DATE,GEO,Full-time,Part-time,Total
01-01-2030,Saskatchewan,10933.584427888194,755.4783836021661,11558.504627767603
01-01-2030,Prince Edward Island,1428.3827633748429,-215.39783019601754,830.9321923397904
01-01-2030,Canada,399659.568283557,78176.46183908907,452883.84870131064
01-01-2030,Newfoundland and Labrador,5086.065655690748,-273.5107945912789,4846.836830795771
01-01-2031,Canada,404173.3394435536,78234.74753821924,457256.2835544511
01-01-2031,Alberta,34860.49624060911,3091.35222766797,36078.08332043949
01-01-2031,Nova Scotia,12729.425627906481,15979.88181818182,12475.028221026629
01-01-2031,Saskatchewan,11113.202907520432,645.2934518647752,11642.446326506128
01-01-2031,New Brunswick,10717.855234972725,200.99371878937097,9138.052790304495
01-01-2031,British Columbia,59434.62703553108,7243.411803276985,64152.19831435124
