Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
2005,Unknown province or territory of residence,0,0,0,108,993299.0
2005,Yukon,0,30,1926,328,31914.75
2006,Alberta,0,12380,271360,39080,3411010.0
2006,British Columbia,0,50750,250330,61376,4236595.5
2006,Manitoba,0,4990,87374,19548,1182270.75
2006,New Brunswick,0,3120,42172,12020,745979.0
2006,Newfoundland and Labrador,0,1210,27216,8986,511107.75
2006,Northwest Territories,0,50,4334,364,43201.5
2006,Northwest Territories including Nunavut,0,0,0,0,43205.0
2006,Nova Scotia,0,5380,51374,16176,937681.25
2006,Nunavut,0,0,4633,258,30727.0
2006,Ontario,0,64405,828464,169048,12642186.75
2006,Prince Edward Island,0,390,8474,2344,137880.5
2006,Province / Territory not stated,0,0,0,0,137898.0
2006,Quebec,0,26225,491218,108480,7626126.5
2006,Saskatchewan,0,3355,73742,18108,992287.25
2006,Unknown province or territory,0,0,0,0,993359.0
2006,Unknown province or territory of residence,0,0,0,14,993359.0
2006,Yukon,0,25,2182,356,32224.25
2007,Alberta,0,13110,294070,40404,3502798.25
2007,British Columbia,0,53070,261738,62616,4286277.0
2007,Manitoba,0,5065,91688,19916,1188011.5
2007,New Brunswick,0,3195,42880,12648,745337.25
2007,Newfoundland and Labrador,0,1415,27302,9010,509689.5
2007,Northwest Territories,0,45,4506,348,43224.25
2007,Northwest Territories including Nunavut,0,0,0,0,43286.0
2007,Nova Scotia,0,5400,53680,16706,935464.25
2007,Nunavut,0,0,4864,258,31273.75
2007,Ontario,0,66360,839958,174680,12750761.75
2007,Prince Edward Island,0,470,8328,2294,137803.25
2007,Province / Territory not stated,0,0,0,0,138020.0
2007,Quebec,0,27575,506472,113042,7685038.75
2007,Saskatchewan,0,3325,79486,18124,1000522.5
2007,Unknown province or territory,0,0,0,0,1007305.0
2007,Unknown province or territory of residence,0,0,0,4,1007305.0
2007,Yukon,0,35,2130,384,32452.0
2008,Alberta,0,13775,305064,42158,3582868.25
2008,British Columbia,0,55120,265476,64190,4342957.25
2008,Manitoba,0,4735,92980,20146,1196341.75
2008,New Brunswick,0,3210,44426,12900,746863.75
2008,Newfoundland and Labrador,0,1485,29346,9078,511805.5
2008,Northwest Territories,0,40,4348,402,43368.0
2008,Northwest Territories including Nunavut,0,0,0,0,43315.0
2008,Nova Scotia,0,5745,55434,16440,936079.25
2008,Nunavut,0,0,4894,294,31791.75
2008,Ontario,0,67690,855802,176082,12866628.0
2008,Prince Edward Island,0,520,8892,2402,138587.25
2008,Province / Territory not stated,0,0,0,0,139448.0
2008,Quebec,0,28270,533502,114212,7753266.0
2008,Saskatchewan,0,3470,82390,18486,1015901.75
2008,Unknown province or territory,0,0,0,0,1022511.0
2008,Unknown province or territory of residence,0,0,0,48,1022511.0
2008,Yukon,0,40,2238,396,33024.5
2009,Alberta,0,15090,310296,41974,3667767.0
2009,British Columbia,0,60035,269784,62880,4404782.25
2009,Manitoba,0,5090,95710,19944,1206538.5
2009,New Brunswick,0,3260,44344,12732,749640.5
2009,Newfoundland and Labrador,0,1485,29478,8782,516158.25
2009,Northwest Territories,0,25,4294,372,43091.75
2009,Northwest Territories including Nunavut,0,0,0,0,42938.0
2009,Nova Scotia,0,6410,54228,16454,938439.5
2009,Nunavut,0,0,5296,324,32470.25
2009,Ontario,0,76855,854794,176936,12984262.25
2009,Prince Edward Island,0,630,8736,2536,139693.25
2009,Province / Territory not stated,0,0,0,0,140596.0
2009,Quebec,0,31315,536850,115538,7833114.5
2009,Saskatchewan,0,3730,85706,17944,1032532.25
2009,Unknown province or territory,0,0,12,0,1039530.0
2009,Unknown province or territory of residence,0,0,0,18,1039530.0
2009,Yukon,0,35,2294,402,33687.0
2010,Alberta,0,15400,305020,41510,3724157.0
2010,British Columbia,0,65135,262682,62648,4461067.75
2010,Manitoba,0,5250,94678,19970,1219001.0
2010,New Brunswick,0,3465,44122,12624,752655.75
2010,Newfoundland and Labrador,0,1620,29370,8962,521584.0
2010,Northwest Territories,0,20,4212,368,43185.25
2010,Northwest Territories including Nunavut,0,0,0,0,43307.0
2010,Nova Scotia,0,7655,53294,16590,942047.75
2010,Nunavut,0,0,5056,264,33251.25
2010,Ontario,0,89180,845008,178564,13118704.5
2010,Prince Edward Island,0,685,8428,2232,141486.25
2010,Province / Territory not stated,0,0,0,0,142725.0
2010,Quebec,0,32955,530396,117612,7918616.25
2010,Saskatchewan,0,3860,85746,18410,1049310.75
2010,Unknown province or territory,0,0,0,0,1056102.0
2010,Unknown province or territory of residence,0,0,0,0,1056102.0
2010,Yukon,0,25,2290,396,34410.0
2011,Alberta,0,17735,306230,42484,3778993.0
2011,British Columbia,0,67050,264582,63932,4500944.0
2011,Manitoba,0,6480,93746,20500,1231752.75
2011,New Brunswick,0,3780,42754,12822,755353.75
2011,Newfoundland and Labrador,0,1915,26854,9054,524690.25
2011,Northwest Territories,0,25,4158,376,43399.25
2011,Northwest Territories including Nunavut,0,0,0,0,43576.0
2011,Nova Scotia,0,8860,53306,17066,944185.75
2011,Nunavut,0,0,5008,342,34045.25
2011,Ontario,0,101765,846988,179952,13248544.0
2011,Prince Edward Island,0,780,8634,2506,143620.5
2011,Province / Territory not stated,0,0,0,0,144283.0
2011,Quebec,0,35370,528864,119078,7993803.5
2011,Saskatchewan,0,4635,85832,18524,1064016.0
2011,Unknown province or territory,0,0,0,0,1069950.0
2011,Unknown province or territory of residence,0,0,0,0,1069950.0
2011,Yukon,0,45,2580,386,35182.5
2012,Alberta,0,19305,315728,44002,3859302.75
2012,British Columbia,0,70140,264136,65048,4564451.75
2012,Manitoba,0,7955,98148,20124,1247151.25
2012,New Brunswick,0,4115,42336,12886,757648.0
2012,Newfoundland and Labrador,0,2300,26288,9270,526241.25
2012,Northwest Territories,0,30,4092,400,43647.0
2012,Northwest Territories including Nunavut,0,0,0,0,43656.0
2012,Nova Scotia,0,10250,52706,16830,943304.0
2012,Nunavut,0,0,5126,322,34617.5
2012,Ontario,0,114335,854428,181480,13376112.25
2012,Prince Edward Island,0,880,7890,2462,144346.0
2012,Province / Territory not stated,0,0,0,0,144396.0
2012,Quebec,0,39845,533200,121548,8050859.5
2012,Saskatchewan,0,5480,89056,18408,1080479.25
2012,Unknown province or territory,0,0,0,0,1088177.0
2012,Unknown province or territory of residence,0,0,0,0,1088177.0
2012,Yukon,0,50,2610,412,35987.5
2013,Alberta,0,21840,320362,45688,3962293.75
2013,British Columbia,0,74065,262522,66400,4629484.75
2013,Manitoba,0,9470,98798,20190,1261767.5
2013,New Brunswick,0,4575,41736,13254,758130.0
2013,Newfoundland and Labrador,0,2485,27214,9674,527303.5
2013,Northwest Territories,0,35,3984,398,43762.5
2013,Northwest Territories including Nunavut,0,0,0,0,43727.0
2013,Nova Scotia,0,10885,50644,17756,940485.5
2013,Nunavut,0,5,5554,388,35204.0
2013,Ontario,0,127540,841240,186686,13496707.0
2013,Prince Edward Island,0,1035,8452,2568,143933.25
2013,Province / Territory not stated,0,0,0,0,143943.0
2013,Quebec,0,43180,532780,122578,8100324.25
2013,Saskatchewan,0,6385,88732,18666,1096496.75
2013,Unknown province or territory,0,0,0,0,1102832.0
2013,Unknown province or territory of residence,0,0,0,0,1102832.0
2013,Yukon,0,30,2376,430,36344.75
2014,Alberta,0,23155,334806,46720,4066082.0
2014,British Columbia,0,80880,266092,67582,4704528.25
2014,Manitoba,0,10815,99358,21418,1275545.5
2014,New Brunswick,0,4705,41878,13644,758783.0
2014,Newfoundland and Labrador,0,2740,27430,9972,527903.75
2014,Northwest Territories,0,30,3996,426,43852.25
2014,Northwest Territories including Nunavut,0,0,0,0,44031.0
2014,Nova Scotia,0,11170,51678,17492,938316.5
2014,Nunavut,0,5,5410,350,35862.5
2014,Ontario,0,139890,843246,191878,13606394.0
2014,Prince Edward Island,0,1290,8524,2572,144018.75
2014,Province / Territory not stated,0,0,0,0,144342.0
2014,Quebec,0,48520,527930,126390,8140807.5
2014,Saskatchewan,0,6840,93262,18786,1110322.75
2014,Unknown province or territory,0,0,0,0,1115184.0
2014,Unknown province or territory of residence,0,0,0,0,1115184.0
2014,Yukon,0,45,2432,412,36816.75
2015,Alberta,1900,25500,341428,47692,4138208.75
2015,British Columbia,1910,90215,265610,70492,4769093.75
2015,Manitoba,715,12255,100072,21368,1290665.25
2015,New Brunswick,125,4715,39586,14452,759261.5
2015,Newfoundland and Labrador,50,3085,26880,10478,528302.75
2015,Northwest Territories,10,50,4100,416,44238.75
2015,Nova Scotia,130,11705,49202,18742,937288.75
2015,Nunavut,0,5,5214,320,36395.75
2015,Ontario,5320,156200,839876,194644,13698942.0
2015,Prince Edward Island,45,1640,8072,2522,144448.25
2015,Province / Territory not stated,0,35,0,0,144949.0
2015,Province/territory not stated,5,290,0,0,144949.0
2015,Quebec,2090,53320,521998,128318,8171490.25
2015,Saskatchewan,605,7455,91824,18788,1120667.75
2015,Unknown province or territory,0,0,0,0,1125588.0
2015,Unknown province or territory of residence,0,0,0,0,1125588.0
2015,Yukon,15,50,2586,434,37463.0
2016,Alberta,4685,27210,335448,49096,4189191.5
2016,British Columbia,3840,103075,271458,73254,4846627.75
2016,Manitoba,1185,14220,101344,21486,1311168.75
2016,New Brunswick,710,4765,39722,14330,762784.5
2016,Newfoundland and Labrador,110,3495,26696,10004,529485.0
2016,Northwest Territories,10,45,3872,474,44551.25
2016,Nova Scotia,695,12615,49838,17988,942262.75
2016,Nunavut,5,0,5492,366,36886.75
2016,Ontario,10300,191665,847004,198838,13853924.0
2016,Prince Edward Island,145,2105,8392,2296,146405.0
2016,Province / Territory not stated,0,135,0,0,147699.0
2016,Province/territory not stated,5,1040,0,0,147699.0
2016,Quebec,4335,57795,517672,127030,8217369.75
2016,Saskatchewan,1225,8195,93312,18828,1133608.25
2016,Unknown province or territory,0,0,0,0,1139492.0
2016,Unknown province or territory of residence,0,0,0,0,1139492.0
