Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
2011,Province / Territory not stated,0,0,0,0,144283
2011,Quebec,0,282960,2115456,476312,8021063
2011,Saskatchewan,0,37080,343328,74096,1069950
2011,Unknown province or territory,0,0,0,0,1069950
2011,Yukon,0,360,10320,1544,35578
2012,Alberta,0,154440,1262912,176008,3897746
2012,British Columbia,0,561120,1056544,260192,4594846
2012,Manitoba,0,63640,392592,80496,1253210
2012,New Brunswick,0,32920,169344,51544,758408
2012,Newfoundland and Labrador,0,18400,105152,37080,527065
2012,Northwest Territories,0,240,16368,1600,43656
2012,Nova Scotia,0,82000,210824,67320,942829
2012,Nunavut,0,0,20504,1288,34830
2012,Ontario,0,914680,3417712,725920,13436625
2012,Prince Edward Island,0,7040,31560,9848,144396
2012,Province / Territory not stated,0,0,0,0,144396
2012,Quebec,0,318760,2132800,486192,8076838
2012,Saskatchewan,0,43840,356224,73632,1088177
2012,Unknown province or territory,0,0,0,0,1088177
2012,Yukon,0,400,10440,1648,36347
2013,Alberta,0,174720,1281448,182752,4008421
2013,British Columbia,0,592520,1050088,265600,4663919
2013,Manitoba,0,75760,395192,80760,1267105
2013,New Brunswick,0,36600,166944,53016,758379
2013,Newfoundland and Labrador,0,19880,108856,38696,527948
2013,Northwest Territories,0,280,15936,1592,43727
2013,Nova Scotia,0,87080,202576,71024,939442
2013,Nunavut,0,40,22216,1552,35536
2013,Ontario,0,1020320,3364960,746744,13559499
2013,Prince Edward Island,0,8280,33808,10272,143943
2013,Province / Territory not stated,0,0,0,0,143943
2013,Quebec,0,345440,2131120,490312,8122462
2013,Saskatchewan,0,51080,354928,74664,1102832
2013,Unknown province or territory,0,0,0,0,1102832
2013,Yukon,0,240,9504,1720,36384
2014,Alberta,0,185240,1339224,186880,4103702
2014,British Columbia,0,647040,1064368,270328,4743505
2014,Manitoba,0,86520,397432,85672,1281690
2014,New Brunswick,0,37640,167512,54576,759192
2014,Newfoundland and Labrador,0,21920,109720,39888,528266
2014,Northwest Territories,0,240,15984,1704,44031
2014,Nova Scotia,0,89360,206712,69968,938157
2014,Nunavut,0,40,21640,1400,36100
2014,Ontario,0,1119120,3372984,767512,13661282
2014,Prince Edward Island,0,10320,34096,10288,144342
2014,Province / Territory not stated,0,0,0,0,144342
2014,Quebec,0,388160,2111720,505560,8162631
2014,Saskatchewan,0,54720,373048,75144,1115184
2014,Unknown province or territory,0,0,0,0,1115184
2014,Yukon,0,360,9728,1648,37223
2015,Alberta,15200,204000,1365712,190768,4163048
2015,British Columbia,15280,721720,1062440,281968,4795547
2015,Manitoba,5720,98040,400288,85472,1298120
2015,New Brunswick,1000,37720,158344,57808,759971
2015,Newfoundland and Labrador,400,24680,107520,41912,528843
2015,Northwest Territories,80,400,16400,1664,44443
2015,Nova Scotia,1040,93640,196808,74968,938914
2015,Nunavut,0,40,20856,1280,36602
2015,Ontario,42560,1249600,3359504,778576,13759762
2015,Prince Edward Island,360,13120,32288,10088,144949
2015,Province / Territory not stated,5,325,0,0,144949
2015,Quebec,16720,426560,2087992,513272,8190074
2015,Saskatchewan,4840,59640,367296,75152,1125588
2015,Unknown province or territory,0,0,0,0,1125588
2015,Yukon,120,400,10344,1736,37730
2016,Alberta,37480,217680,1341792,196384,4207139
2016,British Columbia,30720,824600,1085832,293016,4886638
2016,Manitoba,9480,113760,405376,85944,1319800
2016,New Brunswick,5680,38120,158888,57320,764820
2016,Newfoundland and Labrador,880,27960,106784,40016,530368
2016,Northwest Territories,80,360,15488,1896,44471
2016,Nova Scotia,5560,100920,199352,71952,946623
2016,Nunavut,40,0,21968,1464,37084
2016,Ontario,82400,1533320,3388016,795352,13948180
2016,Prince Edward Island,1160,16840,33568,9184,147699
2016,Province / Territory not stated,5,1175,0,0,147699
2016,Quebec,34680,462360,2070688,508120,8246383
2016,Saskatchewan,9800,65560,373248,75312,1139492
2016,Unknown province or territory,0,0,0,0,1139492
2016,Yukon,200,760,10560,1744,38724
2017,Alberta,35400,229520,1288216,204320,4253530
2017,British Columbia,29000,955760,1071040,307920,4962706
2017,Manitoba,8840,135120,408680,88528,1340426
