,Year,Province,Resident Type,Total PRs,Total TRs,Total Births,Total Deaths
131,2016,Ontario,Foreign Workers,10300.0,191665.0,847004.0,0.0
132,2016,Ontario,International Students,10300.0,191665.0,0.0,198838.0
133,2016,Ontario,International Students,10300.0,191665.0,847004.0,0.0
134,2016,Prince Edward Island,Permanent Residents,145.0,2105.0,0.0,2296.0
135,2016,Prince Edward Island,Permanent Residents,145.0,2105.0,8392.0,0.0
136,2016,Prince Edward Island,Foreign Workers,145.0,2105.0,0.0,2296.0
137,2016,Prince Edward Island,Foreign Workers,145.0,2105.0,8392.0,0.0
138,2016,Prince Edward Island,International Students,145.0,2105.0,0.0,2296.0
139,2016,Prince Edward Island,International Students,145.0,2105.0,8392.0,0.0
140,2016,Province/territory not stated,Permanent Residents,5.0,1040.0,,
141,2016,Province/territory not stated,Foreign Workers,5.0,1040.0,,
142,2016,Quebec,Permanent Residents,4335.0,57795.0,0.0,127030.0
143,2016,Quebec,Permanent Residents,4335.0,57795.0,517672.0,0.0
144,2016,Quebec,Foreign Workers,4335.0,57795.0,0.0,127030.0
145,2016,Quebec,Foreign Workers,4335.0,57795.0,517672.0,0.0
146,2016,Quebec,International Students,4335.0,57795.0,0.0,127030.0
147,2016,Quebec,International Students,4335.0,57795.0,517672.0,0.0
148,2016,Saskatchewan,Permanent Residents,1225.0,8195.0,0.0,18828.0
149,2016,Saskatchewan,Permanent Residents,1225.0,8195.0,93312.0,0.0
150,2016,Saskatchewan,Foreign Workers,1225.0,8195.0,0.0,18828.0
151,2016,Saskatchewan,Foreign Workers,1225.0,8195.0,93312.0,0.0
152,2016,Saskatchewan,International Students,1225.0,8195.0,0.0,18828.0
153,2016,Saskatchewan,International Students,1225.0,8195.0,93312.0,0.0
154,2016,Yukon,Permanent Residents,25.0,95.0,0.0,436.0
155,2016,Yukon,Permanent Residents,25.0,95.0,2640.0,0.0
156,2016,Yukon,Foreign Workers,25.0,95.0,0.0,436.0
157,2016,Yukon,Foreign Workers,25.0,95.0,2640.0,0.0
158,2016,Yukon,International Students,25.0,95.0,0.0,436.0
159,2016,Yukon,International Students,25.0,95.0,2640.0,0.0
160,2017,Alberta,Permanent Residents,4425.0,28690.0,0.0,51080.0
161,2017,Alberta,Permanent Residents,4425.0,28690.0,322054.0,0.0
162,2017,Alberta,Foreign Workers,4425.0,28690.0,0.0,51080.0
163,2017,Alberta,Foreign Workers,4425.0,28690.0,322054.0,0.0
164,2017,Alberta,International Students,4425.0,28690.0,0.0,51080.0
165,2017,Alberta,International Students,4425.0,28690.0,322054.0,0.0
166,2017,British Columbia,Permanent Residents,3625.0,119470.0,0.0,76980.0
167,2017,British Columbia,Permanent Residents,3625.0,119470.0,267760.0,0.0
168,2017,British Columbia,Foreign Workers,3625.0,119470.0,0.0,76980.0
169,2017,British Columbia,Foreign Workers,3625.0,119470.0,267760.0,0.0
170,2017,British Columbia,International Students,3625.0,119470.0,0.0,76980.0
171,2017,British Columbia,International Students,3625.0,119470.0,267760.0,0.0
172,2017,Manitoba,Permanent Residents,1105.0,16890.0,0.0,22132.0
173,2017,Manitoba,Permanent Residents,1105.0,16890.0,102170.0,0.0
174,2017,Manitoba,Foreign Workers,1105.0,16890.0,0.0,22132.0
175,2017,Manitoba,Foreign Workers,1105.0,16890.0,102170.0,0.0
176,2017,Manitoba,International Students,1105.0,16890.0,0.0,22132.0
177,2017,Manitoba,International Students,1105.0,16890.0,102170.0,0.0
178,2017,New Brunswick,Permanent Residents,210.0,5015.0,0.0,14988.0
179,2017,New Brunswick,Permanent Residents,210.0,5015.0,39238.0,0.0
180,2017,New Brunswick,Foreign Workers,210.0,5015.0,0.0,14988.0
181,2017,New Brunswick,Foreign Workers,210.0,5015.0,39238.0,0.0
182,2017,New Brunswick,International Students,210.0,5015.0,0.0,14988.0
183,2017,New Brunswick,International Students,210.0,5015.0,39238.0,0.0
184,2017,Newfoundland and Labrador,Permanent Residents,50.0,3825.0,0.0,10294.0
185,2017,Newfoundland and Labrador,Permanent Residents,50.0,3825.0,24624.0,0.0
186,2017,Newfoundland and Labrador,Foreign Workers,50.0,3825.0,0.0,10294.0
187,2017,Newfoundland and Labrador,Foreign Workers,50.0,3825.0,24624.0,0.0
188,2017,Newfoundland and Labrador,International Students,50.0,3825.0,0.0,10294.0
189,2017,Newfoundland and Labrador,International Students,50.0,3825.0,24624.0,0.0
190,2017,Northwest Territories,Permanent Residents,40.0,50.0,0.0,482.0
191,2017,Northwest Territories,Permanent Residents,40.0,50.0,3694.0,0.0
192,2017,Northwest Territories,Foreign Workers,40.0,50.0,0.0,482.0
193,2017,Northwest Territories,Foreign Workers,40.0,50.0,3694.0,0.0
194,2017,Northwest Territories,International Students,40.0,50.0,0.0,482.0
195,2017,Northwest Territories,International Students,40.0,50.0,3694.0,0.0
196,2017,Nova Scotia,Permanent Residents,345.0,13850.0,0.0,19100.0
197,2017,Nova Scotia,Permanent Residents,345.0,13850.0,49416.0,0.0
198,2017,Nova Scotia,Foreign Workers,345.0,13850.0,0.0,19100.0
199,2017,Nova Scotia,Foreign Workers,345.0,13850.0,49416.0,0.0
200,2017,Nova Scotia,International Students,345.0,13850.0,0.0,19100.0
201,2017,Nova Scotia,International Students,345.0,13850.0,49416.0,0.0
202,2017,Nunavut,Permanent Residents,0.0,0.0,0.0,350.0
203,2017,Nunavut,Permanent Residents,0.0,0.0,5422.0,0.0
204,2017,Nunavut,Foreign Workers,0.0,0.0,0.0,350.0
205,2017,Nunavut,Foreign Workers,0.0,0.0,5422.0,0.0
206,2017,Nunavut,International Students,0.0,0.0,0.0,350.0
207,2017,Nunavut,International Students,0.0,0.0,5422.0,0.0
208,2017,Ontario,Permanent Residents,7320.0,240930.0,0.0,207484.0
209,2017,Ontario,Permanent Residents,7320.0,240930.0,846860.0,0.0
210,2017,Ontario,Foreign Workers,7320.0,240930.0,0.0,207484.0
211,2017,Ontario,Foreign Workers,7320.0,240930.0,846860.0,0.0
212,2017,Ontario,International Students,7320.0,240930.0,0.0,207484.0
213,2017,Ontario,International Students,7320.0,240930.0,846860.0,0.0
214,2017,Prince Edward Island,Permanent Residents,150.0,2555.0,0.0,2654.0
215,2017,Prince Edward Island,Permanent Residents,150.0,2555.0,8054.0,0.0
216,2017,Prince Edward Island,Foreign Workers,150.0,2555.0,0.0,2654.0
217,2017,Prince Edward Island,Foreign Workers,150.0,2555.0,8054.0,0.0
218,2017,Prince Edward Island,International Students,150.0,2555.0,0.0,2654.0
219,2017,Prince Edward Island,International Students,150.0,2555.0,8054.0,0.0
220,2017,Province/territory not stated,Permanent Residents,0.0,1745.0,,
221,2017,Province/territory not stated,Foreign Workers,0.0,1745.0,,
222,2017,Quebec,Permanent Residents,3295.0,64355.0,0.0,132140.0
223,2017,Quebec,Permanent Residents,3295.0,64355.0,502916.0,0.0
224,2017,Quebec,Foreign Workers,3295.0,64355.0,0.0,132140.0
225,2017,Quebec,Foreign Workers,3295.0,64355.0,502916.0,0.0
226,2017,Quebec,International Students,3295.0,64355.0,0.0,132140.0
227,2017,Quebec,International Students,3295.0,64355.0,502916.0,0.0
228,2017,Saskatchewan,Permanent Residents,1295.0,8645.0,0.0,18912.0
229,2017,Saskatchewan,Permanent Residents,1295.0,8645.0,92442.0,0.0
230,2017,Saskatchewan,Foreign Workers,1295.0,8645.0,0.0,18912.0
231,2017,Saskatchewan,Foreign Workers,1295.0,8645.0,92442.0,0.0
232,2017,Saskatchewan,International Students,1295.0,8645.0,0.0,18912.0
233,2017,Saskatchewan,International Students,1295.0,8645.0,92442.0,0.0
234,2017,Yukon,Permanent Residents,25.0,235.0,,
235,2017,Yukon,Foreign Workers,25.0,235.0,,
236,2017,Yukon,International Students,25.0,235.0,,
237,2018,Alberta,Permanent Residents,3045.0,32170.0,0.0,51992.0
238,2018,Alberta,Permanent Residents,3045.0,32170.0,314926.0,0.0
239,2018,Alberta,Foreign Workers,3045.0,32170.0,0.0,51992.0
240,2018,Alberta,Foreign Workers,3045.0,32170.0,314926.0,0.0
241,2018,Alberta,International Students,3045.0,32170.0,0.0,51992.0
242,2018,Alberta,International Students,3045.0,32170.0,314926.0,0.0
243,2018,British Columbia,Permanent Residents,4045.0,137040.0,0.0,76946.0
244,2018,British Columbia,Permanent Residents,4045.0,137040.0,261408.0,0.0
245,2018,British Columbia,Foreign Workers,4045.0,137040.0,0.0,76946.0
246,2018,British Columbia,Foreign Workers,4045.0,137040.0,261408.0,0.0
247,2018,British Columbia,International Students,4045.0,137040.0,0.0,76946.0
248,2018,British Columbia,International Students,4045.0,137040.0,261408.0,0.0
249,2018,Manitoba,Permanent Residents,970.0,19505.0,0.0,22080.0
250,2018,Manitoba,Permanent Residents,970.0,19505.0,102428.0,0.0
251,2018,Manitoba,Foreign Workers,970.0,19505.0,0.0,22080.0
252,2018,Manitoba,Foreign Workers,970.0,19505.0,102428.0,0.0
253,2018,Manitoba,International Students,970.0,19505.0,0.0,22080.0
254,2018,Manitoba,International Students,970.0,19505.0,102428.0,0.0
255,2018,New Brunswick,Permanent Residents,285.0,5975.0,0.0,15310.0
256,2018,New Brunswick,Permanent Residents,285.0,5975.0,38208.0,0.0
257,2018,New Brunswick,Foreign Workers,285.0,5975.0,0.0,15310.0
258,2018,New Brunswick,Foreign Workers,285.0,5975.0,38208.0,0.0
259,2018,New Brunswick,International Students,285.0,5975.0,0.0,15310.0
260,2018,New Brunswick,International Students,285.0,5975.0,38208.0,0.0
261,2018,Newfoundland and Labrador,Permanent Residents,65.0,4265.0,0.0,10476.0
262,2018,Newfoundland and Labrador,Permanent Residents,65.0,4265.0,24066.0,0.0
263,2018,Newfoundland and Labrador,Foreign Workers,65.0,4265.0,0.0,10476.0
264,2018,Newfoundland and Labrador,Foreign Workers,65.0,4265.0,24066.0,0.0
265,2018,Newfoundland and Labrador,International Students,65.0,4265.0,0.0,10476.0
266,2018,Newfoundland and Labrador,International Students,65.0,4265.0,24066.0,0.0
267,2018,Northwest Territories,Permanent Residents,30.0,55.0,0.0,478.0
268,2018,Northwest Territories,Permanent Residents,30.0,55.0,3750.0,0.0
269,2018,Northwest Territories,Foreign Workers,30.0,55.0,0.0,478.0
270,2018,Northwest Territories,Foreign Workers,30.0,55.0,3750.0,0.0
271,2018,Northwest Territories,International Students,30.0,55.0,0.0,478.0
272,2018,Northwest Territories,International Students,30.0,55.0,3750.0,0.0
273,2018,Nova Scotia,Permanent Residents,360.0,16550.0,0.0,19418.0
274,2018,Nova Scotia,Permanent Residents,360.0,16550.0,47692.0,0.0
275,2018,Nova Scotia,Foreign Workers,360.0,16550.0,0.0,19418.0
276,2018,Nova Scotia,Foreign Workers,360.0,16550.0,47692.0,0.0
277,2018,Nova Scotia,International Students,360.0,16550.0,0.0,19418.0
278,2018,Nova Scotia,International Students,360.0,16550.0,47692.0,0.0
279,2018,Nunavut,Permanent Residents,0.0,5.0,0.0,414.0
280,2018,Nunavut,Permanent Residents,0.0,5.0,5396.0,0.0
281,2018,Nunavut,Foreign Workers,0.0,5.0,0.0,414.0
282,2018,Nunavut,Foreign Workers,0.0,5.0,5396.0,0.0
283,2018,Nunavut,International Students,0.0,5.0,0.0,414.0
284,2018,Nunavut,International Students,0.0,5.0,5396.0,0.0
285,2018,Ontario,Permanent Residents,10910.0,282895.0,0.0,214550.0
286,2018,Ontario,Permanent Residents,10910.0,282895.0,846912.0,0.0
287,2018,Ontario,Foreign Workers,10910.0,282895.0,0.0,214550.0
288,2018,Ontario,Foreign Workers,10910.0,282895.0,846912.0,0.0
289,2018,Ontario,International Students,10910.0,282895.0,0.0,214550.0
290,2018,Ontario,International Students,10910.0,282895.0,846912.0,0.0
291,2018,Prince Edward Island,Permanent Residents,100.0,3290.0,0.0,2750.0
292,2018,Prince Edward Island,Permanent Residents,100.0,3290.0,7876.0,0.0
293,2018,Prince Edward Island,Foreign Workers,100.0,3290.0,0.0,2750.0
294,2018,Prince Edward Island,Foreign Workers,100.0,3290.0,7876.0,0.0
295,2018,Prince Edward Island,International Students,100.0,3290.0,0.0,2750.0
296,2018,Prince Edward Island,International Students,100.0,3290.0,7876.0,0.0
297,2018,Province/territory not stated,Permanent Residents,0.0,2510.0,,
298,2018,Province/territory not stated,Foreign Workers,0.0,2510.0,,
299,2018,Quebec,Permanent Residents,2640.0,74270.0,0.0,137590.0
300,2018,Quebec,Permanent Residents,2640.0,74270.0,502798.0,0.0
301,2018,Quebec,Foreign Workers,2640.0,74270.0,0.0,137590.0
302,2018,Quebec,Foreign Workers,2640.0,74270.0,502798.0,0.0
303,2018,Quebec,International Students,2640.0,74270.0,0.0,137590.0
304,2018,Quebec,International Students,2640.0,74270.0,502798.0,0.0
305,2018,Saskatchewan,Permanent Residents,1065.0,10025.0,0.0,19404.0
306,2018,Saskatchewan,Permanent Residents,1065.0,10025.0,91194.0,0.0
307,2018,Saskatchewan,Foreign Workers,1065.0,10025.0,0.0,19404.0
308,2018,Saskatchewan,Foreign Workers,1065.0,10025.0,91194.0,0.0
