Year,Province,Metric,Value
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2022,Alberta,Total PRs,3370.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2023,Alberta,Total PRs,5705.0
2024,Alberta,Total PRs,5455.0
2024,Alberta,Total PRs,5455.0
2024,Alberta,Total PRs,5455.0
2024,Alberta,Total PRs,5455.0
2024,Alberta,Total PRs,5455.0
2024,Alberta,Total PRs,5455.0
2024,Alberta,Total PRs,5455.0
2024,Alberta,Total PRs,5455.0
1991,British Columbia,Total PRs,0.0
1991,British Columbia,Total PRs,0.0
1991,British Columbia,Total PRs,0.0
1991,British Columbia,Total PRs,0.0
1991,British Columbia,Total PRs,0.0
1991,British Columbia,Total PRs,0.0
1991,British Columbia,Total PRs,0.0
1991,British Columbia,Total PRs,0.0
1992,British Columbia,Total PRs,0.0
1992,British Columbia,Total PRs,0.0
1992,British Columbia,Total PRs,0.0
1992,British Columbia,Total PRs,0.0
1992,British Columbia,Total PRs,0.0
1992,British Columbia,Total PRs,0.0
1992,British Columbia,Total PRs,0.0
1992,British Columbia,Total PRs,0.0
1993,British Columbia,Total PRs,0.0
1993,British Columbia,Total PRs,0.0
1993,British Columbia,Total PRs,0.0
1993,British Columbia,Total PRs,0.0
1993,British Columbia,Total PRs,0.0
1993,British Columbia,Total PRs,0.0
1993,British Columbia,Total PRs,0.0
1993,British Columbia,Total PRs,0.0
1994,British Columbia,Total PRs,0.0
1994,British Columbia,Total PRs,0.0
1994,British Columbia,Total PRs,0.0
1994,British Columbia,Total PRs,0.0
1994,British Columbia,Total PRs,0.0
1994,British Columbia,Total PRs,0.0
1994,British Columbia,Total PRs,0.0
1994,British Columbia,Total PRs,0.0
1995,British Columbia,Total PRs,0.0
1995,British Columbia,Total PRs,0.0
1995,British Columbia,Total PRs,0.0
1995,British Columbia,Total PRs,0.0
1995,British Columbia,Total PRs,0.0
1995,British Columbia,Total PRs,0.0
1995,British Columbia,Total PRs,0.0
1995,British Columbia,Total PRs,0.0
1996,British Columbia,Total PRs,0.0
1996,British Columbia,Total PRs,0.0
1996,British Columbia,Total PRs,0.0
1996,British Columbia,Total PRs,0.0
1996,British Columbia,Total PRs,0.0
1996,British Columbia,Total PRs,0.0
1996,British Columbia,Total PRs,0.0
1996,British Columbia,Total PRs,0.0
1997,British Columbia,Total PRs,0.0
1997,British Columbia,Total PRs,0.0
1997,British Columbia,Total PRs,0.0
1997,British Columbia,Total PRs,0.0
1997,British Columbia,Total PRs,0.0
1997,British Columbia,Total PRs,0.0
1997,British Columbia,Total PRs,0.0
1997,British Columbia,Total PRs,0.0
1998,British Columbia,Total PRs,0.0
1998,British Columbia,Total PRs,0.0
1998,British Columbia,Total PRs,0.0
1998,British Columbia,Total PRs,0.0
1998,British Columbia,Total PRs,0.0
1998,British Columbia,Total PRs,0.0
1998,British Columbia,Total PRs,0.0
1998,British Columbia,Total PRs,0.0
1999,British Columbia,Total PRs,0.0
1999,British Columbia,Total PRs,0.0
1999,British Columbia,Total PRs,0.0
1999,British Columbia,Total PRs,0.0
1999,British Columbia,Total PRs,0.0
1999,British Columbia,Total PRs,0.0
1999,British Columbia,Total PRs,0.0
1999,British Columbia,Total PRs,0.0
2000,British Columbia,Total PRs,0.0
2000,British Columbia,Total PRs,0.0
2000,British Columbia,Total PRs,0.0
2000,British Columbia,Total PRs,0.0
2000,British Columbia,Total PRs,0.0
2000,British Columbia,Total PRs,0.0
2000,British Columbia,Total PRs,0.0
2000,British Columbia,Total PRs,0.0
2001,British Columbia,Total PRs,0.0
2001,British Columbia,Total PRs,0.0
2001,British Columbia,Total PRs,0.0
2001,British Columbia,Total PRs,0.0
2001,British Columbia,Total PRs,0.0
2001,British Columbia,Total PRs,0.0
2001,British Columbia,Total PRs,0.0
2001,British Columbia,Total PRs,0.0
2002,British Columbia,Total PRs,0.0
2002,British Columbia,Total PRs,0.0
2002,British Columbia,Total PRs,0.0
2002,British Columbia,Total PRs,0.0
2002,British Columbia,Total PRs,0.0
2002,British Columbia,Total PRs,0.0
2002,British Columbia,Total PRs,0.0
2002,British Columbia,Total PRs,0.0
2003,British Columbia,Total PRs,0.0
2003,British Columbia,Total PRs,0.0
2003,British Columbia,Total PRs,0.0
2003,British Columbia,Total PRs,0.0
2003,British Columbia,Total PRs,0.0
2003,British Columbia,Total PRs,0.0
2003,British Columbia,Total PRs,0.0
2003,British Columbia,Total PRs,0.0
2004,British Columbia,Total PRs,0.0
2004,British Columbia,Total PRs,0.0
2004,British Columbia,Total PRs,0.0
2004,British Columbia,Total PRs,0.0
2004,British Columbia,Total PRs,0.0
2004,British Columbia,Total PRs,0.0
2004,British Columbia,Total PRs,0.0
2004,British Columbia,Total PRs,0.0
2005,British Columbia,Total PRs,0.0
2005,British Columbia,Total PRs,0.0
2005,British Columbia,Total PRs,0.0
2005,British Columbia,Total PRs,0.0
2005,British Columbia,Total PRs,0.0
2005,British Columbia,Total PRs,0.0
2005,British Columbia,Total PRs,0.0
2005,British Columbia,Total PRs,0.0
2006,British Columbia,Total PRs,0.0
2006,British Columbia,Total PRs,0.0
2006,British Columbia,Total PRs,0.0
2006,British Columbia,Total PRs,0.0
2006,British Columbia,Total PRs,0.0
2006,British Columbia,Total PRs,0.0
2006,British Columbia,Total PRs,0.0
2006,British Columbia,Total PRs,0.0
2007,British Columbia,Total PRs,0.0
2007,British Columbia,Total PRs,0.0
2007,British Columbia,Total PRs,0.0
2007,British Columbia,Total PRs,0.0
2007,British Columbia,Total PRs,0.0
2007,British Columbia,Total PRs,0.0
2007,British Columbia,Total PRs,0.0
2007,British Columbia,Total PRs,0.0
2008,British Columbia,Total PRs,0.0
2008,British Columbia,Total PRs,0.0
2008,British Columbia,Total PRs,0.0
2008,British Columbia,Total PRs,0.0
2008,British Columbia,Total PRs,0.0
2008,British Columbia,Total PRs,0.0
2008,British Columbia,Total PRs,0.0
2008,British Columbia,Total PRs,0.0
2009,British Columbia,Total PRs,0.0
2009,British Columbia,Total PRs,0.0
2009,British Columbia,Total PRs,0.0
2009,British Columbia,Total PRs,0.0
2009,British Columbia,Total PRs,0.0
2009,British Columbia,Total PRs,0.0
2009,British Columbia,Total PRs,0.0
2009,British Columbia,Total PRs,0.0
2010,British Columbia,Total PRs,0.0
2010,British Columbia,Total PRs,0.0
2010,British Columbia,Total PRs,0.0
2010,British Columbia,Total PRs,0.0
2010,British Columbia,Total PRs,0.0
2010,British Columbia,Total PRs,0.0
2010,British Columbia,Total PRs,0.0
2010,British Columbia,Total PRs,0.0
2011,British Columbia,Total PRs,0.0
2011,British Columbia,Total PRs,0.0
2011,British Columbia,Total PRs,0.0
2011,British Columbia,Total PRs,0.0
2011,British Columbia,Total PRs,0.0
2011,British Columbia,Total PRs,0.0
2011,British Columbia,Total PRs,0.0
2011,British Columbia,Total PRs,0.0
2012,British Columbia,Total PRs,0.0
2012,British Columbia,Total PRs,0.0
2012,British Columbia,Total PRs,0.0
2012,British Columbia,Total PRs,0.0
2012,British Columbia,Total PRs,0.0
2012,British Columbia,Total PRs,0.0
2012,British Columbia,Total PRs,0.0
2012,British Columbia,Total PRs,0.0
2013,British Columbia,Total PRs,0.0
2013,British Columbia,Total PRs,0.0
2013,British Columbia,Total PRs,0.0
2013,British Columbia,Total PRs,0.0
2013,British Columbia,Total PRs,0.0
2013,British Columbia,Total PRs,0.0
2013,British Columbia,Total PRs,0.0
2013,British Columbia,Total PRs,0.0
2014,British Columbia,Total PRs,0.0
2014,British Columbia,Total PRs,0.0
2014,British Columbia,Total PRs,0.0
2014,British Columbia,Total PRs,0.0
2014,British Columbia,Total PRs,0.0
2014,British Columbia,Total PRs,0.0
2014,British Columbia,Total PRs,0.0
2014,British Columbia,Total PRs,0.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2015,British Columbia,Total PRs,1910.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
