"REF_DATE","GEO","DGUID","Type of expenditure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1947/1948","Saskatchewan","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568082","10.4","83","","","","0"
"1947/1948","Saskatchewan","","Teachers salaries","Dollars","81","thousands","3","v1568080","10.2","83","","","","0"
"1947/1948","Saskatchewan","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568083","10.5","36","","","","0"
"1947/1948","Saskatchewan","","Other operating expenditures","Dollars","81","thousands","3","v1568084","10.6","330","","","","0"
"1947/1948","Saskatchewan","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568086","10.8","0","","","","0"
"1947/1948","Alberta","","Total expenditures","Dollars","81","thousands","3","v1568087","11.1","528","","","","0"
"1947/1948","Alberta","","Total operating expenditures","Dollars","81","thousands","3","v1568093","11.7","528","","","","0"
"1947/1948","Alberta","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568090","11.4","186","","","","0"
"1947/1948","Alberta","","Teachers salaries","Dollars","81","thousands","3","v1568088","11.2","186","","","","0"
"1947/1948","Alberta","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568091","11.5","62","","","","0"
"1947/1948","Alberta","","Other operating expenditures","Dollars","81","thousands","3","v1568092","11.6","280","","","","0"
"1947/1948","Alberta","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568094","11.8","0","","","","0"
"1947/1948","British Columbia","","Total expenditures","Dollars","81","thousands","3","v1568095","12.1","1265","","","","0"
"1947/1948","British Columbia","","Total operating expenditures","Dollars","81","thousands","3","v1568101","12.7","1265","","","","0"
"1947/1948","British Columbia","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568098","12.4","224","","","","0"
"1947/1948","British Columbia","","Teachers salaries","Dollars","81","thousands","3","v1568096","12.2","224","","","","0"
"1947/1948","British Columbia","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568099","12.5","185","","","","0"
"1947/1948","British Columbia","","Other operating expenditures","Dollars","81","thousands","3","v1568100","12.6","856","","","","0"
"1947/1948","British Columbia","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568102","12.8","0","","","","0"
"1948/1949","Canada","","Total expenditures","Dollars","81","thousands","3","v1568007","1.1","15400","","","","0"
"1948/1949","Canada","","Total operating expenditures","Dollars","81","thousands","3","v1568013","1.7","","..","","","0"
"1948/1949","Canada","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568010","1.4","","..","","","0"
"1948/1949","Canada","","Teachers salaries","Dollars","81","thousands","3","v1568008","1.2","","..","","","0"
"1948/1949","Canada","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568011","1.5","","..","","","0"
"1948/1949","Canada","","Other operating expenditures","Dollars","81","thousands","3","v1568012","1.6","","..","","","0"
"1948/1949","Canada","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568014","1.8","","..","","","0"
"1948/1949","Atlantic Province","","Total expenditures","Dollars","81","thousands","3","v1568047","6.1","","..","","","0"
"1948/1949","Atlantic Province","","Total operating expenditures","Dollars","81","thousands","3","v1568053","6.7","","..","","","0"
"1948/1949","Atlantic Province","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568050","6.4","","..","","","0"
"1948/1949","Atlantic Province","","Teachers salaries","Dollars","81","thousands","3","v1568048","6.2","","..","","","0"
"1948/1949","Atlantic Province","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568051","6.5","","..","","","0"
"1948/1949","Atlantic Province","","Other operating expenditures","Dollars","81","thousands","3","v1568052","6.6","","..","","","0"
"1948/1949","Atlantic Province","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568054","6.8","","..","","","0"
"1948/1949","Newfoundland and Labrador","","Total expenditures","Dollars","81","thousands","3","v1568015","2.1","","..","","","0"
"1948/1949","Newfoundland and Labrador","","Total operating expenditures","Dollars","81","thousands","3","v1568021","2.7","","..","","","0"
"1948/1949","Newfoundland and Labrador","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568018","2.4","","..","","","0"
"1948/1949","Newfoundland and Labrador","","Teachers salaries","Dollars","81","thousands","3","v1568016","2.2","","..","","","0"
"1948/1949","Newfoundland and Labrador","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568019","2.5","","..","","","0"
"1948/1949","Newfoundland and Labrador","","Other operating expenditures","Dollars","81","thousands","3","v1568020","2.6","","..","","","0"
"1948/1949","Newfoundland and Labrador","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568022","2.8","","..","","","0"
"1948/1949","Prince Edward Island","","Total expenditures","Dollars","81","thousands","3","v1568023","3.1","","..","","","0"
"1948/1949","Prince Edward Island","","Total operating expenditures","Dollars","81","thousands","3","v1568029","3.7","","..","","","0"
"1948/1949","Prince Edward Island","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568026","3.4","","..","","","0"
"1948/1949","Prince Edward Island","","Teachers salaries","Dollars","81","thousands","3","v1568024","3.2","","..","","","0"
"1948/1949","Prince Edward Island","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568027","3.5","","..","","","0"
"1948/1949","Prince Edward Island","","Other operating expenditures","Dollars","81","thousands","3","v1568028","3.6","","..","","","0"
"1948/1949","Prince Edward Island","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568030","3.8","","..","","","0"
"1948/1949","Nova Scotia","","Total expenditures","Dollars","81","thousands","3","v1568031","4.1","","..","","","0"
"1948/1949","Nova Scotia","","Total operating expenditures","Dollars","81","thousands","3","v1568037","4.7","","..","","","0"
"1948/1949","Nova Scotia","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568034","4.4","","..","","","0"
"1948/1949","Nova Scotia","","Teachers salaries","Dollars","81","thousands","3","v1568032","4.2","","..","","","0"
"1948/1949","Nova Scotia","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568035","4.5","","..","","","0"
"1948/1949","Nova Scotia","","Other operating expenditures","Dollars","81","thousands","3","v1568036","4.6","","..","","","0"
"1948/1949","Nova Scotia","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568038","4.8","","..","","","0"
"1948/1949","New Brunswick","","Total expenditures","Dollars","81","thousands","3","v1568039","5.1","","..","","","0"
"1948/1949","New Brunswick","","Total operating expenditures","Dollars","81","thousands","3","v1568045","5.7","","..","","","0"
"1948/1949","New Brunswick","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568042","5.4","","..","","","0"
"1948/1949","New Brunswick","","Teachers salaries","Dollars","81","thousands","3","v1568040","5.2","","..","","","0"
"1948/1949","New Brunswick","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568043","5.5","","..","","","0"
"1948/1949","New Brunswick","","Other operating expenditures","Dollars","81","thousands","3","v1568044","5.6","","..","","","0"
"1948/1949","New Brunswick","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568046","5.8","","..","","","0"
"1948/1949","Quebec","","Total expenditures","Dollars","81","thousands","3","v1568055","7.1","","..","","","0"
"1948/1949","Quebec","","Total operating expenditures","Dollars","81","thousands","3","v1568061","7.7","","..","","","0"
"1948/1949","Quebec","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568058","7.4","","..","","","0"
"1948/1949","Quebec","","Teachers salaries","Dollars","81","thousands","3","v1568056","7.2","","..","","","0"
"1948/1949","Quebec","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568059","7.5","","..","","","0"
"1948/1949","Quebec","","Other operating expenditures","Dollars","81","thousands","3","v1568060","7.6","","..","","","0"
"1948/1949","Quebec","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568062","7.8","","..","","","0"
"1948/1949","Ontario","","Total expenditures","Dollars","81","thousands","3","v1568063","8.1","","..","","","0"
"1948/1949","Ontario","","Total operating expenditures","Dollars","81","thousands","3","v1568069","8.7","","..","","","0"
"1948/1949","Ontario","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568066","8.4","","..","","","0"
"1948/1949","Ontario","","Teachers salaries","Dollars","81","thousands","3","v1568064","8.2","","..","","","0"
"1948/1949","Ontario","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568067","8.5","","..","","","0"
"1948/1949","Ontario","","Other operating expenditures","Dollars","81","thousands","3","v1568068","8.6","","..","","","0"
"1948/1949","Ontario","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568070","8.8","","..","","","0"
"1948/1949","Manitoba","","Total expenditures","Dollars","81","thousands","3","v1568071","9.1","","..","","","0"
"1948/1949","Manitoba","","Total operating expenditures","Dollars","81","thousands","3","v1568077","9.7","","..","","","0"
"1948/1949","Manitoba","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568074","9.4","","..","","","0"
"1948/1949","Manitoba","","Teachers salaries","Dollars","81","thousands","3","v1568072","9.2","","..","","","0"
"1948/1949","Manitoba","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568075","9.5","","..","","","0"
"1948/1949","Manitoba","","Other operating expenditures","Dollars","81","thousands","3","v1568076","9.6","","..","","","0"
"1948/1949","Manitoba","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568078","9.8","","..","","","0"
"1948/1949","Saskatchewan","","Total expenditures","Dollars","81","thousands","3","v1568079","10.1","","..","","","0"
"1948/1949","Saskatchewan","","Total operating expenditures","Dollars","81","thousands","3","v1568085","10.7","","..","","","0"
"1948/1949","Saskatchewan","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568082","10.4","","..","","","0"
"1948/1949","Saskatchewan","","Teachers salaries","Dollars","81","thousands","3","v1568080","10.2","","..","","","0"
"1948/1949","Saskatchewan","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568083","10.5","","..","","","0"
"1948/1949","Saskatchewan","","Other operating expenditures","Dollars","81","thousands","3","v1568084","10.6","","..","","","0"
"1948/1949","Saskatchewan","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568086","10.8","","..","","","0"
"1948/1949","Alberta","","Total expenditures","Dollars","81","thousands","3","v1568087","11.1","","..","","","0"
"1948/1949","Alberta","","Total operating expenditures","Dollars","81","thousands","3","v1568093","11.7","","..","","","0"
"1948/1949","Alberta","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568090","11.4","","..","","","0"
"1948/1949","Alberta","","Teachers salaries","Dollars","81","thousands","3","v1568088","11.2","","..","","","0"
"1948/1949","Alberta","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568091","11.5","","..","","","0"
"1948/1949","Alberta","","Other operating expenditures","Dollars","81","thousands","3","v1568092","11.6","","..","","","0"
"1948/1949","Alberta","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568094","11.8","","..","","","0"
"1948/1949","British Columbia","","Total expenditures","Dollars","81","thousands","3","v1568095","12.1","","..","","","0"
"1948/1949","British Columbia","","Total operating expenditures","Dollars","81","thousands","3","v1568101","12.7","","..","","","0"
"1948/1949","British Columbia","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568098","12.4","","..","","","0"
"1948/1949","British Columbia","","Teachers salaries","Dollars","81","thousands","3","v1568096","12.2","","..","","","0"
"1948/1949","British Columbia","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568099","12.5","","..","","","0"
"1948/1949","British Columbia","","Other operating expenditures","Dollars","81","thousands","3","v1568100","12.6","","..","","","0"
"1948/1949","British Columbia","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568102","12.8","","..","","","0"
"1949/1950","Canada","","Total expenditures","Dollars","81","thousands","3","v1568007","1.1","16930","","","","0"
"1949/1950","Canada","","Total operating expenditures","Dollars","81","thousands","3","v1568013","1.7","16930","","","","0"
"1949/1950","Canada","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568010","1.4","5012","","","","0"
"1949/1950","Canada","","Teachers salaries","Dollars","81","thousands","3","v1568008","1.2","5012","","","","0"
"1949/1950","Canada","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568011","1.5","","..","","","0"
"1949/1950","Canada","","Other operating expenditures","Dollars","81","thousands","3","v1568012","1.6","11918","","","","0"
"1949/1950","Canada","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568014","1.8","0","","","","0"
"1949/1950","Atlantic Province","","Total expenditures","Dollars","81","thousands","3","v1568047","6.1","859","","","","0"
"1949/1950","Atlantic Province","","Total operating expenditures","Dollars","81","thousands","3","v1568053","6.7","859","","","","0"
"1949/1950","Atlantic Province","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568050","6.4","213","","","","0"
"1949/1950","Atlantic Province","","Teachers salaries","Dollars","81","thousands","3","v1568048","6.2","213","","","","0"
"1949/1950","Atlantic Province","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568051","6.5","","..","","","0"
"1949/1950","Atlantic Province","","Other operating expenditures","Dollars","81","thousands","3","v1568052","6.6","646","","","","0"
"1949/1950","Atlantic Province","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568054","6.8","0","","","","0"
"1949/1950","Newfoundland and Labrador","","Total expenditures","Dollars","81","thousands","3","v1568015","2.1","","x","","","0"
"1949/1950","Newfoundland and Labrador","","Total operating expenditures","Dollars","81","thousands","3","v1568021","2.7","","x","","","0"
"1949/1950","Newfoundland and Labrador","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568018","2.4","","x","","","0"
"1949/1950","Newfoundland and Labrador","","Teachers salaries","Dollars","81","thousands","3","v1568016","2.2","","x","","","0"
"1949/1950","Newfoundland and Labrador","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568019","2.5","","..","","","0"
"1949/1950","Newfoundland and Labrador","","Other operating expenditures","Dollars","81","thousands","3","v1568020","2.6","","x","","","0"
"1949/1950","Newfoundland and Labrador","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568022","2.8","","x","","","0"
"1949/1950","Prince Edward Island","","Total expenditures","Dollars","81","thousands","3","v1568023","3.1","","x","","","0"
"1949/1950","Prince Edward Island","","Total operating expenditures","Dollars","81","thousands","3","v1568029","3.7","","x","","","0"
"1949/1950","Prince Edward Island","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568026","3.4","","x","","","0"
"1949/1950","Prince Edward Island","","Teachers salaries","Dollars","81","thousands","3","v1568024","3.2","","x","","","0"
"1949/1950","Prince Edward Island","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568027","3.5","","..","","","0"
"1949/1950","Prince Edward Island","","Other operating expenditures","Dollars","81","thousands","3","v1568028","3.6","","x","","","0"
"1949/1950","Prince Edward Island","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568030","3.8","","x","","","0"
"1949/1950","Nova Scotia","","Total expenditures","Dollars","81","thousands","3","v1568031","4.1","","x","","","0"
