Census Metropolitan Area and Province/Territory,,2015,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2015 Total,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2016 Total,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2017 Total,Q1,,,,Q2,,,,Q3,,,,Q4,,,,2018 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,Jan,Feb,Mar,Q1 Total,Apr,May,Jun,Q2 Total,Jul,Aug,Sep,Q3 Total,Oct,Nov,Dec,Q4 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,"87,150","86,710","86,750","89,670","84,230","84,830","85,120","88,210","86,250","87,705","90,135","1,02,810","86,580","87,565","88,275","93,800","1,21,785","90,135","90,815","91,320","93,585","89,810","91,370","92,755","95,575","93,705","97,100","1,00,555","1,12,850","98,160","1,00,470","1,05,340","1,10,695","1,37,360","1,07,955","1,09,000","1,10,375","1,12,230","1,09,980","1,12,885","1,14,735","1,17,480","1,17,125","1,22,915","1,27,245","1,42,235","1,25,130","1,27,345","1,33,165","1,39,685","1,68,580","1,35,930","1,36,710","1,38,785","1,41,145","1,39,360","1,40,950","1,43,065","1,46,670","1,44,760","1,46,040","1,60,365","1,74,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brockville,90,95,100,105,100,100,105,110,115,125,145,155,125,125,125,130,180,140,145,140,145,145,150,150,160,150,215,230,255,190,195,195,200,295,215,225,225,225,225,220,215,230,205,320,340,375,290,290,290,295,430,305,305,305,310,305,305,300,315,280,430,455,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brantford,180,190,195,200,190,195,205,210,200,230,260,285,255,255,255,260,320,260,255,255,265,250,265,270,280,260,290,295,315,275,275,280,285,370,280,280,285,290,280,280,290,295,295,315,335,360,300,295,295,315,405,305,305,305,310,295,300,310,325,320,415,435,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timmins,20,20,20,20,20,20,20,20,25,30,40,45,45,50,60,60,65,65,65,65,65,65,70,70,70,70,85,100,105,100,100,115,120,125,120,115,115,120,115,120,120,120,120,115,125,170,125,130,175,180,235,210,220,225,230,225,235,250,255,370,655,680,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Hope,100,95,95,100,95,90,95,100,95,115,140,155,125,130,130,130,180,130,130,130,130,130,130,130,130,130,140,160,175,135,135,135,135,185,135,135,135,135,135,135,135,135,130,150,165,185,140,140,140,140,195,145,145,145,145,145,145,145,145,145,160,170,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chatham-Kent,15,20,20,20,20,20,25,25,25,35,40,45,40,45,45,45,50,40,45,45,45,50,50,50,50,55,75,95,100,90,85,85,90,110,90,90,90,90,90,90,90,95,90,120,125,140,105,105,100,105,150,100,100,100,100,105,115,115,115,100,135,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stratford,20,20,20,20,20,20,20,20,25,45,50,55,45,50,45,50,55,50,50,50,50,50,50,45,50,45,60,80,85,65,70,70,70,100,70,75,75,75,75,75,80,80,75,95,95,110,75,75,75,80,115,75,75,75,75,70,75,75,80,75,90,90,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kawartha Lakes,30,30,30,30,25,25,30,30,25,25,30,35,25,25,25,30,45,25,30,25,30,25,25,25,25,25,20,25,30,25,25,30,30,50,25,30,30,35,30,30,30,30,30,40,40,50,40,40,55,55,70,60,65,65,65,60,65,65,65,70,65,80,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Collingwood,20,20,20,20,20,20,20,20,15,20,20,25,25,20,20,25,30,25,25,25,30,25,30,30,30,30,35,35,40,30,35,35,35,50,35,40,40,40,35,35,30,35,30,35,35,40,30,30,30,30,50,25,25,25,25,25,25,25,25,20,30,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Owen Sound,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,20,10,10,10,10,10,10,15,15,15,20,25,25,20,20,30,30,35,30,30,30,30,30,30,30,30,35,35,35,40,30,30,35,40,50,40,40,40,40,55,55,55,60,55,55,60,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orillia,25,25,20,25,25,25,25,25,25,25,25,30,25,25,25,25,35,25,25,25,25,25,25,25,25,25,20,20,25,20,25,25,30,35,25,25,25,25,25,25,25,25,25,30,40,40,35,35,40,45,50,50,50,50,50,50,55,60,60,60,65,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
