REF_DATE,GEO,DGUID,"Census metropolitan areas and census agglomerations, by population centres and rural areas (718)",Coordinate,"Population and land area (2): Population, 2021 [1]",Symbols,"Population and land area (2): Land area in square kilometres, 2021 [2]",Symbols
2021,Canada,2021A000011124,Lively (Small population centre),1.202,5569,,11.67,
2021,Canada,2021A000011124,Valley East (Small population centre),1.203,17251,,25.82,
2021,Canada,2021A000011124,Rural area,1.204,38550,,4057.85,
2021,Canada,2021A000011124,"Guelph, Ontario (CMA)",1.205,165588,,595.08,
2021,Canada,2021A000011124,Guelph (Large urban population centre),1.206,144356,,79.57,
2021,Canada,2021A000011124,Rockwood (Small population centre),1.207,5488,,5.92,
2021,Canada,2021A000011124,Rural area,1.208,15744,,509.59,
2021,Canada,2021A000011124,"Halifax, Nova Scotia (CMA)",1.209,465703,,7276.22,
2021,Canada,2021A000011124,Halifax (Large urban population centre),1.21,348634,,238.29,
2021,Canada,2021A000011124,Brookside (Small population centre),1.211,1439,,2.81,
2021,Canada,2021A000011124,Enfield - Lantz (Small population centre),1.212,6583,,11.67,
2021,Canada,2021A000011124,Indian Brook 14 (Small population centre),1.213,2332,,3.89,
2021,Canada,2021A000011124,Lake Echo (Small population centre),1.214,2365,,4.76,
2021,Canada,2021A000011124,Still Water Lake (Small population centre),1.215,3379,,8.23,
2021,Canada,2021A000011124,Rural area,1.216,100971,,7006.56,
2021,Canada,2021A000011124,"Hamilton, Ontario (CMA)",1.217,785184,,1373.15,
2021,Canada,2021A000011124,Hamilton (Large urban population centre),1.218,729560,,356.03,
2021,Canada,2021A000011124,Binbrook (Small population centre),1.219,10791,,6.41,
2021,Canada,2021A000011124,Carlisle (Small population centre),1.22,1858,,2.56,
2021,Canada,2021A000011124,Rural area,1.221,42975,,1008.15,
2021,Canada,2021A000011124,"Hawkesbury, Ontario/Quebec (CA)",1.222,12010,,12.91,
2021,Canada,2021A000011124,Hawkesbury (Small population centre),1.223,11755,,10.82,
2021,Canada,2021A000011124,Rural area,1.224,255,,2.09,
2021,Canada,2021A000011124,"High River, Alberta (CA)",1.225,14324,,22.19,
2021,Canada,2021A000011124,High River (Small population centre),1.226,14119,,10.13,
2021,Canada,2021A000011124,Rural area,1.227,205,,12.07,
2021,Canada,2021A000011124,"Ingersoll, Ontario (CA)",1.228,13693,,12.73,
2021,Canada,2021A000011124,Ingersoll (Small population centre),1.229,13607,,10.32,
2021,Canada,2021A000011124,Rural area,1.23,86,,2.42,
2021,Canada,2021A000011124,"Joliette, Quebec (CA)",1.231,52706,,108.66,
2021,Canada,2021A000011124,Joliette (Medium population centre),1.232,49246,,39.03,
2021,Canada,2021A000011124,Rural area,1.233,3460,,69.63,
2021,Canada,2021A000011124,"Kamloops, British Columbia (CMA)",1.234,114142,,5654.08,
2021,Canada,2021A000011124,Kamloops (Medium population centre),1.235,92442,,74.35,
2021,Canada,2021A000011124,Chase (Small population centre),1.236,2377,,2.33,
2021,Canada,2021A000011124,Logan Lake (Small population centre),1.237,1356,,0.94,
2021,Canada,2021A000011124,Rayleigh (Small population centre),1.238,1933,,2.06,
2021,Canada,2021A000011124,Rural area,1.239,16034,,5574.4,
2021,Canada,2021A000011124,"Kawartha Lakes, Ontario (CA)",1.24,79247,,3033.66,
2021,Canada,2021A000011124,Bobcaygeon (Small population centre),1.241,3576,,5.15,
2021,Canada,2021A000011124,Fenelon Falls (Small population centre),1.242,2490,,3.98,
2021,Canada,2021A000011124,Lindsay (Small population centre),1.243,22367,,15.57,
2021,Canada,2021A000011124,Omemee (Small population centre),1.244,1060,,2.12,
2021,Canada,2021A000011124,Rural area,1.245,49754,,3006.84,
2021,Canada,2021A000011124,"Kelowna, British Columbia (CMA)",1.246,222162,,2902.45,
2021,Canada,2021A000011124,Kelowna (Large urban population centre),1.247,181380,,168.92,
2021,Canada,2021A000011124,Duck Lake (Small population centre),1.248,12725,,24.93,
2021,Canada,2021A000011124,Peachland (Small population centre),1.249,5006,,9.83,
2021,Canada,2021A000011124,Rural area,1.25,23051,,2698.78,
2021,Canada,2021A000011124,"Kenora, Ontario (CA)",1.251,14967,,211.65,
2021,Canada,2021A000011124,Kenora (Small population centre),1.252,10974,,15.25,
2021,Canada,2021A000011124,Rural area,1.253,3993,,196.4,
2021,Canada,2021A000011124,"Kentville, Nova Scotia (CA)",1.254,26929,,607.05,
2021,Canada,2021A000011124,Centreville (Small population centre),1.255,1159,,2.36,
2021,Canada,2021A000011124,Kentville (Small population centre),1.256,14905,,27.98,
2021,Canada,2021A000011124,Port Williams (Small population centre),1.257,1030,,1.92,
2021,Canada,2021A000011124,Rural area,1.258,9835,,574.79,
2021,Canada,2021A000011124,"Kingston, Ontario (CMA)",1.259,172546,,1919.17,
