REF_DATE,GEO,DGUID,"Census metropolitan areas and census agglomerations, by population centres and rural areas (718)",Coordinate,"Population and land area (2): Population, 2021 [1]",Symbols,"Population and land area (2): Land area in square kilometres, 2021 [2]",Symbols
2021,Canada,2021A000011124,Winkler (Small population centre),1.694,15335,,19.02,
2021,Canada,2021A000011124,Rural area,1.695,8217,,844.64,
2021,Canada,2021A000011124,"Winnipeg, Manitoba (CMA)",1.696,834678,,5285.46,
2021,Canada,2021A000011124,Winnipeg (Large urban population centre),1.697,758515,,356.99,
2021,Canada,2021A000011124,Ile des Chênes (Small population centre),1.698,1572,,1.83,
2021,Canada,2021A000011124,La Salle (Small population centre),1.699,2471,,3,
2021,Canada,2021A000011124,Landmark (Small population centre),1.7,1284,,2.22,
2021,Canada,2021A000011124,Lorette (Small population centre),1.701,3230,,3.15,
2021,Canada,2021A000011124,Niverville (Small population centre),1.702,5593,,4.23,
2021,Canada,2021A000011124,Oak Bluff (Small population centre),1.703,1442,,2.52,
2021,Canada,2021A000011124,Oakbank (Small population centre),1.704,5041,,5.39,
2021,Canada,2021A000011124,St. Adolphe (Small population centre),1.705,1595,,1.74,
2021,Canada,2021A000011124,Rural area,1.706,53935,,4904.39,
2021,Canada,2021A000011124,"Wood Buffalo, Alberta (CA)",1.707,73837,,60957.21,
2021,Canada,2021A000011124,Fort McMurray (Medium population centre),1.708,68002,,52.17,
2021,Canada,2021A000011124,Rural area,1.709,5835,,60905.04,
2021,Canada,2021A000011124,"Woodstock, Ontario (CA)",1.71,46705,,56.46,
2021,Canada,2021A000011124,Woodstock (Medium population centre),1.711,46296,,34.41,
2021,Canada,2021A000011124,Rural area,1.712,409,,22.06,
2021,Canada,2021A000011124,"Yellowknife, Northwest Territories (CA)",1.713,20340,,103.37,
2021,Canada,2021A000011124,Yellowknife (Small population centre),1.714,19673,,18.11,
2021,Canada,2021A000011124,Rural area,1.715,667,,85.26,
2021,Canada,2021A000011124,"Yorkton, Saskatchewan (CA)",1.716,19859,,1623.32,
2021,Canada,2021A000011124,Yorkton (Small population centre),1.717,15969,,10.68,
2021,Canada,2021A000011124,Rural area,1.718,3890,,1612.64,
