,REF_DATE,GEO,Total_Births,Total_Deaths
379,2015,"Quebec, place of residence of mother",522897.5,
380,2015,"Saskatchewan, place of residence of mother",92723.8,
381,2015,"Unknown province or territory, place of residence of mother",0.0,
382,2015,"Yukon, place of residence of mother",3480.2,
383,2016,"Alberta, place of residence of mother",336347.5,
384,2016,"British Columbia, place of residence of mother",272357.4,
385,2016,"Canada, place of residence of mother",2303789.2,
386,2016,"Manitoba, place of residence of mother",102243.3,
387,2016,"New Brunswick, place of residence of mother",40621.6,
388,2016,"Newfoundland and Labrador, place of residence of mother",27595.4,
389,2016,"Northwest Territories, place of residence of mother",4771.4,
390,2016,"Nova Scotia, place of residence of mother",50737.1,
391,2016,"Nunavut, place of residence of mother",6391.1,
392,2016,"Ontario, place of residence of mother",847903.4,
393,2016,"Prince Edward Island, place of residence of mother",9290.9,
394,2016,"Quebec, place of residence of mother",518571.6,
395,2016,"Saskatchewan, place of residence of mother",94211.5,
396,2016,"Unknown province or territory, place of residence of mother",0.0,
397,2016,"Yukon, place of residence of mother",3539.6,
398,2017,"Alberta, place of residence of mother",322953.4,
399,2017,"British Columbia, place of residence of mother",268659.5,
400,2017,"Canada, place of residence of mother",2265549.2,
401,2017,"Manitoba, place of residence of mother",103068.9,
402,2017,"New Brunswick, place of residence of mother",40137.5,
403,2017,"Newfoundland and Labrador, place of residence of mother",25523.9,
404,2017,"Northwest Territories, place of residence of mother",4593.5,
405,2017,"Nova Scotia, place of residence of mother",50315.5,
406,2017,"Nunavut, place of residence of mother",6320.8,
407,2017,"Ontario, place of residence of mother",847759.6,
408,2017,"Prince Edward Island, place of residence of mother",8953.6,
409,2017,"Quebec, place of residence of mother",503814.7,
410,2017,"Saskatchewan, place of residence of mother",93341.2,
411,2017,"Unknown province or territory, place of residence of mother",0.0,
412,2018,"Alberta, place of residence of mother",315825.5,
413,2018,"British Columbia, place of residence of mother",262307.2,
414,2018,"Canada, place of residence of mother",2247553.0,
415,2018,"Manitoba, place of residence of mother",103327.6,
416,2018,"New Brunswick, place of residence of mother",39107.6,
417,2018,"Newfoundland and Labrador, place of residence of mother",24965.2,
418,2018,"Northwest Territories, place of residence of mother",4649.8,
419,2018,"Nova Scotia, place of residence of mother",48592.1,
420,2018,"Nunavut, place of residence of mother",6295.0,
421,2018,"Ontario, place of residence of mother",847812.0,
422,2018,"Prince Edward Island, place of residence of mother",8775.1,
423,2018,"Quebec, place of residence of mother",503697.89999999997,
424,2018,"Saskatchewan, place of residence of mother",92093.5,
425,2018,"Unknown province or territory, place of residence of mother",0.0,
426,2019,"Alberta, place of residence of mother",311487.5,
427,2019,"British Columbia, place of residence of mother",261701.30000000002,
428,2019,"Canada, place of residence of mother",2235002.4,
429,2019,"Manitoba, place of residence of mother",101325.5,
430,2019,"New Brunswick, place of residence of mother",38556.0,
431,2019,"Newfoundland and Labrador, place of residence of mother",23397.8,
432,2019,"Northwest Territories, place of residence of mother",4395.1,
433,2019,"Nova Scotia, place of residence of mother",49478.2,
434,2019,"Nunavut, place of residence of mother",6017.8,
435,2019,"Ontario, place of residence of mother",848387.6,
436,2019,"Prince Edward Island, place of residence of mother",8855.8,
437,2019,"Quebec, place of residence of mother",503779.2,
438,2019,"Saskatchewan, place of residence of mother",87513.1,
439,2019,"Unknown province or territory, place of residence of mother",0.0,
440,2020,"Alberta, place of residence of mother",295111.6,
441,2020,"British Columbia, place of residence of mother",254319.7,
442,2020,"Canada, place of residence of mother",2164731.7,
443,2020,"Manitoba, place of residence of mother",99975.9,
444,2020,"New Brunswick, place of residence of mother",38149.200000000004,
445,2020,"Newfoundland and Labrador, place of residence of mother",22520.4,
446,2020,"Northwest Territories, place of residence of mother",4311.5,
447,2020,"Nova Scotia, place of residence of mother",46663.7,
448,2020,"Nunavut, place of residence of mother",6665.7,
449,2020,"Ontario, place of residence of mother",820794.0,
450,2020,"Prince Edward Island, place of residence of mother",8745.7,
451,2020,"Quebec, place of residence of mother",492719.3,
452,2020,"Saskatchewan, place of residence of mother",84649.2,
453,2020,"Unknown province or territory, place of residence of mother",0.0,
454,2020,"Yukon, place of residence of mother",0.0,
455,2021,"Alberta, place of residence of mother",300487.1,
456,2021,"British Columbia, place of residence of mother",265045.3,
457,2021,"Canada, place of residence of mother",2220859.4,
458,2021,"Manitoba, place of residence of mother",94863.5,
459,2021,"New Brunswick, place of residence of mother",39689.8,
460,2021,"Newfoundland and Labrador, place of residence of mother",24114.2,
461,2021,"Northwest Territories, place of residence of mother",4200.4,
462,2021,"Nova Scotia, place of residence of mother",42783.4,
463,2021,"Nunavut, place of residence of mother",5904.6,
464,2021,"Ontario, place of residence of mother",845801.5,
465,2021,"Prince Edward Island, place of residence of mother",9684.2,
466,2021,"Quebec, place of residence of mother",511359.5,
467,2021,"Saskatchewan, place of residence of mother",86821.8,
468,2021,"Unknown province or territory, place of residence of mother",0.0,
469,2021,"Yukon, place of residence of mother",0.0,
470,2022,"Alberta, place of residence of mother",285528.8,
471,2022,"British Columbia, place of residence of mother",251669.3,
472,2022,"Canada, place of residence of mother",2105697.8,
473,2022,"Manitoba, place of residence of mother",84000.9,
474,2022,"New Brunswick, place of residence of mother",38187.1,
475,2022,"Newfoundland and Labrador, place of residence of mother",22020.9,
476,2022,"Northwest Territories, place of residence of mother",3911.9,
477,2022,"Nova Scotia, place of residence of mother",48119.6,
478,2022,"Nunavut, place of residence of mother",5130.2,
479,2022,"Ontario, place of residence of mother",808867.9,
480,2022,"Prince Edward Island, place of residence of mother",8856.0,
481,2022,"Quebec, place of residence of mother",479377.3,
482,2022,"Saskatchewan, place of residence of mother",79915.1,
483,2022,"Unknown province or territory, place of residence of mother",0.0,
484,2022,"Yukon, place of residence of mother",0.0,
485,2023,"Alberta, place of residence of mother",290431.0,
486,2023,"British Columbia, place of residence of mother",248261.2,
487,2023,"Canada, place of residence of mother",2108442.2,
488,2023,"Manitoba, place of residence of mother",92231.3,
489,2023,"New Brunswick, place of residence of mother",37193.5,
490,2023,"Newfoundland and Labrador, place of residence of mother",19995.7,
491,2023,"Northwest Territories, place of residence of mother",3759.2,
492,2023,"Nova Scotia, place of residence of mother",44813.7,
493,2023,"Nunavut, place of residence of mother",5653.5,
494,2023,"Ontario, place of residence of mother",821931.6,
495,2023,"Prince Edward Island, place of residence of mother",8911.1,
496,2023,"Quebec, place of residence of mother",464408.7,
497,2023,"Saskatchewan, place of residence of mother",78371.4,
498,2023,"Unknown province or territory, place of residence of mother",0.0,
499,2023,"Yukon, place of residence of mother",3270.3,
500,1991,"Alberta, place of residence",,29101.9
501,1991,"British Columbia, place of residence",,48154.0
502,1991,"Canada, place of residence",,391338.0
503,1991,"Manitoba, place of residence",,18086.0
504,1991,"New Brunswick, place of residence",,11138.0
505,1991,"Newfoundland and Labrador, place of residence",,7796.0
506,1991,"Northwest Territories including Nunavut, place of residence",,674.0
507,1991,"Nova Scotia, place of residence",,14710.0
508,1991,"Ontario, place of residence",,146034.1
509,1991,"Prince Edward Island, place of residence",,2576.0
510,1991,"Quebec, place of residence",,98442.0
511,1991,"Saskatchewan, place of residence",,16395.9
512,1991,Unknown province or territory of residence,,202.0
513,1991,"Yukon, place of residence",,428.0
514,1992,"Alberta, place of residence",,29558.0
515,1992,"British Columbia, place of residence",,49430.0
516,1992,"Canada, place of residence",,393270.0
517,1992,"Manitoba, place of residence",,18160.1
518,1992,"New Brunswick, place of residence",,11418.0
519,1992,"Newfoundland and Labrador, place of residence",,7796.1
520,1992,"Northwest Territories including Nunavut, place of residence",,712.0
521,1992,"Nova Scotia, place of residence",,15288.0
522,1992,"Ontario, place of residence",,146612.0
523,1992,"Prince Edward Island, place of residence",,2428.0
524,1992,"Quebec, place of residence",,97848.0
525,1992,"Saskatchewan, place of residence",,15786.0
526,1992,Unknown province or territory of residence,,0.0
527,1992,"Yukon, place of residence",,434.0
528,1993,"Alberta, place of residence",,30876.100000000002
529,1993,"British Columbia, place of residence",,51728.0
530,1993,"Canada, place of residence",,410024.0
531,1993,"Manitoba, place of residence",,18797.9
532,1993,"New Brunswick, place of residence",,11812.0
533,1993,"Newfoundland and Labrador, place of residence",,7980.0
534,1993,"Northwest Territories including Nunavut, place of residence",,720.0
535,1993,"Nova Scotia, place of residence",,15318.0
536,1993,"Ontario, place of residence",,151906.0
537,1993,"Prince Edward Island, place of residence",,2490.1
538,1993,"Quebec, place of residence",,103622.0
539,1993,"Saskatchewan, place of residence",,16528.0
540,1993,Unknown province or territory of residence,,0.0
541,1993,"Yukon, place of residence",,446.0
542,1994,"Alberta, place of residence",,31426.0
543,1994,"British Columbia, place of residence",,52078.0
544,1994,"Canada, place of residence",,414354.0
545,1994,"Manitoba, place of residence",,18496.1
546,1994,"New Brunswick, place of residence",,12034.0
547,1994,"Newfoundland and Labrador, place of residence",,8300.0
548,1994,"Northwest Territories including Nunavut, place of residence",,682.0
549,1994,"Nova Scotia, place of residence",,15740.0
550,1994,"Ontario, place of residence",,155174.1
551,1994,"Prince Edward Island, place of residence",,2428.0
552,1994,"Quebec, place of residence",,102929.9
553,1994,"Saskatchewan, place of residence",,16816.1
554,1994,Unknown province or territory of residence,,202.0
555,1994,"Yukon, place of residence",,448.0
556,1995,"Alberta, place of residence",,31990.0
557,1995,"British Columbia, place of residence",,52950.0
