REF_DATE,GEO,Housing completions,Housing starts,Housing under construction
1978-11-01,Alberta,4134.666666666667,4342.666666666667,10441.0
1978-12-01,Alberta,4134.666666666667,4342.666666666667,10441.0
1979-01-01,Alberta,3804.0,3333.0,9782.666666666666
1979-02-01,Alberta,3804.0,3333.0,9782.666666666666
1979-03-01,Alberta,3804.0,3333.0,9782.666666666666
1979-04-01,Alberta,3360.0,3270.0,9601.666666666666
1979-05-01,Alberta,3360.0,3270.0,9601.666666666666
1979-06-01,Alberta,3360.0,3270.0,9601.666666666666
1979-07-01,Alberta,3867.6666666666665,3135.3333333333335,8842.0
1979-08-01,Alberta,3867.6666666666665,3135.3333333333335,8842.0
1979-09-01,Alberta,3867.6666666666665,3135.3333333333335,8842.0
1979-10-01,Alberta,3799.0,3577.3333333333335,8484.666666666666
1979-11-01,Alberta,3799.0,3577.3333333333335,8484.666666666666
1979-12-01,Alberta,3799.0,3577.3333333333335,8484.666666666666
1980-01-01,Alberta,3082.0,1914.0,7090.333333333333
1980-02-01,Alberta,3082.0,1914.0,7090.333333333333
1980-03-01,Alberta,3082.0,1914.0,7090.333333333333
1980-04-01,Alberta,2670.0,2357.6666666666665,6345.666666666667
1980-05-01,Alberta,2670.0,2357.6666666666665,6345.666666666667
1980-06-01,Alberta,2670.0,2357.6666666666665,6345.666666666667
1980-07-01,Alberta,2824.3333333333335,3395.0,6803.666666666667
1980-08-01,Alberta,2824.3333333333335,3395.0,6803.666666666667
1980-09-01,Alberta,2824.3333333333335,3395.0,6803.666666666667
1980-10-01,Alberta,2996.0,3010.3333333333335,6792.666666666667
1980-11-01,Alberta,2996.0,3010.3333333333335,6792.666666666667
1980-12-01,Alberta,2996.0,3010.3333333333335,6792.666666666667
1981-01-01,Alberta,2452.0,2217.3333333333335,6552.666666666667
1981-02-01,Alberta,2452.0,2217.3333333333335,6552.666666666667
1981-03-01,Alberta,2452.0,2217.3333333333335,6552.666666666667
1981-04-01,Alberta,2588.0,3946.6666666666665,7833.0
1981-05-01,Alberta,2588.0,3946.6666666666665,7833.0
1981-06-01,Alberta,2588.0,3946.6666666666665,7833.0
1981-07-01,Alberta,3499.6666666666665,3525.0,7510.333333333333
1981-08-01,Alberta,3499.6666666666665,3525.0,7510.333333333333
1981-09-01,Alberta,3499.6666666666665,3525.0,7510.333333333333
1981-10-01,Alberta,3045.3333333333335,3134.3333333333335,7653.333333333333
1981-11-01,Alberta,3045.3333333333335,3134.3333333333335,7653.333333333333
1981-12-01,Alberta,3045.3333333333335,3134.3333333333335,7653.333333333333
1982-01-01,Alberta,2266.0,2155.6666666666665,7598.333333333333
1982-02-01,Alberta,2266.0,2155.6666666666665,7598.333333333333
1982-03-01,Alberta,2266.0,2155.6666666666665,7598.333333333333
1982-04-01,Alberta,2675.3333333333335,3273.3333333333335,8186.666666666667
1982-05-01,Alberta,2675.3333333333335,3273.3333333333335,8186.666666666667
1982-06-01,Alberta,2675.3333333333335,3273.3333333333335,8186.666666666667
1982-07-01,Alberta,3377.0,1968.0,6641.666666666667
1982-08-01,Alberta,3377.0,1968.0,6641.666666666667
1982-09-01,Alberta,3377.0,1968.0,6641.666666666667
1982-10-01,Alberta,2136.3333333333335,1532.6666666666667,5887.666666666667
1982-11-01,Alberta,2136.3333333333335,1532.6666666666667,5887.666666666667
1982-12-01,Alberta,2136.3333333333335,1532.6666666666667,5887.666666666667
1983-01-01,Alberta,2071.0,1367.0,5070.666666666667
1983-02-01,Alberta,2071.0,1367.0,5070.666666666667
1983-03-01,Alberta,2071.0,1367.0,5070.666666666667
1983-04-01,Alberta,1941.0,2329.0,5376.0
1983-05-01,Alberta,1941.0,2329.0,5376.0
1983-06-01,Alberta,1941.0,2329.0,5376.0
1983-07-01,Alberta,2084.6666666666665,1159.3333333333333,4171.0
1983-08-01,Alberta,2084.6666666666665,1159.3333333333333,4171.0
1983-09-01,Alberta,2084.6666666666665,1159.3333333333333,4171.0
1983-10-01,Alberta,2134.3333333333335,856.0,2778.6666666666665
