REF_DATE,GEO,Number_of_Households
1980-10-01,Ontario,2960000
1980-10-01,Prince Edward Island,37000
1980-10-01,Quebec,2156000
1980-11-01,Alberta,739000
1980-11-01,British Columbia,990000
1980-11-01,Canada,8194000
1980-11-01,Manitoba,355000
1980-11-01,New Brunswick,213000
1980-11-01,Newfoundland and Labrador,147000
1980-11-01,Ontario,2960000
1980-11-01,Prince Edward Island,37000
1980-11-01,Quebec,2156000
1980-12-01,Alberta,739000
1980-12-01,British Columbia,990000
1980-12-01,Canada,8194000
1980-12-01,Manitoba,355000
1980-12-01,New Brunswick,213000
1980-12-01,Newfoundland and Labrador,147000
1980-12-01,Ontario,2960000
1980-12-01,Prince Edward Island,37000
1980-12-01,Quebec,2156000
1981-01-01,Alberta,777000
1981-01-01,British Columbia,1025000
1981-01-01,Canada,8420000
1981-01-01,Manitoba,361000
1981-01-01,New Brunswick,218000
1981-01-01,Newfoundland and Labrador,151000
1981-01-01,Ontario,3030000
1981-01-01,Prince Edward Island,38000
1981-01-01,Quebec,2209000
1981-02-01,Alberta,777000
1981-02-01,British Columbia,1025000
1981-02-01,Canada,8420000
1981-02-01,Manitoba,361000
1981-02-01,New Brunswick,218000
1981-02-01,Newfoundland and Labrador,151000
1981-02-01,Ontario,3030000
1981-02-01,Prince Edward Island,38000
1981-02-01,Quebec,2209000
1981-03-01,Alberta,777000
1981-03-01,British Columbia,1025000
1981-03-01,Canada,8420000
1981-03-01,Manitoba,361000
1981-03-01,New Brunswick,218000
1981-03-01,Newfoundland and Labrador,151000
1981-03-01,Ontario,3030000
1981-03-01,Prince Edward Island,38000
1981-03-01,Quebec,2209000
1981-04-01,Alberta,777000
1981-04-01,British Columbia,1025000
1981-04-01,Canada,8420000
1981-04-01,Manitoba,361000
1981-04-01,New Brunswick,218000
1981-04-01,Newfoundland and Labrador,151000
1981-04-01,Ontario,3030000
1981-04-01,Prince Edward Island,38000
1981-04-01,Quebec,2209000
1981-05-01,Alberta,777000
1981-05-01,British Columbia,1025000
1981-05-01,Canada,8420000
1981-05-01,Manitoba,361000
1981-05-01,New Brunswick,218000
1981-05-01,Newfoundland and Labrador,151000
1981-05-01,Ontario,3030000
1981-05-01,Prince Edward Island,38000
1981-05-01,Quebec,2209000
1981-06-01,Alberta,777000
1981-06-01,British Columbia,1025000
1981-06-01,Canada,8420000
1981-06-01,Manitoba,361000
1981-06-01,New Brunswick,218000
1981-06-01,Newfoundland and Labrador,151000
