"REF_DATE","GEO","DGUID","Index categories","Base year","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Nova Scotia","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1026946","4.8.1","27.60","","","","2"
"1971","Nova Scotia","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1026947","4.8.2","18.49","","","","2"
"1971","New Brunswick","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1026948","5.1.1","27.93","","","","2"
"1971","New Brunswick","","Education price index (EPI)","Base year 1992=100","Index","160","units ","0","v1026949","5.1.2","22.60","","","","2"
"1971","New Brunswick","","Salaries and wages sub-index","Base year 1986=100","Index","160","units ","0","v1026950","5.2.1","28.10","","","","2"
"1971","New Brunswick","","Salaries and wages sub-index","Base year 1992=100","Index","160","units ","0","v1026951","5.2.2","22.88","","","","2"
"1971","New Brunswick","","Teachers' salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026952","5.3.1","28.22","","","","2"
"1971","New Brunswick","","Teachers' salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026953","5.3.2","22.98","","","","2"
"1971","New Brunswick","","Non-teaching salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026954","5.4.1","27.76","","","","2"
"1971","New Brunswick","","Non-teaching salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026955","5.4.2","22.68","","","","2"
"1971","New Brunswick","","Non-salary sub-index","Base year 1986=100","Index","160","units ","0","v1026956","5.5.1","27.28","","","","2"
"1971","New Brunswick","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1026957","5.5.2","21.56","","","","2"
"1971","New Brunswick","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1026958","5.6.1","28.19","","","","2"
"1971","New Brunswick","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1026959","5.6.2","23.06","","","","2"
"1971","New Brunswick","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1026960","5.7.1","24.67","","","","2"
"1971","New Brunswick","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1026961","5.7.2","22.58","","","","2"
"1971","New Brunswick","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1026962","5.8.1","31.71","","","","2"
"1971","New Brunswick","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1026963","5.8.2","21.03","","","","2"
"1971","Quebec","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1026964","6.1.1","29.49","","","","2"
"1971","Quebec","","Education price index (EPI)","Base year 1992=100","Index","160","units ","0","v1026965","6.1.2","23.01","","","","2"
"1971","Quebec","","Salaries and wages sub-index","Base year 1986=100","Index","160","units ","0","v1026966","6.2.1","30.08","","","","2"
"1971","Quebec","","Salaries and wages sub-index","Base year 1992=100","Index","160","units ","0","v1026967","6.2.2","23.82","","","","2"
"1971","Quebec","","Teachers' salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026968","6.3.1","30.32","","","","2"
"1971","Quebec","","Teachers' salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026969","6.3.2","23.95","","","","2"
"1971","Quebec","","Non-teaching salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026970","6.4.1","27.36","","","","2"
"1971","Quebec","","Non-teaching salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026971","6.4.2","22.17","","","","2"
"1971","Quebec","","Non-salary sub-index","Base year 1986=100","Index","160","units ","0","v1026972","6.5.1","27.11","","","","2"
"1971","Quebec","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1026973","6.5.2","19.96","","","","2"
"1971","Quebec","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1026974","6.6.1","28.19","","","","2"
"1971","Quebec","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1026975","6.6.2","23.06","","","","2"
"1971","Quebec","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1026976","6.7.1","24.08","","","","2"
"1971","Quebec","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1026977","6.7.2","20.73","","","","2"
"1971","Quebec","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1026978","6.8.1","27.64","","","","2"
"1971","Quebec","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1026979","6.8.2","18.74","","","","2"
"1971","Ontario","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1026980","7.1.1","30.36","","","","2"
"1971","Ontario","","Education price index (EPI)","Base year 1992=100","Index","160","units ","0","v1026981","7.1.2","22.50","","","","2"
"1971","Ontario","","Salaries and wages sub-index","Base year 1986=100","Index","160","units ","0","v1026982","7.2.1","31.17","","","","2"
"1971","Ontario","","Salaries and wages sub-index","Base year 1992=100","Index","160","units ","0","v1026983","7.2.2","22.96","","","","2"
"1971","Ontario","","Teachers' salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026984","7.3.1","31.68","","","","2"
