"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3071953","","","","0"
"2019","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3104273","","","","0"
"2020","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3129240","","","","0"
"2021","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3126434","","","","0"
"2022","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3143132","","","","0"
"2023","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3174723","","","","0"
"2024","Canada","2016A000011124","Men+","0 to 14 years","Persons","249","units","0","v466957","1.2.91","3213419","","","","0"
"1971","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3519080","","","","0"
"1972","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3475004","","","","0"
"1973","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3429764","","","","0"
"1974","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3384252","","","","0"
"1975","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3349571","","","","0"
"1976","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3303750","","","","0"
"1977","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3248670","","","","0"
"1978","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3196018","","","","0"
"1979","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3138532","","","","0"
"1980","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3096138","","","","0"
"1981","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3058342","","","","0"
"1982","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3039422","","","","0"
"1983","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3031512","","","","0"
"1984","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3027675","","","","0"
"1985","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3024366","","","","0"
"1986","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3013796","","","","0"
"1987","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3023783","","","","0"
"1988","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3046782","","","","0"
