,REF_DATE,GEO,DGUID,Sex,Birth weight,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1068,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 500 to 1,499 grams",Number of live births,Number,223,units,0,v21402775,7.2.3.1,648.0,,,,0
1069,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 500 to 1,499 grams",Percentage of live births,Percentage,242,units,0,v21402776,7.2.3.2,0.8,,,,1
1070,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 500 to 749 grams",Number of live births,Number,223,units,0,v21402777,7.2.4.1,93.0,,,,0
1071,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 500 to 749 grams",Percentage of live births,Percentage,242,units,0,v21402778,7.2.4.2,0.1,,,,1
1072,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 750 to 999 grams",Number of live births,Number,223,units,0,v21402779,7.2.5.1,133.0,,,,0
1073,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 750 to 999 grams",Percentage of live births,Percentage,242,units,0,v21402780,7.2.5.2,0.2,,,,1
1074,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 1,000 to 1,249 grams",Number of live births,Number,223,units,0,v21402781,7.2.6.1,186.0,,,,0
1075,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 1,000 to 1,249 grams",Percentage of live births,Percentage,242,units,0,v21402782,7.2.6.2,0.2,,,,1
1076,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 1,250 to 1,499 grams",Number of live births,Number,223,units,0,v21402783,7.2.7.1,236.0,,,,0
1077,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 1,250 to 1,499 grams",Percentage of live births,Percentage,242,units,0,v21402784,7.2.7.2,0.3,,,,1
1078,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 1,500 to 2,499 grams",Number of live births,Number,223,units,0,v21402785,7.2.8.1,3344.0,,,,0
1079,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 1,500 to 2,499 grams",Percentage of live births,Percentage,242,units,0,v21402786,7.2.8.2,4.3,,,,1
1080,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 1,500 to 1,749 grams",Number of live births,Number,223,units,0,v21402787,7.2.9.1,332.0,,,,0
1081,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 1,500 to 1,749 grams",Percentage of live births,Percentage,242,units,0,v21402788,7.2.9.2,0.4,,,,1
1082,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 1,750 to 1,999 grams",Number of live births,Number,223,units,0,v21402789,7.2.10.1,460.0,,,,0
1083,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 1,750 to 1,999 grams",Percentage of live births,Percentage,242,units,0,v21402790,7.2.10.2,0.6,,,,1
1084,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 2,000 to 2,249 grams",Number of live births,Number,223,units,0,v21402791,7.2.11.1,867.0,,,,0
1085,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 2,000 to 2,249 grams",Percentage of live births,Percentage,242,units,0,v21402792,7.2.11.2,1.1,,,,1
1086,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 2,250 to 2,499 grams",Number of live births,Number,223,units,0,v21402793,7.2.12.1,1685.0,,,,0
1087,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 2,250 to 2,499 grams",Percentage of live births,Percentage,242,units,0,v21402794,7.2.12.2,2.1,,,,1
1088,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 2,500 to 4,499 grams",Number of live births,Number,223,units,0,v21402795,7.2.13.1,70498.0,,,,0
1089,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 2,500 to 4,499 grams",Percentage of live births,Percentage,242,units,0,v21402796,7.2.13.2,89.8,,,,1
1090,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 2,500 to 2,749 grams",Number of live births,Number,223,units,0,v21402797,7.2.14.1,3190.0,,,,0
1091,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 2,500 to 2,749 grams",Percentage of live births,Percentage,242,units,0,v21402798,7.2.14.2,4.1,,,,1
1092,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 2,750 to 2,999 grams",Number of live births,Number,223,units,0,v21402799,7.2.15.1,6280.0,,,,0
1093,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 2,750 to 2,999 grams",Percentage of live births,Percentage,242,units,0,v21402800,7.2.15.2,8.0,,,,1
1094,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 3,000 to 3,249 grams",Number of live births,Number,223,units,0,v21402801,7.2.16.1,11155.0,,,,0
1095,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 3,000 to 3,249 grams",Percentage of live births,Percentage,242,units,0,v21402802,7.2.16.2,14.2,,,,1
1096,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 3,250 to 3,499 grams",Number of live births,Number,223,units,0,v21402803,7.2.17.1,14290.0,,,,0
1097,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 3,250 to 3,499 grams",Percentage of live births,Percentage,242,units,0,v21402804,7.2.17.2,18.2,,,,1
1098,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 3,500 to 3,749 grams",Number of live births,Number,223,units,0,v21402805,7.2.18.1,14481.0,,,,0
1099,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 3,500 to 3,749 grams",Percentage of live births,Percentage,242,units,0,v21402806,7.2.18.2,18.4,,,,1
1100,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 3,750 to 3,999 grams",Number of live births,Number,223,units,0,v21402807,7.2.19.1,11068.0,,,,0
1101,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 3,750 to 3,999 grams",Percentage of live births,Percentage,242,units,0,v21402808,7.2.19.2,14.1,,,,1
1102,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 4,000 to 4,249 grams",Number of live births,Number,223,units,0,v21402809,7.2.20.1,6652.0,,,,0
1103,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 4,000 to 4,249 grams",Percentage of live births,Percentage,242,units,0,v21402810,7.2.20.2,8.5,,,,1
1104,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 4,250 to 4,499 grams",Number of live births,Number,223,units,0,v21402811,7.2.21.1,3382.0,,,,0
1105,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 4,250 to 4,499 grams",Percentage of live births,Percentage,242,units,0,v21402812,7.2.21.2,4.3,,,,1
1106,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 4,500 grams or more",Number of live births,Number,223,units,0,v21402813,7.2.22.1,2223.0,,,,0
1107,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 4,500 grams or more",Percentage of live births,Percentage,242,units,0,v21402814,7.2.22.2,2.8,,,,1
1108,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 4,500 to 4,749 grams",Number of live births,Number,223,units,0,v21402815,7.2.23.1,1432.0,,,,0
1109,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 4,500 to 4,749 grams",Percentage of live births,Percentage,242,units,0,v21402816,7.2.23.2,1.8,,,,1
1110,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 4,750 to 4,999 grams",Number of live births,Number,223,units,0,v21402817,7.2.24.1,529.0,,,,0
1111,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 4,750 to 4,999 grams",Percentage of live births,Percentage,242,units,0,v21402818,7.2.24.2,0.7,,,,1
1112,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 5,000 to 5,249 grams",Number of live births,Number,223,units,0,v21402819,7.2.25.1,153.0,,,,0
1113,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 5,000 to 5,249 grams",Percentage of live births,Percentage,242,units,0,v21402820,7.2.25.2,0.2,,,,1
1114,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 5,250 to 5,499 grams",Number of live births,Number,223,units,0,v21402821,7.2.26.1,71.0,,,,0
1115,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 5,250 to 5,499 grams",Percentage of live births,Percentage,242,units,0,v21402822,7.2.26.2,0.1,,,,1
1116,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 5,500 grams or more",Number of live births,Number,223,units,0,v21402823,7.2.27.1,38.0,,,,0
1117,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, 5,500 grams or more",Percentage of live births,Percentage,242,units,0,v21402824,7.2.27.2,0.0,,,,1
1118,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, not stated",Number of live births,Number,223,units,0,v21402825,7.2.28.1,1712.0,,,,0
1119,1991,"Ontario, place of residence of mother",2016A000235,Males,"Birth weight, not stated",Percentage of live births,Percentage,242,units,0,v21402826,7.2.28.2,2.2,,,,1
1120,1991,"Ontario, place of residence of mother",2016A000235,Females,"Total, birth weight",Number of live births,Number,223,units,0,v21402827,7.3.1.1,74214.0,,,,0
1121,1991,"Ontario, place of residence of mother",2016A000235,Females,"Total, birth weight",Percentage of live births,Percentage,242,units,0,v21402828,7.3.1.2,100.0,,,,1
1122,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, less than 500 grams",Number of live births,Number,223,units,0,v21402829,7.3.2.1,101.0,,,,0
1123,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, less than 500 grams",Percentage of live births,Percentage,242,units,0,v21402830,7.3.2.2,0.1,,,,1
1124,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 500 to 1,499 grams",Number of live births,Number,223,units,0,v21402831,7.3.3.1,593.0,,,,0
1125,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 500 to 1,499 grams",Percentage of live births,Percentage,242,units,0,v21402832,7.3.3.2,0.8,,,,1
1126,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 500 to 749 grams",Number of live births,Number,223,units,0,v21402833,7.3.4.1,104.0,,,,0
1127,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 500 to 749 grams",Percentage of live births,Percentage,242,units,0,v21402834,7.3.4.2,0.1,,,,1
1128,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 750 to 999 grams",Number of live births,Number,223,units,0,v21402835,7.3.5.1,124.0,,,,0
1129,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 750 to 999 grams",Percentage of live births,Percentage,242,units,0,v21402836,7.3.5.2,0.2,,,,1
1130,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 1,000 to 1,249 grams",Number of live births,Number,223,units,0,v21402837,7.3.6.1,166.0,,,,0
1131,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 1,000 to 1,249 grams",Percentage of live births,Percentage,242,units,0,v21402838,7.3.6.2,0.2,,,,1
1132,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 1,250 to 1,499 grams",Number of live births,Number,223,units,0,v21402839,7.3.7.1,199.0,,,,0
1133,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 1,250 to 1,499 grams",Percentage of live births,Percentage,242,units,0,v21402840,7.3.7.2,0.3,,,,1
1134,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 1,500 to 2,499 grams",Number of live births,Number,223,units,0,v21402841,7.3.8.1,3715.0,,,,0
1135,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 1,500 to 2,499 grams",Percentage of live births,Percentage,242,units,0,v21402842,7.3.8.2,5.0,,,,1
1136,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 1,500 to 1,749 grams",Number of live births,Number,223,units,0,v21402843,7.3.9.1,306.0,,,,0
1137,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 1,500 to 1,749 grams",Percentage of live births,Percentage,242,units,0,v21402844,7.3.9.2,0.4,,,,1
1138,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 1,750 to 1,999 grams",Number of live births,Number,223,units,0,v21402845,7.3.10.1,489.0,,,,0
1139,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 1,750 to 1,999 grams",Percentage of live births,Percentage,242,units,0,v21402846,7.3.10.2,0.7,,,,1
1140,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 2,000 to 2,249 grams",Number of live births,Number,223,units,0,v21402847,7.3.11.1,988.0,,,,0
1141,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 2,000 to 2,249 grams",Percentage of live births,Percentage,242,units,0,v21402848,7.3.11.2,1.3,,,,1
1142,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 2,250 to 2,499 grams",Number of live births,Number,223,units,0,v21402849,7.3.12.1,1932.0,,,,0
1143,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 2,250 to 2,499 grams",Percentage of live births,Percentage,242,units,0,v21402850,7.3.12.2,2.6,,,,1
1144,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 2,500 to 4,499 grams",Number of live births,Number,223,units,0,v21402851,7.3.13.1,67176.0,,,,0
1145,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 2,500 to 4,499 grams",Percentage of live births,Percentage,242,units,0,v21402852,7.3.13.2,90.5,,,,1
1146,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 2,500 to 2,749 grams",Number of live births,Number,223,units,0,v21402853,7.3.14.1,4232.0,,,,0
1147,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 2,500 to 2,749 grams",Percentage of live births,Percentage,242,units,0,v21402854,7.3.14.2,5.7,,,,1
1148,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 2,750 to 2,999 grams",Number of live births,Number,223,units,0,v21402855,7.3.15.1,8161.0,,,,0
1149,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 2,750 to 2,999 grams",Percentage of live births,Percentage,242,units,0,v21402856,7.3.15.2,11.0,,,,1
1150,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 3,000 to 3,249 grams",Number of live births,Number,223,units,0,v21402857,7.3.16.1,13065.0,,,,0
1151,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 3,000 to 3,249 grams",Percentage of live births,Percentage,242,units,0,v21402858,7.3.16.2,17.6,,,,1
1152,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 3,250 to 3,499 grams",Number of live births,Number,223,units,0,v21402859,7.3.17.1,15026.0,,,,0
1153,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 3,250 to 3,499 grams",Percentage of live births,Percentage,242,units,0,v21402860,7.3.17.2,20.2,,,,1
1154,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 3,500 to 3,749 grams",Number of live births,Number,223,units,0,v21402861,7.3.18.1,12712.0,,,,0
1155,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 3,500 to 3,749 grams",Percentage of live births,Percentage,242,units,0,v21402862,7.3.18.2,17.1,,,,1
1156,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 3,750 to 3,999 grams",Number of live births,Number,223,units,0,v21402863,7.3.19.1,8208.0,,,,0
1157,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 3,750 to 3,999 grams",Percentage of live births,Percentage,242,units,0,v21402864,7.3.19.2,11.1,,,,1
1158,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 4,000 to 4,249 grams",Number of live births,Number,223,units,0,v21402865,7.3.20.1,4040.0,,,,0
1159,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 4,000 to 4,249 grams",Percentage of live births,Percentage,242,units,0,v21402866,7.3.20.2,5.4,,,,1
1160,1991,"Ontario, place of residence of mother",2016A000235,Females,"Birth weight, 4,250 to 4,499 grams",Number of live births,Number,223,units,0,v21402867,7.3.21.1,1732.0,,,,0
