REF_DATE,Province,Number_of_Households
1979-07,Newfoundland and Labrador,144
1979-07,Nova Scotia,264
1979-07,Ontario,2891
1979-07,Prince Edward Island,36
1979-07,Quebec,2103
1979-07,Saskatchewan,319
1979-08,Alberta,701
1979-08,British Columbia,955
1979-08,Manitoba,349
1979-08,New Brunswick,208
1979-08,Newfoundland and Labrador,144
1979-08,Nova Scotia,264
1979-08,Ontario,2891
1979-08,Prince Edward Island,36
1979-08,Quebec,2103
1979-08,Saskatchewan,319
1979-09,Alberta,701
1979-09,British Columbia,955
1979-09,Manitoba,349
1979-09,New Brunswick,208
1979-09,Newfoundland and Labrador,144
1979-09,Nova Scotia,264
1979-09,Ontario,2891
1979-09,Prince Edward Island,36
1979-09,Quebec,2103
1979-09,Saskatchewan,319
1979-10,Alberta,701
1979-10,British Columbia,955
1979-10,Manitoba,349
1979-10,New Brunswick,208
1979-10,Newfoundland and Labrador,144
1979-10,Nova Scotia,264
1979-10,Ontario,2891
1979-10,Prince Edward Island,36
1979-10,Quebec,2103
1979-10,Saskatchewan,319
1979-11,Alberta,701
1979-11,British Columbia,955
1979-11,Manitoba,349
1979-11,New Brunswick,208
1979-11,Newfoundland and Labrador,144
1979-11,Nova Scotia,264
1979-11,Ontario,2891
1979-11,Prince Edward Island,36
1979-11,Quebec,2103
1979-11,Saskatchewan,319
1979-12,Alberta,701
1979-12,British Columbia,955
1979-12,Manitoba,349
1979-12,New Brunswick,208
1979-12,Newfoundland and Labrador,144
1979-12,Nova Scotia,264
1979-12,Ontario,2891
1979-12,Prince Edward Island,36
1979-12,Quebec,2103
1979-12,Saskatchewan,319
1980-01,Alberta,739
1980-01,British Columbia,990
1980-01,Manitoba,355
1980-01,New Brunswick,213
1980-01,Newfoundland and Labrador,147
1980-01,Nova Scotia,270
1980-01,Ontario,2960
1980-01,Prince Edward Island,37
1980-01,Quebec,2156
1980-01,Saskatchewan,327
1980-02,Alberta,739
1980-02,British Columbia,990
1980-02,Manitoba,355
1980-02,New Brunswick,213
1980-02,Newfoundland and Labrador,147
1980-02,Nova Scotia,270
1980-02,Ontario,2960
1980-02,Prince Edward Island,37
1980-02,Quebec,2156
1980-02,Saskatchewan,327
1980-03,Alberta,739
1980-03,British Columbia,990
1980-03,Manitoba,355
1980-03,New Brunswick,213
1980-03,Newfoundland and Labrador,147
1980-03,Nova Scotia,270
1980-03,Ontario,2960
1980-03,Prince Edward Island,37
1980-03,Quebec,2156
1980-03,Saskatchewan,327
1980-04,Alberta,739
1980-04,British Columbia,990
1980-04,Manitoba,355
1980-04,New Brunswick,213
1980-04,Newfoundland and Labrador,147
1980-04,Nova Scotia,270
1980-04,Ontario,2960
1980-04,Prince Edward Island,37
1980-04,Quebec,2156
1980-04,Saskatchewan,327
1980-05,Alberta,739
1980-05,British Columbia,990
1980-05,Manitoba,355
1980-05,New Brunswick,213
1980-05,Newfoundland and Labrador,147
1980-05,Nova Scotia,270
1980-05,Ontario,2960
1980-05,Prince Edward Island,37
1980-05,Quebec,2156
1980-05,Saskatchewan,327
1980-06,Alberta,739
1980-06,British Columbia,990
1980-06,Manitoba,355
1980-06,New Brunswick,213
1980-06,Newfoundland and Labrador,147
1980-06,Nova Scotia,270
1980-06,Ontario,2960
1980-06,Prince Edward Island,37
1980-06,Quebec,2156
1980-06,Saskatchewan,327
1980-07,Alberta,739
1980-07,British Columbia,990
1980-07,Manitoba,355
1980-07,New Brunswick,213
1980-07,Newfoundland and Labrador,147
1980-07,Nova Scotia,270
