REF_DATE,Province,Number_of_Households
2006-09-30,Newfoundland and Labrador,199
2006-09-30,Nova Scotia,386
2006-09-30,Ontario,4731
2006-09-30,Prince Edward Island,54
2006-09-30,Quebec,3223
2006-09-30,Saskatchewan,396
2006-10-31,Alberta,1305
2006-10-31,British Columbia,1690
2006-10-31,Manitoba,462
2006-10-31,New Brunswick,302
2006-10-31,Newfoundland and Labrador,199
2006-10-31,Nova Scotia,386
2006-10-31,Ontario,4731
2006-10-31,Prince Edward Island,54
2006-10-31,Quebec,3223
2006-10-31,Saskatchewan,396
2006-11-30,Alberta,1305
2006-11-30,British Columbia,1690
2006-11-30,Manitoba,462
2006-11-30,New Brunswick,302
2006-11-30,Newfoundland and Labrador,199
2006-11-30,Nova Scotia,386
2006-11-30,Ontario,4731
2006-11-30,Prince Edward Island,54
2006-11-30,Quebec,3223
2006-11-30,Saskatchewan,396
2006-12-31,Alberta,1305
2006-12-31,British Columbia,1690
2006-12-31,Manitoba,462
2006-12-31,New Brunswick,302
2006-12-31,Newfoundland and Labrador,199
2006-12-31,Nova Scotia,386
2006-12-31,Ontario,4731
2006-12-31,Prince Edward Island,54
2006-12-31,Quebec,3223
2006-12-31,Saskatchewan,396
2007-01-31,Alberta,1333
2007-01-31,British Columbia,1711
2007-01-31,Manitoba,465
2007-01-31,New Brunswick,305
2007-01-31,Newfoundland and Labrador,202
2007-01-31,Nova Scotia,389
2007-01-31,Ontario,4791
2007-01-31,Prince Edward Island,55
2007-01-31,Quebec,3269
2007-01-31,Saskatchewan,401
2007-02-28,Alberta,1333
2007-02-28,British Columbia,1711
2007-02-28,Manitoba,465
2007-02-28,New Brunswick,305
2007-02-28,Newfoundland and Labrador,202
2007-02-28,Nova Scotia,389
2007-02-28,Ontario,4791
2007-02-28,Prince Edward Island,55
2007-02-28,Quebec,3269
2007-02-28,Saskatchewan,401
2007-03-31,Alberta,1333
2007-03-31,British Columbia,1711
2007-03-31,Manitoba,465
2007-03-31,New Brunswick,305
2007-03-31,Newfoundland and Labrador,202
2007-03-31,Nova Scotia,389
2007-03-31,Ontario,4791
2007-03-31,Prince Edward Island,55
2007-03-31,Quebec,3269
2007-03-31,Saskatchewan,401
2007-04-30,Alberta,1333
2007-04-30,British Columbia,1711
2007-04-30,Manitoba,465
2007-04-30,New Brunswick,305
2007-04-30,Newfoundland and Labrador,202
2007-04-30,Nova Scotia,389
2007-04-30,Ontario,4791
2007-04-30,Prince Edward Island,55
2007-04-30,Quebec,3269
2007-04-30,Saskatchewan,401
2007-05-31,Alberta,1333
2007-05-31,British Columbia,1711
2007-05-31,Manitoba,465
2007-05-31,New Brunswick,305
2007-05-31,Newfoundland and Labrador,202
2007-05-31,Nova Scotia,389
2007-05-31,Ontario,4791
2007-05-31,Prince Edward Island,55
2007-05-31,Quebec,3269
2007-05-31,Saskatchewan,401
2007-06-30,Alberta,1333
2007-06-30,British Columbia,1711
2007-06-30,Manitoba,465
2007-06-30,New Brunswick,305
2007-06-30,Newfoundland and Labrador,202
2007-06-30,Nova Scotia,389
2007-06-30,Ontario,4791
2007-06-30,Prince Edward Island,55
2007-06-30,Quebec,3269
2007-06-30,Saskatchewan,401
2007-07-31,Alberta,1333
2007-07-31,British Columbia,1711
2007-07-31,Manitoba,465
2007-07-31,New Brunswick,305
2007-07-31,Newfoundland and Labrador,202
2007-07-31,Nova Scotia,389
2007-07-31,Ontario,4791
2007-07-31,Prince Edward Island,55
2007-07-31,Quebec,3269
2007-07-31,Saskatchewan,401
2007-08-31,Alberta,1333
2007-08-31,British Columbia,1711
2007-08-31,Manitoba,465
2007-08-31,New Brunswick,305
2007-08-31,Newfoundland and Labrador,202
2007-08-31,Nova Scotia,389
2007-08-31,Ontario,4791
2007-08-31,Prince Edward Island,55
2007-08-31,Quebec,3269
2007-08-31,Saskatchewan,401
2007-09-30,Alberta,1333
2007-09-30,British Columbia,1711
2007-09-30,Manitoba,465
2007-09-30,New Brunswick,305
2007-09-30,Newfoundland and Labrador,202
2007-09-30,Nova Scotia,389
2007-09-30,Ontario,4791
2007-09-30,Prince Edward Island,55
2007-09-30,Quebec,3269
2007-09-30,Saskatchewan,401
2007-10-31,Alberta,1333
2007-10-31,British Columbia,1711
2007-10-31,Manitoba,465
2007-10-31,New Brunswick,305
2007-10-31,Newfoundland and Labrador,202
2007-10-31,Nova Scotia,389
2007-10-31,Ontario,4791
2007-10-31,Prince Edward Island,55
2007-10-31,Quebec,3269
2007-10-31,Saskatchewan,401
2007-11-30,Alberta,1333
2007-11-30,British Columbia,1711
2007-11-30,Manitoba,465
2007-11-30,New Brunswick,305
2007-11-30,Newfoundland and Labrador,202
2007-11-30,Nova Scotia,389
2007-11-30,Ontario,4791
2007-11-30,Prince Edward Island,55
2007-11-30,Quebec,3269
2007-11-30,Saskatchewan,401
2007-12-31,Alberta,1333
2007-12-31,British Columbia,1711
2007-12-31,Manitoba,465
2007-12-31,New Brunswick,305
2007-12-31,Newfoundland and Labrador,202
2007-12-31,Nova Scotia,389
2007-12-31,Ontario,4791
2007-12-31,Prince Edward Island,55
2007-12-31,Quebec,3269
2007-12-31,Saskatchewan,401
2008-01-31,Alberta,1362
2008-01-31,British Columbia,1732
2008-01-31,Manitoba,467
2008-01-31,New Brunswick,307
2008-01-31,Newfoundland and Labrador,204
2008-01-31,Nova Scotia,392
2008-01-31,Ontario,4851
2008-01-31,Prince Edward Island,56
2008-01-31,Quebec,3314
2008-01-31,Saskatchewan,407
2008-02-29,Alberta,1362
2008-02-29,British Columbia,1732
2008-02-29,Manitoba,467
2008-02-29,New Brunswick,307
2008-02-29,Newfoundland and Labrador,204
2008-02-29,Nova Scotia,392
2008-02-29,Ontario,4851
2008-02-29,Prince Edward Island,56
2008-02-29,Quebec,3314
2008-02-29,Saskatchewan,407
2008-03-31,Alberta,1362
2008-03-31,British Columbia,1732
2008-03-31,Manitoba,467
2008-03-31,New Brunswick,307
2008-03-31,Newfoundland and Labrador,204
2008-03-31,Nova Scotia,392
2008-03-31,Ontario,4851
2008-03-31,Prince Edward Island,56
2008-03-31,Quebec,3314
2008-03-31,Saskatchewan,407
2008-04-30,Alberta,1362
2008-04-30,British Columbia,1732
2008-04-30,Manitoba,467
2008-04-30,New Brunswick,307
2008-04-30,Newfoundland and Labrador,204
2008-04-30,Nova Scotia,392
2008-04-30,Ontario,4851
2008-04-30,Prince Edward Island,56
2008-04-30,Quebec,3314
2008-04-30,Saskatchewan,407
2008-05-31,Alberta,1362
2008-05-31,British Columbia,1732
2008-05-31,Manitoba,467
2008-05-31,New Brunswick,307
2008-05-31,Newfoundland and Labrador,204
2008-05-31,Nova Scotia,392
2008-05-31,Ontario,4851
2008-05-31,Prince Edward Island,56
2008-05-31,Quebec,3314
2008-05-31,Saskatchewan,407
2008-06-30,Alberta,1362
2008-06-30,British Columbia,1732
2008-06-30,Manitoba,467
2008-06-30,New Brunswick,307
2008-06-30,Newfoundland and Labrador,204
2008-06-30,Nova Scotia,392
2008-06-30,Ontario,4851
2008-06-30,Prince Edward Island,56
2008-06-30,Quebec,3314
2008-06-30,Saskatchewan,407
2008-07-31,Alberta,1362
2008-07-31,British Columbia,1732
2008-07-31,Manitoba,467
2008-07-31,New Brunswick,307
2008-07-31,Newfoundland and Labrador,204
2008-07-31,Nova Scotia,392
2008-07-31,Ontario,4851
2008-07-31,Prince Edward Island,56
2008-07-31,Quebec,3314
2008-07-31,Saskatchewan,407
2008-08-31,Alberta,1362
2008-08-31,British Columbia,1732
2008-08-31,Manitoba,467
2008-08-31,New Brunswick,307
2008-08-31,Newfoundland and Labrador,204
2008-08-31,Nova Scotia,392
2008-08-31,Ontario,4851
2008-08-31,Prince Edward Island,56
2008-08-31,Quebec,3314
2008-08-31,Saskatchewan,407
2008-09-30,Alberta,1362
2008-09-30,British Columbia,1732
2008-09-30,Manitoba,467
2008-09-30,New Brunswick,307
2008-09-30,Newfoundland and Labrador,204
2008-09-30,Nova Scotia,392
2008-09-30,Ontario,4851
2008-09-30,Prince Edward Island,56
2008-09-30,Quebec,3314
2008-09-30,Saskatchewan,407
2008-10-31,Alberta,1362
2008-10-31,British Columbia,1732
2008-10-31,Manitoba,467
2008-10-31,New Brunswick,307
2008-10-31,Newfoundland and Labrador,204
2008-10-31,Nova Scotia,392
2008-10-31,Ontario,4851
2008-10-31,Prince Edward Island,56
2008-10-31,Quebec,3314
2008-10-31,Saskatchewan,407
2008-11-30,Alberta,1362
2008-11-30,British Columbia,1732
2008-11-30,Manitoba,467
2008-11-30,New Brunswick,307
2008-11-30,Newfoundland and Labrador,204
2008-11-30,Nova Scotia,392
2008-11-30,Ontario,4851
2008-11-30,Prince Edward Island,56
2008-11-30,Quebec,3314
2008-11-30,Saskatchewan,407
2008-12-31,Alberta,1362
2008-12-31,British Columbia,1732
2008-12-31,Manitoba,467
2008-12-31,New Brunswick,307
2008-12-31,Newfoundland and Labrador,204
2008-12-31,Nova Scotia,392
2008-12-31,Ontario,4851
2008-12-31,Prince Edward Island,56
2008-12-31,Quebec,3314
2008-12-31,Saskatchewan,407
2009-01-31,Alberta,1390
2009-01-31,British Columbia,1753
2009-01-31,Manitoba,470
2009-01-31,New Brunswick,310
2009-01-31,Newfoundland and Labrador,207
2009-01-31,Nova Scotia,394
2009-01-31,Ontario,4910
2009-01-31,Prince Edward Island,56
2009-01-31,Quebec,3360
2009-01-31,Saskatchewan,412
2009-02-28,Alberta,1390
2009-02-28,British Columbia,1753
2009-02-28,Manitoba,470
2009-02-28,New Brunswick,310
2009-02-28,Newfoundland and Labrador,207
2009-02-28,Nova Scotia,394
2009-02-28,Ontario,4910
2009-02-28,Prince Edward Island,56
2009-02-28,Quebec,3360
2009-02-28,Saskatchewan,412
2009-03-31,Alberta,1390
2009-03-31,British Columbia,1753
2009-03-31,Manitoba,470
2009-03-31,New Brunswick,310
2009-03-31,Newfoundland and Labrador,207
2009-03-31,Nova Scotia,394
2009-03-31,Ontario,4910
2009-03-31,Prince Edward Island,56
2009-03-31,Quebec,3360
2009-03-31,Saskatchewan,412
2009-04-30,Alberta,1390
2009-04-30,British Columbia,1753
2009-04-30,Manitoba,470
2009-04-30,New Brunswick,310
2009-04-30,Newfoundland and Labrador,207
2009-04-30,Nova Scotia,394
2009-04-30,Ontario,4910
2009-04-30,Prince Edward Island,56
2009-04-30,Quebec,3360
2009-04-30,Saskatchewan,412
2009-05-31,Alberta,1390
2009-05-31,British Columbia,1753
2009-05-31,Manitoba,470
2009-05-31,New Brunswick,310
2009-05-31,Newfoundland and Labrador,207
2009-05-31,Nova Scotia,394
2009-05-31,Ontario,4910
2009-05-31,Prince Edward Island,56
2009-05-31,Quebec,3360
2009-05-31,Saskatchewan,412
2009-06-30,Alberta,1390
2009-06-30,British Columbia,1753
2009-06-30,Manitoba,470
2009-06-30,New Brunswick,310
2009-06-30,Newfoundland and Labrador,207
2009-06-30,Nova Scotia,394
2009-06-30,Ontario,4910
2009-06-30,Prince Edward Island,56
2009-06-30,Quebec,3360
2009-06-30,Saskatchewan,412
2009-07-31,Alberta,1390
2009-07-31,British Columbia,1753
2009-07-31,Manitoba,470
2009-07-31,New Brunswick,310
2009-07-31,Newfoundland and Labrador,207
2009-07-31,Nova Scotia,394
2009-07-31,Ontario,4910
2009-07-31,Prince Edward Island,56
2009-07-31,Quebec,3360
2009-07-31,Saskatchewan,412
2009-08-31,Alberta,1390
2009-08-31,British Columbia,1753
2009-08-31,Manitoba,470
2009-08-31,New Brunswick,310
2009-08-31,Newfoundland and Labrador,207
2009-08-31,Nova Scotia,394
2009-08-31,Ontario,4910
2009-08-31,Prince Edward Island,56
2009-08-31,Quebec,3360
2009-08-31,Saskatchewan,412
2009-09-30,Alberta,1390
2009-09-30,British Columbia,1753
2009-09-30,Manitoba,470
2009-09-30,New Brunswick,310
2009-09-30,Newfoundland and Labrador,207
2009-09-30,Nova Scotia,394
2009-09-30,Ontario,4910
2009-09-30,Prince Edward Island,56
2009-09-30,Quebec,3360
2009-09-30,Saskatchewan,412
2009-10-31,Alberta,1390
2009-10-31,British Columbia,1753
2009-10-31,Manitoba,470
2009-10-31,New Brunswick,310
2009-10-31,Newfoundland and Labrador,207
2009-10-31,Nova Scotia,394
2009-10-31,Ontario,4910
2009-10-31,Prince Edward Island,56
2009-10-31,Quebec,3360
2009-10-31,Saskatchewan,412
2009-11-30,Alberta,1390
2009-11-30,British Columbia,1753
2009-11-30,Manitoba,470
2009-11-30,New Brunswick,310
2009-11-30,Newfoundland and Labrador,207
2009-11-30,Nova Scotia,394
2009-11-30,Ontario,4910
2009-11-30,Prince Edward Island,56
2009-11-30,Quebec,3360
2009-11-30,Saskatchewan,412
2009-12-31,Alberta,1390
2009-12-31,British Columbia,1753
2009-12-31,Manitoba,470
2009-12-31,New Brunswick,310
2009-12-31,Newfoundland and Labrador,207
2009-12-31,Nova Scotia,394
2009-12-31,Ontario,4910
2009-12-31,Prince Edward Island,56
2009-12-31,Quebec,3360
2009-12-31,Saskatchewan,412
2010-01-31,Alberta,1419
2010-01-31,British Columbia,1774
2010-01-31,Manitoba,472
2010-01-31,New Brunswick,312
2010-01-31,Newfoundland and Labrador,209
2010-01-31,Nova Scotia,397
2010-01-31,Ontario,4970
2010-01-31,Prince Edward Island,57
2010-01-31,Quebec,3405
2010-01-31,Saskatchewan,418
2010-02-28,Alberta,1419
2010-02-28,British Columbia,1774
2010-02-28,Manitoba,472
2010-02-28,New Brunswick,312
2010-02-28,Newfoundland and Labrador,209
2010-02-28,Nova Scotia,397
2010-02-28,Ontario,4970
2010-02-28,Prince Edward Island,57
2010-02-28,Quebec,3405
2010-02-28,Saskatchewan,418
2010-03-31,Alberta,1419
2010-03-31,British Columbia,1774
2010-03-31,Manitoba,472
2010-03-31,New Brunswick,312
2010-03-31,Newfoundland and Labrador,209
2010-03-31,Nova Scotia,397
2010-03-31,Ontario,4970
2010-03-31,Prince Edward Island,57
2010-03-31,Quebec,3405
2010-03-31,Saskatchewan,418
2010-04-30,Alberta,1419
2010-04-30,British Columbia,1774
2010-04-30,Manitoba,472
2010-04-30,New Brunswick,312
2010-04-30,Newfoundland and Labrador,209
2010-04-30,Nova Scotia,397
2010-04-30,Ontario,4970
2010-04-30,Prince Edward Island,57
2010-04-30,Quebec,3405
2010-04-30,Saskatchewan,418
2010-05-31,Alberta,1419
2010-05-31,British Columbia,1774
2010-05-31,Manitoba,472
2010-05-31,New Brunswick,312
2010-05-31,Newfoundland and Labrador,209
2010-05-31,Nova Scotia,397
2010-05-31,Ontario,4970
2010-05-31,Prince Edward Island,57
2010-05-31,Quebec,3405
2010-05-31,Saskatchewan,418
2010-06-30,Alberta,1419
2010-06-30,British Columbia,1774
2010-06-30,Manitoba,472
2010-06-30,New Brunswick,312
2010-06-30,Newfoundland and Labrador,209
2010-06-30,Nova Scotia,397
2010-06-30,Ontario,4970
2010-06-30,Prince Edward Island,57
2010-06-30,Quebec,3405
2010-06-30,Saskatchewan,418
2010-07-31,Alberta,1419
2010-07-31,British Columbia,1774
2010-07-31,Manitoba,472
2010-07-31,New Brunswick,312
2010-07-31,Newfoundland and Labrador,209
2010-07-31,Nova Scotia,397
2010-07-31,Ontario,4970
2010-07-31,Prince Edward Island,57
2010-07-31,Quebec,3405
2010-07-31,Saskatchewan,418
2010-08-31,Alberta,1419
2010-08-31,British Columbia,1774
2010-08-31,Manitoba,472
2010-08-31,New Brunswick,312
2010-08-31,Newfoundland and Labrador,209
2010-08-31,Nova Scotia,397
2010-08-31,Ontario,4970
2010-08-31,Prince Edward Island,57
2010-08-31,Quebec,3405
2010-08-31,Saskatchewan,418
2010-09-30,Alberta,1419
2010-09-30,British Columbia,1774
2010-09-30,Manitoba,472
2010-09-30,New Brunswick,312
2010-09-30,Newfoundland and Labrador,209
2010-09-30,Nova Scotia,397
2010-09-30,Ontario,4970
2010-09-30,Prince Edward Island,57
2010-09-30,Quebec,3405
2010-09-30,Saskatchewan,418
2010-10-31,Alberta,1419
2010-10-31,British Columbia,1774
2010-10-31,Manitoba,472
2010-10-31,New Brunswick,312
2010-10-31,Newfoundland and Labrador,209
2010-10-31,Nova Scotia,397
2010-10-31,Ontario,4970
2010-10-31,Prince Edward Island,57
2010-10-31,Quebec,3405
2010-10-31,Saskatchewan,418
2010-11-30,Alberta,1419
2010-11-30,British Columbia,1774
2010-11-30,Manitoba,472
2010-11-30,New Brunswick,312
2010-11-30,Newfoundland and Labrador,209
2010-11-30,Nova Scotia,397
2010-11-30,Ontario,4970
2010-11-30,Prince Edward Island,57
2010-11-30,Quebec,3405
2010-11-30,Saskatchewan,418
2010-12-31,Alberta,1419
2010-12-31,British Columbia,1774
2010-12-31,Manitoba,472
2010-12-31,New Brunswick,312
2010-12-31,Newfoundland and Labrador,209
2010-12-31,Nova Scotia,397
2010-12-31,Ontario,4970
2010-12-31,Prince Edward Island,57
2010-12-31,Quebec,3405
2010-12-31,Saskatchewan,418
2011-01-31,Alberta,1447
2011-01-31,British Columbia,1795
2011-01-31,Manitoba,475
2011-01-31,New Brunswick,315
2011-01-31,Newfoundland and Labrador,212
2011-01-31,Nova Scotia,400
2011-01-31,Ontario,5030
2011-01-31,Prince Edward Island,58
2011-01-31,Quebec,3451
2011-01-31,Saskatchewan,423
2011-02-28,Alberta,1447
2011-02-28,British Columbia,1795
2011-02-28,Manitoba,475
2011-02-28,New Brunswick,315
2011-02-28,Newfoundland and Labrador,212
2011-02-28,Nova Scotia,400
2011-02-28,Ontario,5030
2011-02-28,Prince Edward Island,58
2011-02-28,Quebec,3451
2011-02-28,Saskatchewan,423
2011-03-31,Alberta,1447
2011-03-31,British Columbia,1795
2011-03-31,Manitoba,475
2011-03-31,New Brunswick,315
2011-03-31,Newfoundland and Labrador,212
2011-03-31,Nova Scotia,400
2011-03-31,Ontario,5030
2011-03-31,Prince Edward Island,58
2011-03-31,Quebec,3451
2011-03-31,Saskatchewan,423
2011-04-30,Alberta,1447
2011-04-30,British Columbia,1795
2011-04-30,Manitoba,475
2011-04-30,New Brunswick,315
2011-04-30,Newfoundland and Labrador,212
2011-04-30,Nova Scotia,400
2011-04-30,Ontario,5030
2011-04-30,Prince Edward Island,58
2011-04-30,Quebec,3451
2011-04-30,Saskatchewan,423
2011-05-31,Alberta,1447
2011-05-31,British Columbia,1795
2011-05-31,Manitoba,475
2011-05-31,New Brunswick,315
2011-05-31,Newfoundland and Labrador,212
2011-05-31,Nova Scotia,400
2011-05-31,Ontario,5030
2011-05-31,Prince Edward Island,58
2011-05-31,Quebec,3451
2011-05-31,Saskatchewan,423
2011-06-30,Alberta,1447
2011-06-30,British Columbia,1795
2011-06-30,Manitoba,475
2011-06-30,New Brunswick,315
2011-06-30,Newfoundland and Labrador,212
2011-06-30,Nova Scotia,400
2011-06-30,Ontario,5030
2011-06-30,Prince Edward Island,58
2011-06-30,Quebec,3451
2011-06-30,Saskatchewan,423
2011-07-31,Alberta,1447
2011-07-31,British Columbia,1795
2011-07-31,Manitoba,475
2011-07-31,New Brunswick,315
2011-07-31,Newfoundland and Labrador,212
2011-07-31,Nova Scotia,400
2011-07-31,Ontario,5030
2011-07-31,Prince Edward Island,58
2011-07-31,Quebec,3451
2011-07-31,Saskatchewan,423
2011-08-31,Alberta,1447
2011-08-31,British Columbia,1795
2011-08-31,Manitoba,475
2011-08-31,New Brunswick,315
2011-08-31,Newfoundland and Labrador,212
2011-08-31,Nova Scotia,400
2011-08-31,Ontario,5030
2011-08-31,Prince Edward Island,58
2011-08-31,Quebec,3451
2011-08-31,Saskatchewan,423
2011-09-30,Alberta,1447
2011-09-30,British Columbia,1795
2011-09-30,Manitoba,475
2011-09-30,New Brunswick,315
2011-09-30,Newfoundland and Labrador,212
2011-09-30,Nova Scotia,400
2011-09-30,Ontario,5030
2011-09-30,Prince Edward Island,58
2011-09-30,Quebec,3451
2011-09-30,Saskatchewan,423
2011-10-31,Alberta,1447
2011-10-31,British Columbia,1795
2011-10-31,Manitoba,475
2011-10-31,New Brunswick,315
2011-10-31,Newfoundland and Labrador,212
2011-10-31,Nova Scotia,400
2011-10-31,Ontario,5030
2011-10-31,Prince Edward Island,58
2011-10-31,Quebec,3451
2011-10-31,Saskatchewan,423
2011-11-30,Alberta,1447
2011-11-30,British Columbia,1795
2011-11-30,Manitoba,475
2011-11-30,New Brunswick,315
2011-11-30,Newfoundland and Labrador,212
2011-11-30,Nova Scotia,400
2011-11-30,Ontario,5030
2011-11-30,Prince Edward Island,58
2011-11-30,Quebec,3451
2011-11-30,Saskatchewan,423
2011-12-31,Alberta,1447
2011-12-31,British Columbia,1795
2011-12-31,Manitoba,475
2011-12-31,New Brunswick,315
2011-12-31,Newfoundland and Labrador,212
2011-12-31,Nova Scotia,400
2011-12-31,Ontario,5030
2011-12-31,Prince Edward Island,58
2011-12-31,Quebec,3451
2011-12-31,Saskatchewan,423
2012-01-31,Alberta,1494
2012-01-31,British Columbia,1821
2012-01-31,Manitoba,481
2012-01-31,New Brunswick,317
2012-01-31,Newfoundland and Labrador,213
2012-01-31,Nova Scotia,402
2012-01-31,Ontario,5101
2012-01-31,Prince Edward Island,59
2012-01-31,Quebec,3489
2012-01-31,Saskatchewan,430
2012-02-29,Alberta,1494
2012-02-29,British Columbia,1821
2012-02-29,Manitoba,481
2012-02-29,New Brunswick,317
2012-02-29,Newfoundland and Labrador,213
2012-02-29,Nova Scotia,402
2012-02-29,Ontario,5101
2012-02-29,Prince Edward Island,59
2012-02-29,Quebec,3489
2012-02-29,Saskatchewan,430
2012-03-31,Alberta,1494
2012-03-31,British Columbia,1821
2012-03-31,Manitoba,481
2012-03-31,New Brunswick,317
2012-03-31,Newfoundland and Labrador,213
2012-03-31,Nova Scotia,402
2012-03-31,Ontario,5101
2012-03-31,Prince Edward Island,59
2012-03-31,Quebec,3489
2012-03-31,Saskatchewan,430
2012-04-30,Alberta,1494
2012-04-30,British Columbia,1821
2012-04-30,Manitoba,481
2012-04-30,New Brunswick,317
2012-04-30,Newfoundland and Labrador,213
2012-04-30,Nova Scotia,402
2012-04-30,Ontario,5101
2012-04-30,Prince Edward Island,59
2012-04-30,Quebec,3489
2012-04-30,Saskatchewan,430
2012-05-31,Alberta,1494
2012-05-31,British Columbia,1821
2012-05-31,Manitoba,481
2012-05-31,New Brunswick,317
2012-05-31,Newfoundland and Labrador,213
2012-05-31,Nova Scotia,402
2012-05-31,Ontario,5101
2012-05-31,Prince Edward Island,59
2012-05-31,Quebec,3489
2012-05-31,Saskatchewan,430
2012-06-30,Alberta,1494
2012-06-30,British Columbia,1821
2012-06-30,Manitoba,481
2012-06-30,New Brunswick,317
2012-06-30,Newfoundland and Labrador,213
2012-06-30,Nova Scotia,402
2012-06-30,Ontario,5101
2012-06-30,Prince Edward Island,59
2012-06-30,Quebec,3489
2012-06-30,Saskatchewan,430
2012-07-31,Alberta,1494
2012-07-31,British Columbia,1821
2012-07-31,Manitoba,481
2012-07-31,New Brunswick,317
2012-07-31,Newfoundland and Labrador,213
2012-07-31,Nova Scotia,402
2012-07-31,Ontario,5101
2012-07-31,Prince Edward Island,59
2012-07-31,Quebec,3489
2012-07-31,Saskatchewan,430
2012-08-31,Alberta,1494
2012-08-31,British Columbia,1821
2012-08-31,Manitoba,481
2012-08-31,New Brunswick,317
2012-08-31,Newfoundland and Labrador,213
2012-08-31,Nova Scotia,402
2012-08-31,Ontario,5101
2012-08-31,Prince Edward Island,59
2012-08-31,Quebec,3489
2012-08-31,Saskatchewan,430
2012-09-30,Alberta,1494
2012-09-30,British Columbia,1821
2012-09-30,Manitoba,481
2012-09-30,New Brunswick,317
2012-09-30,Newfoundland and Labrador,213
2012-09-30,Nova Scotia,402
2012-09-30,Ontario,5101
2012-09-30,Prince Edward Island,59
2012-09-30,Quebec,3489
2012-09-30,Saskatchewan,430
2012-10-31,Alberta,1494
2012-10-31,British Columbia,1821
2012-10-31,Manitoba,481
2012-10-31,New Brunswick,317
2012-10-31,Newfoundland and Labrador,213
2012-10-31,Nova Scotia,402
2012-10-31,Ontario,5101
2012-10-31,Prince Edward Island,59
2012-10-31,Quebec,3489
2012-10-31,Saskatchewan,430
2012-11-30,Alberta,1494
2012-11-30,British Columbia,1821
2012-11-30,Manitoba,481
2012-11-30,New Brunswick,317
2012-11-30,Newfoundland and Labrador,213
2012-11-30,Nova Scotia,402
2012-11-30,Ontario,5101
2012-11-30,Prince Edward Island,59
2012-11-30,Quebec,3489
2012-11-30,Saskatchewan,430
2012-12-31,Alberta,1494
2012-12-31,British Columbia,1821
2012-12-31,Manitoba,481
2012-12-31,New Brunswick,317
2012-12-31,Newfoundland and Labrador,213
2012-12-31,Nova Scotia,402
2012-12-31,Ontario,5101
2012-12-31,Prince Edward Island,59
2012-12-31,Quebec,3489
2012-12-31,Saskatchewan,430
2013-01-31,Alberta,1541
2013-01-31,British Columbia,1847
2013-01-31,Manitoba,487
2013-01-31,New Brunswick,318
2013-01-31,Newfoundland and Labrador,214
2013-01-31,Nova Scotia,404
2013-01-31,Ontario,5172
2013-01-31,Prince Edward Island,59
2013-01-31,Quebec,3528
2013-01-31,Saskatchewan,437
2013-02-28,Alberta,1541
2013-02-28,British Columbia,1847
2013-02-28,Manitoba,487
2013-02-28,New Brunswick,318
2013-02-28,Newfoundland and Labrador,214
2013-02-28,Nova Scotia,404
2013-02-28,Ontario,5172
2013-02-28,Prince Edward Island,59
2013-02-28,Quebec,3528
2013-02-28,Saskatchewan,437
2013-03-31,Alberta,1541
2013-03-31,British Columbia,1847
2013-03-31,Manitoba,487
2013-03-31,New Brunswick,318
2013-03-31,Newfoundland and Labrador,214
2013-03-31,Nova Scotia,404
2013-03-31,Ontario,5172
2013-03-31,Prince Edward Island,59
2013-03-31,Quebec,3528
2013-03-31,Saskatchewan,437
2013-04-30,Alberta,1541
2013-04-30,British Columbia,1847
2013-04-30,Manitoba,487
2013-04-30,New Brunswick,318
2013-04-30,Newfoundland and Labrador,214
2013-04-30,Nova Scotia,404
2013-04-30,Ontario,5172
2013-04-30,Prince Edward Island,59
2013-04-30,Quebec,3528
2013-04-30,Saskatchewan,437
2013-05-31,Alberta,1541
2013-05-31,British Columbia,1847
2013-05-31,Manitoba,487
2013-05-31,New Brunswick,318
2013-05-31,Newfoundland and Labrador,214
2013-05-31,Nova Scotia,404
2013-05-31,Ontario,5172
2013-05-31,Prince Edward Island,59
2013-05-31,Quebec,3528
2013-05-31,Saskatchewan,437
2013-06-30,Alberta,1541
2013-06-30,British Columbia,1847
2013-06-30,Manitoba,487
2013-06-30,New Brunswick,318
2013-06-30,Newfoundland and Labrador,214
2013-06-30,Nova Scotia,404
2013-06-30,Ontario,5172
2013-06-30,Prince Edward Island,59
2013-06-30,Quebec,3528
2013-06-30,Saskatchewan,437
2013-07-31,Alberta,1541
2013-07-31,British Columbia,1847
2013-07-31,Manitoba,487
2013-07-31,New Brunswick,318
2013-07-31,Newfoundland and Labrador,214
2013-07-31,Nova Scotia,404
2013-07-31,Ontario,5172
2013-07-31,Prince Edward Island,59
2013-07-31,Quebec,3528
2013-07-31,Saskatchewan,437
2013-08-31,Alberta,1541
2013-08-31,British Columbia,1847
2013-08-31,Manitoba,487
2013-08-31,New Brunswick,318
2013-08-31,Newfoundland and Labrador,214
2013-08-31,Nova Scotia,404
2013-08-31,Ontario,5172
2013-08-31,Prince Edward Island,59
2013-08-31,Quebec,3528
2013-08-31,Saskatchewan,437
2013-09-30,Alberta,1541
2013-09-30,British Columbia,1847
2013-09-30,Manitoba,487
2013-09-30,New Brunswick,318
2013-09-30,Newfoundland and Labrador,214
2013-09-30,Nova Scotia,404
2013-09-30,Ontario,5172
2013-09-30,Prince Edward Island,59
2013-09-30,Quebec,3528
2013-09-30,Saskatchewan,437
2013-10-31,Alberta,1541
