REF_DATE,Province,Number_of_Households
1978-03-31,Saskatchewan,311
1978-04-30,Alberta,662
1978-04-30,British Columbia,921
1978-04-30,Manitoba,344
1978-04-30,New Brunswick,204
1978-04-30,Newfoundland and Labrador,140
1978-04-30,Nova Scotia,257
1978-04-30,Ontario,2821
1978-04-30,Prince Edward Island,35
1978-04-30,Quebec,2049
1978-04-30,Saskatchewan,311
1978-05-31,Alberta,662
1978-05-31,British Columbia,921
1978-05-31,Manitoba,344
1978-05-31,New Brunswick,204
1978-05-31,Newfoundland and Labrador,140
1978-05-31,Nova Scotia,257
1978-05-31,Ontario,2821
1978-05-31,Prince Edward Island,35
1978-05-31,Quebec,2049
1978-05-31,Saskatchewan,311
1978-06-30,Alberta,662
1978-06-30,British Columbia,921
1978-06-30,Manitoba,344
1978-06-30,New Brunswick,204
1978-06-30,Newfoundland and Labrador,140
1978-06-30,Nova Scotia,257
1978-06-30,Ontario,2821
1978-06-30,Prince Edward Island,35
1978-06-30,Quebec,2049
1978-06-30,Saskatchewan,311
1978-07-31,Alberta,662
1978-07-31,British Columbia,921
1978-07-31,Manitoba,344
1978-07-31,New Brunswick,204
1978-07-31,Newfoundland and Labrador,140
1978-07-31,Nova Scotia,257
1978-07-31,Ontario,2821
1978-07-31,Prince Edward Island,35
1978-07-31,Quebec,2049
1978-07-31,Saskatchewan,311
1978-08-31,Alberta,662
1978-08-31,British Columbia,921
1978-08-31,Manitoba,344
1978-08-31,New Brunswick,204
1978-08-31,Newfoundland and Labrador,140
1978-08-31,Nova Scotia,257
1978-08-31,Ontario,2821
1978-08-31,Prince Edward Island,35
1978-08-31,Quebec,2049
1978-08-31,Saskatchewan,311
1978-09-30,Alberta,662
1978-09-30,British Columbia,921
1978-09-30,Manitoba,344
1978-09-30,New Brunswick,204
1978-09-30,Newfoundland and Labrador,140
1978-09-30,Nova Scotia,257
1978-09-30,Ontario,2821
1978-09-30,Prince Edward Island,35
1978-09-30,Quebec,2049
1978-09-30,Saskatchewan,311
1978-10-31,Alberta,662
1978-10-31,British Columbia,921
1978-10-31,Manitoba,344
1978-10-31,New Brunswick,204
1978-10-31,Newfoundland and Labrador,140
1978-10-31,Nova Scotia,257
1978-10-31,Ontario,2821
1978-10-31,Prince Edward Island,35
1978-10-31,Quebec,2049
1978-10-31,Saskatchewan,311
1978-11-30,Alberta,662
1978-11-30,British Columbia,921
1978-11-30,Manitoba,344
1978-11-30,New Brunswick,204
1978-11-30,Newfoundland and Labrador,140
1978-11-30,Nova Scotia,257
1978-11-30,Ontario,2821
1978-11-30,Prince Edward Island,35
1978-11-30,Quebec,2049
1978-11-30,Saskatchewan,311
1978-12-31,Alberta,662
1978-12-31,British Columbia,921
1978-12-31,Manitoba,344
1978-12-31,New Brunswick,204
1978-12-31,Newfoundland and Labrador,140
1978-12-31,Nova Scotia,257
1978-12-31,Ontario,2821
1978-12-31,Prince Edward Island,35
1978-12-31,Quebec,2049
1978-12-31,Saskatchewan,311
1979-01-31,Alberta,701
1979-01-31,British Columbia,955
1979-01-31,Manitoba,349
1979-01-31,New Brunswick,208
1979-01-31,Newfoundland and Labrador,144
1979-01-31,Nova Scotia,264
1979-01-31,Ontario,2891
1979-01-31,Prince Edward Island,36
1979-01-31,Quebec,2103
1979-01-31,Saskatchewan,319
1979-02-28,Alberta,701
1979-02-28,British Columbia,955
1979-02-28,Manitoba,349
1979-02-28,New Brunswick,208
1979-02-28,Newfoundland and Labrador,144
1979-02-28,Nova Scotia,264
1979-02-28,Ontario,2891
1979-02-28,Prince Edward Island,36
1979-02-28,Quebec,2103
1979-02-28,Saskatchewan,319
1979-03-31,Alberta,701
1979-03-31,British Columbia,955
1979-03-31,Manitoba,349
1979-03-31,New Brunswick,208
1979-03-31,Newfoundland and Labrador,144
1979-03-31,Nova Scotia,264
1979-03-31,Ontario,2891
1979-03-31,Prince Edward Island,36
1979-03-31,Quebec,2103
1979-03-31,Saskatchewan,319
1979-04-30,Alberta,701
1979-04-30,British Columbia,955
1979-04-30,Manitoba,349
1979-04-30,New Brunswick,208
1979-04-30,Newfoundland and Labrador,144
1979-04-30,Nova Scotia,264
1979-04-30,Ontario,2891
1979-04-30,Prince Edward Island,36
1979-04-30,Quebec,2103
1979-04-30,Saskatchewan,319
1979-05-31,Alberta,701
1979-05-31,British Columbia,955
1979-05-31,Manitoba,349
1979-05-31,New Brunswick,208
1979-05-31,Newfoundland and Labrador,144
1979-05-31,Nova Scotia,264
1979-05-31,Ontario,2891
1979-05-31,Prince Edward Island,36
1979-05-31,Quebec,2103
1979-05-31,Saskatchewan,319
1979-06-30,Alberta,701
1979-06-30,British Columbia,955
1979-06-30,Manitoba,349
1979-06-30,New Brunswick,208
1979-06-30,Newfoundland and Labrador,144
1979-06-30,Nova Scotia,264
1979-06-30,Ontario,2891
1979-06-30,Prince Edward Island,36
1979-06-30,Quebec,2103
1979-06-30,Saskatchewan,319
1979-07-31,Alberta,701
1979-07-31,British Columbia,955
1979-07-31,Manitoba,349
1979-07-31,New Brunswick,208
1979-07-31,Newfoundland and Labrador,144
1979-07-31,Nova Scotia,264
1979-07-31,Ontario,2891
1979-07-31,Prince Edward Island,36
1979-07-31,Quebec,2103
1979-07-31,Saskatchewan,319
1979-08-31,Alberta,701
1979-08-31,British Columbia,955
1979-08-31,Manitoba,349
1979-08-31,New Brunswick,208
1979-08-31,Newfoundland and Labrador,144
1979-08-31,Nova Scotia,264
1979-08-31,Ontario,2891
1979-08-31,Prince Edward Island,36
1979-08-31,Quebec,2103
1979-08-31,Saskatchewan,319
1979-09-30,Alberta,701
1979-09-30,British Columbia,955
1979-09-30,Manitoba,349
1979-09-30,New Brunswick,208
1979-09-30,Newfoundland and Labrador,144
1979-09-30,Nova Scotia,264
1979-09-30,Ontario,2891
1979-09-30,Prince Edward Island,36
1979-09-30,Quebec,2103
1979-09-30,Saskatchewan,319
1979-10-31,Alberta,701
1979-10-31,British Columbia,955
1979-10-31,Manitoba,349
1979-10-31,New Brunswick,208
1979-10-31,Newfoundland and Labrador,144
1979-10-31,Nova Scotia,264
1979-10-31,Ontario,2891
1979-10-31,Prince Edward Island,36
1979-10-31,Quebec,2103
1979-10-31,Saskatchewan,319
1979-11-30,Alberta,701
1979-11-30,British Columbia,955
1979-11-30,Manitoba,349
1979-11-30,New Brunswick,208
1979-11-30,Newfoundland and Labrador,144
1979-11-30,Nova Scotia,264
1979-11-30,Ontario,2891
1979-11-30,Prince Edward Island,36
1979-11-30,Quebec,2103
1979-11-30,Saskatchewan,319
1979-12-31,Alberta,701
1979-12-31,British Columbia,955
1979-12-31,Manitoba,349
1979-12-31,New Brunswick,208
1979-12-31,Newfoundland and Labrador,144
1979-12-31,Nova Scotia,264
1979-12-31,Ontario,2891
1979-12-31,Prince Edward Island,36
1979-12-31,Quebec,2103
1979-12-31,Saskatchewan,319
1980-01-31,Alberta,739
1980-01-31,British Columbia,990
1980-01-31,Manitoba,355
1980-01-31,New Brunswick,213
1980-01-31,Newfoundland and Labrador,147
1980-01-31,Nova Scotia,270
1980-01-31,Ontario,2960
1980-01-31,Prince Edward Island,37
1980-01-31,Quebec,2156
1980-01-31,Saskatchewan,327
1980-02-29,Alberta,739
1980-02-29,British Columbia,990
1980-02-29,Manitoba,355
1980-02-29,New Brunswick,213
1980-02-29,Newfoundland and Labrador,147
1980-02-29,Nova Scotia,270
1980-02-29,Ontario,2960
1980-02-29,Prince Edward Island,37
1980-02-29,Quebec,2156
1980-02-29,Saskatchewan,327
1980-03-31,Alberta,739
1980-03-31,British Columbia,990
1980-03-31,Manitoba,355
1980-03-31,New Brunswick,213
1980-03-31,Newfoundland and Labrador,147
1980-03-31,Nova Scotia,270
1980-03-31,Ontario,2960
1980-03-31,Prince Edward Island,37
1980-03-31,Quebec,2156
1980-03-31,Saskatchewan,327
1980-04-30,Alberta,739
1980-04-30,British Columbia,990
1980-04-30,Manitoba,355
1980-04-30,New Brunswick,213
1980-04-30,Newfoundland and Labrador,147
1980-04-30,Nova Scotia,270
1980-04-30,Ontario,2960
1980-04-30,Prince Edward Island,37
1980-04-30,Quebec,2156
1980-04-30,Saskatchewan,327
1980-05-31,Alberta,739
1980-05-31,British Columbia,990
1980-05-31,Manitoba,355
1980-05-31,New Brunswick,213
1980-05-31,Newfoundland and Labrador,147
1980-05-31,Nova Scotia,270
1980-05-31,Ontario,2960
1980-05-31,Prince Edward Island,37
1980-05-31,Quebec,2156
1980-05-31,Saskatchewan,327
1980-06-30,Alberta,739
1980-06-30,British Columbia,990
1980-06-30,Manitoba,355
1980-06-30,New Brunswick,213
1980-06-30,Newfoundland and Labrador,147
1980-06-30,Nova Scotia,270
1980-06-30,Ontario,2960
1980-06-30,Prince Edward Island,37
1980-06-30,Quebec,2156
1980-06-30,Saskatchewan,327
1980-07-31,Alberta,739
1980-07-31,British Columbia,990
1980-07-31,Manitoba,355
1980-07-31,New Brunswick,213
1980-07-31,Newfoundland and Labrador,147
1980-07-31,Nova Scotia,270
1980-07-31,Ontario,2960
1980-07-31,Prince Edward Island,37
1980-07-31,Quebec,2156
1980-07-31,Saskatchewan,327
1980-08-31,Alberta,739
1980-08-31,British Columbia,990
1980-08-31,Manitoba,355
1980-08-31,New Brunswick,213
1980-08-31,Newfoundland and Labrador,147
1980-08-31,Nova Scotia,270
1980-08-31,Ontario,2960
1980-08-31,Prince Edward Island,37
1980-08-31,Quebec,2156
1980-08-31,Saskatchewan,327
1980-09-30,Alberta,739
