Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate,Net Change,Population Growth Rate (%),Immigration Contribution (%),Birth-Death Ratio,Migration Ratio (PRs/TRs)
1995,Ontario,0.0,0.0,439693.0,78479.0,10931434.5,361214.0,1.214331577831529,0.0,5.602683520432217,0.0
1995,Prince Edward Island,0.0,0.0,5257.0,1153.0,134405.25,4104.0,0.8633838568606444,0.0,4.559410234171726,0.0
1995,Quebec,0.0,0.0,262104.0,52734.0,7215799.5,209370.0,0.37267660477902087,0.0,4.970303788826943,0.0
1995,Saskatchewan,0.0,0.0,40508.0,8495.0,1013528.75,32013.0,0.43756238459855545,0.0,4.768452030606239,0.0
1995,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Unknown province or territory of residence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Yukon,0.0,0.0,1408.0,157.0,30335.5,1251.0,2.275753948854531,0.0,8.968152866242038,0.0
1996,Alberta,0.0,0.0,113548.0,16391.0,2770297.5,97157.0,1.4721868323574805,0.0,6.927460191568544,0.0
1996,British Columbia,0.0,0.0,138268.0,27536.0,3862539.75,110732.0,2.558063861751303,0.0,5.021353864032539,0.0
1996,Manitoba,0.0,0.0,46428.0,9497.0,1132782.0,36931.0,0.44891482323397014,0.0,4.888701695272191,0.0
1996,New Brunswick,0.0,0.0,24528.0,5896.0,752061.75,18632.0,0.1537806945467235,0.0,4.16010854816825,0.0
1996,Newfoundland and Labrador,0.0,0.0,17236.0,3928.0,560576.0,13308.0,-1.3086060256087495,0.0,4.387983706720978,0.0
1996,Northwest Territories including Nunavut,0.0,0.0,4694.0,272.0,0.0,4422.0,0.0,0.0,17.25735294117647,0.0
1996,Nova Scotia,0.0,0.0,31908.0,7751.0,930826.5,24157.0,0.272596240854206,0.0,4.116630112243581,0.0
1996,Ontario,0.0,0.0,421153.0,79099.0,11065044.0,342054.0,1.2222503826007536,0.0,5.324378310724535,0.0
1996,Prince Edward Island,0.0,0.0,5077.0,1268.0,135542.75,3809.0,0.8463211072484045,0.0,4.003943217665615,0.0
1996,Quebec,0.0,0.0,254394.0,52336.0,7243693.0,202058.0,0.38656146141533565,0.0,4.8607841638642615,0.0
1996,Saskatchewan,0.0,0.0,39925.0,8765.0,1018105.75,31160.0,0.4515905444221424,0.0,4.555048488305761,0.0
1996,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Unknown province or territory of residence,0.0,0.0,0.0,42.0,0.0,-42.0,0.0,-0.0,0.0,0.0
1996,Yukon,0.0,0.0,1329.0,120.0,31272.0,1209.0,3.0871421272106847,0.0,11.075,0.0
1997,Alberta,0.0,0.0,110697.0,16452.0,2822523.0,94245.0,1.8851946406478026,0.0,6.728482859226841,0.0
1997,British Columbia,0.0,0.0,133632.0,27412.0,3939701.5,106220.0,1.9976946515566585,0.0,4.874945279439661,0.0
1997,Manitoba,0.0,0.0,43953.0,9511.0,1135655.0,34442.0,0.25362338031500453,0.0,4.621280622437178,0.0
1997,New Brunswick,0.0,0.0,23760.0,5944.0,752385.0,17816.0,0.04298184291382512,0.0,3.9973082099596233,0.0
1997,Newfoundland and Labrador,0.0,0.0,16233.0,4318.0,551774.25,11915.0,-1.5701260845986997,0.0,3.7593793422880966,0.0
1997,Northwest Territories including Nunavut,0.0,0.0,4411.0,258.0,0.0,4153.0,0.0,0.0,17.0968992248062,0.0
1997,Nova Scotia,0.0,0.0,30059.0,8044.0,932329.5,22015.0,0.16146940380403763,0.0,3.7368224763799103,0.0
1997,Ontario,0.0,0.0,400691.0,79541.0,11208193.25,321150.0,1.2937070110159432,0.0,5.037540387976012,0.0
1997,Prince Edward Island,0.0,0.0,4767.0,1030.0,136031.5,3737.0,0.3605873423698336,0.0,4.628155339805825,0.0
1997,Quebec,0.0,0.0,239202.0,54399.0,7272061.75,184803.0,0.39163379784317165,0.0,4.397176418684167,0.0
1997,Saskatchewan,0.0,0.0,38603.0,8637.0,1017834.25,29966.0,-0.02666717087099757,0.0,4.469491721662615,0.0
1997,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Unknown province or territory of residence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Yukon,0.0,0.0,1422.0,123.0,31661.25,1299.0,1.2447237145049916,0.0,11.560975609756097,0.0
1998,Alberta,0.0,0.0,113704.0,16795.0,2887726.25,96909.0,2.310105178948052,0.0,6.770110151830902,0.0
1998,British Columbia,0.0,0.0,129133.0,27978.0,3981074.25,101155.0,1.0501493577622645,0.0,4.615519336621631,0.0
1998,Manitoba,0.0,0.0,43371.0,9815.0,1136941.0,33556.0,0.11323861560068593,0.0,4.4188487009679065,0.0
1998,New Brunswick,0.0,0.0,23646.0,6305.0,751071.75,17341.0,-0.17454494706832246,0.0,3.75035685963521,0.0
1998,Newfoundland and Labrador,0.0,0.0,14958.0,4230.0,541499.75,10728.0,-1.8620839954021084,0.0,3.5361702127659576,0.0
1998,Northwest Territories including Nunavut,0.0,0.0,3908.0,288.0,0.0,3620.0,0.0,0.0,13.569444444444445,0.0
1998,Nova Scotia,0.0,0.0,29034.0,8068.0,932289.5,20966.0,-0.004290328687439615,0.0,3.598661378284581,0.0
