Date,GEO,Number_of_Houses_Forecast,Model_Used
2026-03-01,Prince Edward Island,69720.37751952815,Prophet
2026-04-01,Prince Edward Island,69810.41547636468,Prophet
2026-05-01,Prince Edward Island,69897.54898298066,Prophet
2026-06-01,Prince Edward Island,69987.58693981718,Prophet
2026-07-01,Prince Edward Island,70074.72044643314,Prophet
2026-08-01,Prince Edward Island,70164.75840326966,Prophet
2026-09-01,Prince Edward Island,70254.79636010618,Prophet
2026-10-01,Prince Edward Island,70341.92986672216,Prophet
2026-11-01,Prince Edward Island,70431.96782355869,Prophet
2026-12-01,Prince Edward Island,70519.10133017467,Prophet
2027-01-01,Prince Edward Island,70609.13928701117,Prophet
2027-02-01,Prince Edward Island,70699.17724384769,Prophet
2027-03-01,Prince Edward Island,70780.5018500226,Prophet
2027-04-01,Prince Edward Island,70870.53980685913,Prophet
2027-05-01,Prince Edward Island,70957.67331347511,Prophet
2027-06-01,Prince Edward Island,71047.71127031161,Prophet
2027-07-01,Prince Edward Island,71134.8447769276,Prophet
2027-08-01,Prince Edward Island,71224.88273376413,Prophet
2027-09-01,Prince Edward Island,71314.92069060064,Prophet
2027-10-01,Prince Edward Island,71402.05419721662,Prophet
2027-11-01,Prince Edward Island,71492.09215405313,Prophet
2027-12-01,Prince Edward Island,71579.22566066911,Prophet
2028-01-01,Prince Edward Island,71669.26361750563,Prophet
2028-02-01,Prince Edward Island,71759.30157434214,Prophet
2028-03-01,Prince Edward Island,71843.5306307376,Prophet
2028-04-01,Prince Edward Island,71933.56858757412,Prophet
2028-05-01,Prince Edward Island,72020.70209419008,Prophet
2028-06-01,Prince Edward Island,72110.7400510266,Prophet
2028-07-01,Prince Edward Island,72197.87355764258,Prophet
2028-08-01,Prince Edward Island,72287.91151447911,Prophet
2028-09-01,Prince Edward Island,72377.94947131563,Prophet
2028-10-01,Prince Edward Island,72465.0829779316,Prophet
2028-11-01,Prince Edward Island,72555.12093476811,Prophet
2028-12-01,Prince Edward Island,72642.25444138411,Prophet
2029-01-01,Prince Edward Island,72732.29239822061,Prophet
2029-02-01,Prince Edward Island,72822.33035505714,Prophet
2029-03-01,Prince Edward Island,72903.65496123205,Prophet
2029-04-01,Prince Edward Island,72993.69291806855,Prophet
2029-05-01,Prince Edward Island,73080.82642468455,Prophet
2029-06-01,Prince Edward Island,73170.86438152105,Prophet
2029-07-01,Prince Edward Island,73257.99788813705,Prophet
2029-08-01,Prince Edward Island,73348.03584497356,Prophet
2029-09-01,Prince Edward Island,73438.07380181007,Prophet
2029-10-01,Prince Edward Island,73525.20730842605,Prophet
2029-11-01,Prince Edward Island,73615.24526526258,Prophet
2029-12-01,Prince Edward Island,73702.37877187856,Prophet
2030-01-01,Prince Edward Island,73792.41672871508,Prophet
2030-02-01,Prince Edward Island,73882.45468555158,Prophet
2030-03-01,Prince Edward Island,73963.77929172652,Prophet
2030-04-01,Prince Edward Island,74053.81724856302,Prophet
2030-05-01,Prince Edward Island,74140.950755179,Prophet
2030-06-01,Prince Edward Island,74230.98871201552,Prophet
2030-07-01,Prince Edward Island,74318.1222186315,Prophet
2030-08-01,Prince Edward Island,74408.160175468,Prophet
2030-09-01,Prince Edward Island,74498.19813230455,Prophet
2030-10-01,Prince Edward Island,74585.3316389205,Prophet
2030-11-01,Prince Edward Island,74675.36959575703,Prophet
2030-12-01,Prince Edward Island,74762.50310237301,Prophet
2031-01-01,Prince Edward Island,74852.54105920953,Prophet
2031-02-01,Prince Edward Island,74942.57901604603,Prophet
2031-03-01,Prince Edward Island,75023.90362222097,Prophet
2031-04-01,Prince Edward Island,75113.94157905747,Prophet
2031-05-01,Prince Edward Island,75201.07508567345,Prophet
2031-06-01,Prince Edward Island,75291.11304250998,Prophet
2031-07-01,Prince Edward Island,75378.24654912596,Prophet
2031-08-01,Prince Edward Island,75468.28450596248,Prophet
2031-09-01,Prince Edward Island,75558.32246279898,Prophet
2031-10-01,Prince Edward Island,75645.45596941496,Prophet
2031-11-01,Prince Edward Island,75735.49392625148,Prophet
2031-12-01,Prince Edward Island,75822.62743286746,Prophet
2032-01-01,Prince Edward Island,75912.665389704,Prophet
2032-02-01,Prince Edward Island,76002.70334654051,Prophet
2032-03-01,Prince Edward Island,76086.93240293594,Prophet
2032-04-01,Prince Edward Island,76176.97035977246,Prophet
2032-05-01,Prince Edward Island,76264.10386638844,Prophet
2032-06-01,Prince Edward Island,76354.14182322497,Prophet
2032-07-01,Prince Edward Island,76441.27532984095,Prophet
2032-08-01,Prince Edward Island,76531.31328667745,Prophet
2032-09-01,Prince Edward Island,76621.35124351397,Prophet
2032-10-01,Prince Edward Island,76708.48475012995,Prophet
2032-11-01,Prince Edward Island,76798.52270696647,Prophet
2032-12-01,Prince Edward Island,76885.65621358246,Prophet
2033-01-01,Prince Edward Island,76975.69417041897,Prophet
2033-02-01,Prince Edward Island,77065.73212725548,Prophet
2033-03-01,Prince Edward Island,77147.0567334304,Prophet
2033-04-01,Prince Edward Island,77237.09469026691,Prophet
2033-05-01,Prince Edward Island,77324.2281968829,Prophet
2033-06-01,Prince Edward Island,77414.26615371942,Prophet
2033-07-01,Prince Edward Island,77501.39966033539,Prophet
2033-08-01,Prince Edward Island,77591.4376171719,Prophet
2033-09-01,Prince Edward Island,77681.47557400844,Prophet
2033-10-01,Prince Edward Island,77768.60908062442,Prophet
2033-11-01,Prince Edward Island,77858.64703746093,Prophet
2033-12-01,Prince Edward Island,77945.7805440769,Prophet
2034-01-01,Prince Edward Island,78035.81850091342,Prophet
2034-02-01,Prince Edward Island,78125.85645774993,Prophet
2034-03-01,Prince Edward Island,78207.18106392486,Prophet
2034-04-01,Prince Edward Island,78297.21902076137,Prophet
2034-05-01,Prince Edward Island,78384.35252737736,Prophet
2034-06-01,Prince Edward Island,78474.39048421386,Prophet
2034-07-01,Prince Edward Island,78561.52399082985,Prophet
2034-08-01,Prince Edward Island,78651.56194766636,Prophet
2034-09-01,Prince Edward Island,78741.59990450289,Prophet
2034-10-01,Prince Edward Island,78828.73341111887,Prophet
2034-11-01,Prince Edward Island,78918.77136795537,Prophet
2034-12-01,Prince Edward Island,79005.90487457135,Prophet
2035-01-01,Prince Edward Island,79095.94283140788,Prophet
2035-02-01,Prince Edward Island,79185.98078824439,Prophet
2035-03-01,Prince Edward Island,79267.30539441931,Prophet
2035-04-01,Prince Edward Island,79357.34335125583,Prophet
2035-05-01,Prince Edward Island,79444.47685787179,Prophet
2035-06-01,Prince Edward Island,79534.51481470832,Prophet
2035-07-01,Prince Edward Island,79621.6483213243,Prophet
2035-08-01,Prince Edward Island,79711.68627816082,Prophet
2035-09-01,Prince Edward Island,79801.72423499734,Prophet
2035-10-01,Prince Edward Island,79888.8577416133,Prophet
2035-11-01,Prince Edward Island,79978.89569844982,Prophet
2035-12-01,Prince Edward Island,80066.02920506582,Prophet
2036-01-01,Prince Edward Island,80156.06716190233,Prophet
2036-02-01,Prince Edward Island,80246.10511873885,Prophet
2036-03-01,Prince Edward Island,80330.33417513428,Prophet
2036-04-01,Prince Edward Island,80420.3721319708,Prophet
2036-05-01,Prince Edward Island,80507.5056385868,Prophet
2036-06-01,Prince Edward Island,80597.54359542331,Prophet
2036-07-01,Prince Edward Island,80684.67710203929,Prophet
2036-08-01,Prince Edward Island,80774.71505887581,Prophet
2036-09-01,Prince Edward Island,80864.75301571228,Prophet
2036-10-01,Prince Edward Island,80951.88652232828,Prophet
2024-11-01,Quebec,3911229.422469461,Prophet
2024-12-01,Quebec,3914277.8323991196,Prophet
2025-01-01,Quebec,3917427.855993101,Prophet
2025-02-01,Quebec,3920577.8795870817,Prophet
2025-03-01,Quebec,3923423.0621880963,Prophet
2025-04-01,Quebec,3926573.085782078,Prophet
2025-05-01,Quebec,3929621.495711737,Prophet
2025-06-01,Quebec,3932771.5193057177,Prophet
2025-07-01,Quebec,3935819.9292353764,Prophet
2025-08-01,Quebec,3938969.952829358,Prophet
2025-09-01,Quebec,3942119.976423339,Prophet
2025-10-01,Quebec,3945168.3863529977,Prophet
2025-11-01,Quebec,3948318.4099469786,Prophet
2025-12-01,Quebec,3951366.819876638,Prophet
2026-01-01,Quebec,3954516.8434706186,Prophet
2026-02-01,Quebec,3957666.8670645994,Prophet
2026-03-01,Quebec,3960512.049665615,Prophet
2026-04-01,Quebec,3963662.073259596,Prophet
2026-05-01,Quebec,3966710.4831892555,Prophet
2026-06-01,Quebec,3969860.5067832363,Prophet
2026-07-01,Quebec,3972908.916712895,Prophet
2026-08-01,Quebec,3976058.940306876,Prophet
2026-09-01,Quebec,3979208.9639008567,Prophet
2026-10-01,Quebec,3982257.3738305154,Prophet
2026-11-01,Quebec,3985407.3974244962,Prophet
2026-12-01,Quebec,3988455.807354156,Prophet
2027-01-01,Quebec,3991605.8309481367,Prophet
2027-02-01,Quebec,3994755.8545421176,Prophet
2027-03-01,Quebec,3997601.037143133,Prophet
2027-04-01,Quebec,4000751.060737114,Prophet
2027-05-01,Quebec,4003799.4706667727,Prophet
2027-06-01,Quebec,4006949.4942607535,Prophet
2027-07-01,Quebec,4009997.9041904123,Prophet
2027-08-01,Quebec,4013147.927784393,Prophet
2027-09-01,Quebec,4016297.951378375,Prophet
2027-10-01,Quebec,4019346.3613080336,Prophet
2027-11-01,Quebec,4022496.3849020144,Prophet
2027-12-01,Quebec,4025544.794831674,Prophet
2028-01-01,Quebec,4028694.8184256544,Prophet
2028-02-01,Quebec,4031844.842019636,Prophet
2028-03-01,Quebec,4034791.638284973,Prophet
2028-04-01,Quebec,4037941.6618789537,Prophet
2028-05-01,Quebec,4040990.0718086124,Prophet
2028-06-01,Quebec,4044140.0954025933,Prophet
2028-07-01,Quebec,4047188.505332253,Prophet
2028-08-01,Quebec,4050338.5289262338,Prophet
2028-09-01,Quebec,4053488.5525202146,Prophet
2028-10-01,Quebec,4056536.9624498733,Prophet
2028-11-01,Quebec,4059686.986043855,Prophet
2028-12-01,Quebec,4062735.395973514,Prophet
2029-01-01,Quebec,4065885.4195674947,Prophet
2029-02-01,Quebec,4069035.4431614755,Prophet
2029-03-01,Quebec,4071880.62576249,Prophet
2029-04-01,Quebec,4075030.649356472,Prophet
2029-05-01,Quebec,4078079.0592861306,Prophet
2029-06-01,Quebec,4081229.0828801114,Prophet
2029-07-01,Quebec,4084277.49280977,Prophet
2029-08-01,Quebec,4087427.516403752,Prophet
2029-09-01,Quebec,4090577.5399977327,Prophet
2029-10-01,Quebec,4093625.9499273915,Prophet
2029-11-01,Quebec,4096775.973521373,Prophet
2029-12-01,Quebec,4099824.3834510315,Prophet
2030-01-01,Quebec,4102974.4070450123,Prophet
2030-02-01,Quebec,4106124.430638994,Prophet
2030-03-01,Quebec,4108969.6132400087,Prophet
2030-04-01,Quebec,4112119.6368339895,Prophet
2030-05-01,Quebec,4115168.046763649,Prophet
2030-06-01,Quebec,4118318.07035763,Prophet
2030-07-01,Quebec,4121366.480287289,Prophet
2030-08-01,Quebec,4124516.5038812696,Prophet
2030-09-01,Quebec,4127666.5274752504,Prophet
2030-10-01,Quebec,4130714.937404909,Prophet
2030-11-01,Quebec,4133864.960998891,Prophet
2030-12-01,Quebec,4136913.3709285497,Prophet
2031-01-01,Quebec,4140063.3945225305,Prophet
2031-02-01,Quebec,4143213.4181165113,Prophet
2031-03-01,Quebec,4146058.600717527,Prophet
2031-04-01,Quebec,4149208.6243115077,Prophet
2031-05-01,Quebec,4152257.0342411664,Prophet
2031-06-01,Quebec,4155407.0578351473,Prophet
2031-07-01,Quebec,4158455.467764807,Prophet
2031-08-01,Quebec,4161605.491358787,Prophet
2031-09-01,Quebec,4164755.5149527686,Prophet
2031-10-01,Quebec,4167803.9248824273,Prophet
2031-11-01,Quebec,4170953.9484764086,Prophet
2031-12-01,Quebec,4174002.358406068,Prophet
2032-01-01,Quebec,4177152.382000049,Prophet
2032-02-01,Quebec,4180302.40559403,Prophet
2032-03-01,Quebec,4183249.2018593666,Prophet
2032-04-01,Quebec,4186399.2254533474,Prophet
2032-05-01,Quebec,4189447.635383006,Prophet
2032-06-01,Quebec,4192597.658976988,Prophet
2032-07-01,Quebec,4195646.068906646,Prophet
2032-08-01,Quebec,4198796.092500627,Prophet
2032-09-01,Quebec,4201946.116094609,Prophet
2032-10-01,Quebec,4204994.526024267,Prophet
2032-11-01,Quebec,4208144.549618249,Prophet
2032-12-01,Quebec,4211192.959547908,Prophet
2033-01-01,Quebec,4214342.983141889,Prophet
2033-02-01,Quebec,4217493.00673587,Prophet
2033-03-01,Quebec,4220338.189336885,Prophet
2033-04-01,Quebec,4223488.212930866,Prophet
2033-05-01,Quebec,4226536.622860525,Prophet
2033-06-01,Quebec,4229686.646454507,Prophet
2033-07-01,Quebec,4232735.056384165,Prophet
2033-08-01,Quebec,4235885.079978146,Prophet
2033-09-01,Quebec,4239035.1035721265,Prophet
2033-10-01,Quebec,4242083.513501786,Prophet
2033-11-01,Quebec,4245233.5370957665,Prophet
2033-12-01,Quebec,4248281.947025425,Prophet
2034-01-01,Quebec,4251431.970619407,Prophet
2034-02-01,Quebec,4254581.994213387,Prophet
2034-03-01,Quebec,4257427.176814403,Prophet
2034-04-01,Quebec,4260577.200408383,Prophet
2034-05-01,Quebec,4263625.6103380425,Prophet
2034-06-01,Quebec,4266775.633932023,Prophet
2034-07-01,Quebec,4269824.0438616825,Prophet
2034-08-01,Quebec,4272974.067455663,Prophet
2034-09-01,Quebec,4276124.091049644,Prophet
2034-10-01,Quebec,4279172.500979303,Prophet
2034-11-01,Quebec,4282322.524573284,Prophet
2034-12-01,Quebec,4285370.934502943,Prophet
2035-01-01,Quebec,4288520.958096924,Prophet
2035-02-01,Quebec,4291670.981690905,Prophet
2035-03-01,Quebec,4294516.164291921,Prophet
2035-04-01,Quebec,4297666.187885902,Prophet
2035-05-01,Quebec,4300714.59781556,Prophet
2035-06-01,Quebec,4303864.621409541,Prophet
2035-07-01,Quebec,4306913.031339201,Prophet
2035-08-01,Quebec,4310063.054933182,Prophet
2035-09-01,Quebec,4313213.078527163,Prophet
2035-10-01,Quebec,4316261.488456821,Prophet
2035-11-01,Quebec,4319411.512050802,Prophet
2035-12-01,Quebec,4322459.921980462,Prophet
2036-01-01,Quebec,4325609.945574443,Prophet
2036-02-01,Quebec,4328759.969168424,Prophet
2036-03-01,Quebec,4331706.76543376,Prophet
2036-04-01,Quebec,4334856.789027741,Prophet
2036-05-01,Quebec,4337905.1989574,Prophet
2036-06-01,Quebec,4341055.222551381,Prophet
2036-07-01,Quebec,4344103.63248104,Prophet
2036-08-01,Quebec,4347253.656075021,Prophet
2036-09-01,Quebec,4350403.679669003,Prophet
2036-10-01,Quebec,4353452.089598661,Prophet
2024-11-01,Alberta,2042968.455868401,Prophet
2024-12-01,Alberta,2045240.2841466619,Prophet
2025-01-01,Alberta,2047587.8400341982,Prophet
2025-02-01,Alberta,2049935.3959217349,Prophet
2025-03-01,Alberta,2052055.7689814449,Prophet
2025-04-01,Alberta,2054403.324868981,Prophet
2025-05-01,Alberta,2056675.1531472423,Prophet
2025-06-01,Alberta,2059022.7090347782,Prophet
2025-07-01,Alberta,2061294.537313039,Prophet
2025-08-01,Alberta,2063642.0932005756,Prophet
2025-09-01,Alberta,2065989.649088112,Prophet
2025-10-01,Alberta,2068261.4773663727,Prophet
2025-11-01,Alberta,2070609.0332539093,Prophet
2025-12-01,Alberta,2072880.8615321699,Prophet
2026-01-01,Alberta,2075228.4174197065,Prophet
2026-02-01,Alberta,2077575.9733072424,Prophet
2026-03-01,Alberta,2079696.346366953,Prophet
2026-04-01,Alberta,2082043.902254489,Prophet
2026-05-01,Alberta,2084315.7305327503,Prophet
2026-06-01,Alberta,2086663.2864202864,Prophet
2026-07-01,Alberta,2088935.1146985476,Prophet
2026-08-01,Alberta,2091282.6705860836,Prophet
2026-09-01,Alberta,2093630.2264736202,Prophet
2026-10-01,Alberta,2095902.0547518807,Prophet
2026-11-01,Alberta,2098249.610639417,Prophet
2026-12-01,Alberta,2100521.438917678,Prophet
2027-01-01,Alberta,2102868.9948052145,Prophet
2027-02-01,Alberta,2105216.550692751,Prophet
2027-03-01,Alberta,2107336.923752461,Prophet
2027-04-01,Alberta,2109684.4796399972,Prophet
2027-05-01,Alberta,2111956.3079182585,Prophet
2027-06-01,Alberta,2114303.863805794,Prophet
2027-07-01,Alberta,2116575.692084055,Prophet
2027-08-01,Alberta,2118923.2479715915,Prophet
2027-09-01,Alberta,2121270.803859128,Prophet
2027-10-01,Alberta,2123542.632137389,Prophet
2027-11-01,Alberta,2125890.188024925,Prophet
2027-12-01,Alberta,2128162.016303186,Prophet
2028-01-01,Alberta,2130509.5721907225,Prophet
2028-02-01,Alberta,2132857.1280782586,Prophet
2028-03-01,Alberta,2135053.2287472445,Prophet
2028-04-01,Alberta,2137400.784634781,Prophet
2028-05-01,Alberta,2139672.612913042,Prophet
2028-06-01,Alberta,2142020.1688005775,Prophet
2028-07-01,Alberta,2144291.9970788388,Prophet
2028-08-01,Alberta,2146639.552966375,Prophet
2028-09-01,Alberta,2148987.1088539115,Prophet
2028-10-01,Alberta,2151258.9371321728,Prophet
2028-11-01,Alberta,2153606.493019709,Prophet
2028-12-01,Alberta,2155878.3212979697,Prophet
2029-01-01,Alberta,2158225.877185506,Prophet
2029-02-01,Alberta,2160573.433073042,Prophet
2029-03-01,Alberta,2162693.8061327524,Prophet
2029-04-01,Alberta,2165041.3620202886,Prophet
2029-05-01,Alberta,2167313.19029855,Prophet
2029-06-01,Alberta,2169660.746186086,Prophet
2029-07-01,Alberta,2171932.574464347,Prophet
2029-08-01,Alberta,2174280.130351883,Prophet
2029-09-01,Alberta,2176627.6862394195,Prophet
2029-10-01,Alberta,2178899.5145176803,Prophet
2029-11-01,Alberta,2181247.070405217,Prophet
2029-12-01,Alberta,2183518.898683478,Prophet
2030-01-01,Alberta,2185866.4545710143,Prophet
2030-02-01,Alberta,2188214.0104585504,Prophet
2030-03-01,Alberta,2190334.383518261,Prophet
2030-04-01,Alberta,2192681.9394057966,Prophet
2030-05-01,Alberta,2194953.767684058,Prophet
2030-06-01,Alberta,2197301.323571594,Prophet
2030-07-01,Alberta,2199573.151849855,Prophet
2030-08-01,Alberta,2201920.7077373913,Prophet
2030-09-01,Alberta,2204268.2636249275,Prophet
2030-10-01,Alberta,2206540.0919031887,Prophet
2030-11-01,Alberta,2208887.647790725,Prophet
2030-12-01,Alberta,2211159.4760689856,Prophet
2031-01-01,Alberta,2213507.0319565223,Prophet
2031-02-01,Alberta,2215854.5878440584,Prophet
2031-03-01,Alberta,2217974.960903769,Prophet
2031-04-01,Alberta,2220322.516791305,Prophet
2031-05-01,Alberta,2222594.345069566,Prophet
2031-06-01,Alberta,2224941.900957102,Prophet
2031-07-01,Alberta,2227213.729235363,Prophet
2031-08-01,Alberta,2229561.2851228993,Prophet
2031-09-01,Alberta,2231908.841010436,Prophet
2031-10-01,Alberta,2234180.6692886967,Prophet
2031-11-01,Alberta,2236528.225176233,Prophet
2031-12-01,Alberta,2238800.0534544936,Prophet
2032-01-01,Alberta,2241147.6093420302,Prophet
2032-02-01,Alberta,2243495.165229567,Prophet
2032-03-01,Alberta,2245691.2658985523,Prophet
2032-04-01,Alberta,2248038.8217860884,Prophet
2032-05-01,Alberta,2250310.6500643496,Prophet
2032-06-01,Alberta,2252658.2059518863,Prophet
2032-07-01,Alberta,2254930.0342301466,Prophet
2032-08-01,Alberta,2257277.5901176827,Prophet
2032-09-01,Alberta,2259625.1460052193,Prophet
2032-10-01,Alberta,2261896.97428348,Prophet
2032-11-01,Alberta,2264244.5301710167,Prophet
2032-12-01,Alberta,2266516.358449278,Prophet
