REF_DATE,GEO,Housing completions,Housing starts,Housing under construction
2001-02-01,Nova Scotia,5807.260869565217,6245.539130434784,12804.826086956522
2001-02-01,Ontario,6463.869565217391,7034.03043478261,14316.08695652174
2001-02-01,Prince Edward Island,7120.478260869565,7822.521739130437,15827.347826086958
2001-02-01,Quebec,7777.086956521739,8611.013043478262,17338.608695652176
2001-02-01,Saskatchewan,8433.695652173912,9399.504347826089,18849.869565217392
2001-03-01,Alberta,9090.304347826086,10187.995652173915,20361.130434782608
2001-03-01,British Columbia,9746.91304347826,10976.486956521741,21872.391304347828
2001-03-01,Canada,10403.521739130434,11764.978260869568,23383.652173913044
2001-03-01,Manitoba,11060.130434782608,12553.469565217394,24894.913043478264
2001-03-01,New Brunswick,11716.739130434782,13341.96086956522,26406.17391304348
2001-03-01,Newfoundland and Labrador,12373.347826086956,14130.452173913047,27917.434782608696
2001-03-01,Nova Scotia,13029.95652173913,14918.943478260873,29428.695652173916
2001-03-01,Ontario,13686.565217391304,15707.4347826087,30939.956521739132
2001-03-01,Prince Edward Island,14343.173913043478,16495.926086956526,32451.21739130435
2001-03-01,Quebec,14999.782608695652,17284.41739130435,33962.47826086957
2001-03-01,Saskatchewan,15656.391304347826,18072.908695652175,35473.739130434784
2001-04-01,Alberta,16313.0,18861.4,36985.0
2001-04-01,British Columbia,9574.0,13192.8,34650.0
2001-04-01,Canada,83567.0,116859.2,256711.0
2001-04-01,Manitoba,1954.0,2079.4,2616.0
2001-04-01,New Brunswick,1396.0,1948.1,3343.0
2001-04-01,Newfoundland and Labrador,679.0,1066.8,1505.0
2001-04-01,Nova Scotia,1858.0,2681.9,5297.0
2001-04-01,Ontario,36383.0,52761.3,135833.0
2001-04-01,Prince Edward Island,168.0,293.4,380.0
2001-04-01,Quebec,13946.0,22575.2,33948.0
2001-04-01,Saskatchewan,1296.0,1233.8,2154.0
2001-05-01,Alberta,1996.5652173913045,1961.0304347826086,3691.0434782608695
2001-05-01,British Columbia,2697.130434782609,2688.260869565217,5228.086956521739
2001-05-01,Canada,3397.695652173913,3415.4913043478264,6765.130434782608
2001-05-01,Manitoba,4098.260869565218,4142.721739130435,8302.173913043478
2001-05-01,New Brunswick,4798.826086956522,4869.952173913043,9839.217391304348
2001-05-01,Newfoundland and Labrador,5499.391304347826,5597.182608695653,11376.260869565216
2001-05-01,Nova Scotia,6199.956521739131,6324.413043478261,12913.304347826086
2001-05-01,Ontario,6900.521739130435,7051.643478260869,14450.347826086956
2001-05-01,Prince Edward Island,7601.086956521739,7778.873913043478,15987.391304347826
2001-05-01,Quebec,8301.652173913044,8506.104347826085,17524.434782608696
2001-05-01,Saskatchewan,9002.217391304348,9233.334782608696,19061.478260869564
2001-06-01,Alberta,9702.782608695652,9960.565217391304,20598.521739130432
2001-06-01,British Columbia,10403.347826086956,10687.795652173912,22135.565217391304
2001-06-01,Canada,11103.913043478262,11415.02608695652,23672.608695652172
2001-06-01,Manitoba,11804.478260869566,12142.25652173913,25209.652173913044
2001-06-01,New Brunswick,12505.04347826087,12869.486956521738,26746.695652173912
2001-06-01,Newfoundland and Labrador,13205.608695652174,13596.717391304346,28283.73913043478
2001-06-01,Nova Scotia,13906.173913043478,14323.947826086955,29820.782608695652
2001-06-01,Ontario,14606.739130434784,15051.178260869563,31357.82608695652
2001-06-01,Prince Edward Island,15307.304347826088,15778.408695652171,32894.86956521739
2001-06-01,Quebec,16007.869565217392,16505.63913043478,34431.91304347826
2001-06-01,Saskatchewan,16708.434782608696,17232.869565217392,35968.95652173913
2001-07-01,Alberta,17409.0,17960.1,37506.0
2001-07-01,British Columbia,9772.0,11589.7,36459.0
2001-07-01,Canada,110156.0,103303.2,249583.0
2001-07-01,Manitoba,1519.0,2239.1,3335.0
2001-07-01,New Brunswick,2262.0,2847.6,3911.0
2001-07-01,Newfoundland and Labrador,654.0,1520.9,2364.0
2001-07-01,Nova Scotia,2585.0,3051.4,5757.0
2001-07-01,Ontario,51389.0,47633.0,132076.0
2001-07-01,Prince Edward Island,289.0,592.7,677.0
2001-07-01,Quebec,22897.0,13970.0,25001.0
2001-07-01,Saskatchewan,1380.0,1741.6,2497.0
2001-08-01,Alberta,2075.695652173913,2531.9565217391305,4127.130434782609
2001-08-01,British Columbia,2771.391304347826,3322.3130434782606,5757.260869565218
2001-08-01,Canada,3467.086956521739,4112.669565217391,7387.391304347826
2001-08-01,Manitoba,4162.782608695652,4903.026086956522,9017.521739130436
2001-08-01,New Brunswick,4858.478260869565,5693.382608695652,10647.652173913044
2001-08-01,Newfoundland and Labrador,5554.173913043478,6483.739130434782,12277.782608695652
2001-08-01,Nova Scotia,6249.869565217391,7274.095652173914,13907.913043478262
2001-08-01,Ontario,6945.565217391304,8064.452173913043,15538.04347826087
2001-08-01,Prince Edward Island,7641.260869565217,8854.808695652175,17168.17391304348
2001-08-01,Quebec,8336.95652173913,9645.165217391304,18798.304347826088
2001-08-01,Saskatchewan,9032.652173913044,10435.521739130436,20428.434782608696
2001-09-01,Alberta,9728.347826086956,11225.878260869566,22058.565217391304
2001-09-01,British Columbia,10424.043478260868,12016.234782608697,23688.695652173912
2001-09-01,Canada,11119.739130434782,12806.591304347827,25318.826086956524
2001-09-01,Manitoba,11815.434782608696,13596.947826086958,26948.956521739132
2001-09-01,New Brunswick,12511.130434782608,14387.304347826088,28579.08695652174
